"","iteration","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"93",93,500,5,0.05,0.7,10,0,0.6,0.737103617597114
"94",94,500,3,0.05,0.7,5,0,0.7,0.735483117186587
"95",95,50,3,0.01,0.6,5,0,0.7,0.696371439500518
"96",96,1000,3,0.01,0.7,1,0.1,0.8,0.737728610594952
"97",97,100,5,0.01,0.7,5,0.1,0.8,0.693220866603607
"98",98,50,3,0.01,0.7,1,0,0.8,0.652988442831146
"99",99,1000,5,0.05,0.6,10,1,0.7,0.757735588749806
"100",100,100,5,0.1,0.8,5,0.1,0.7,0.734057076825324
"101",101,50,3,0.1,0.8,10,1,0.6,0.725745710275333
"102",102,500,5,0.1,0.8,10,1,0.7,0.727488248371097
"103",103,500,3,0.05,0.7,10,0.1,0.6,0.725834537705243
"104",104,1000,5,0.01,0.6,10,0,0.8,0.730377540584533
"105",105,1000,5,0.05,0.8,1,0,0.6,0.742637326406394
"106",106,100,5,0.1,0.7,5,0,0.8,0.709327040190011
"107",107,1000,3,0.1,0.6,5,0,0.6,0.754317733316048
"108",108,500,5,0.05,0.6,1,0.1,0.7,0.727171750636597
"109",109,50,3,0.01,0.6,1,1,0.6,0.697914315940762
"110",110,100,5,0.01,0.8,1,1,0.7,0.680068004999944
"111",111,100,5,0.05,0.8,10,1,0.7,0.71243239912485
"112",112,1000,5,0.1,0.8,10,1,0.7,0.738098324762687
"113",113,500,3,0.05,0.8,10,0.1,0.8,0.713938064074186
"114",114,100,5,0.05,0.8,10,1,0.8,0.733328051702366
"115",115,50,5,0.05,0.8,10,0,0.8,0.712580044717809
"116",116,1000,5,0.05,0.7,1,0,0.7,0.734312355655426
"117",117,500,5,0.05,0.7,5,1,0.8,0.735418297170166
"118",118,500,3,0.1,0.6,10,0.1,0.6,0.723685073950836
"119",119,100,5,0.01,0.7,1,0,0.8,0.692704307090029
"120",120,100,3,0.1,0.7,10,1,0.8,0.723440198333245
