"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"79",500,3,0.05,0.6,10,1,0.7,0.783766942366537,NA
"80",1000,5,0.05,0.6,10,1,0.7,0.775479367661485,NA
"81",100,5,0.1,0.6,10,1,0.7,0.788117666574592,NA
"82",50,3,0.01,0.7,10,1,0.7,0.786268467914649,NA
"83",500,5,0.05,0.7,10,1,0.7,0.781841287398133,NA
"84",100,5,0.05,0.8,10,1,0.7,0.791169027825109,NA
"85",500,5,0.1,0.8,10,1,0.7,0.775123732771795,NA
"86",1000,5,0.1,0.8,10,1,0.7,0.768609535974059,NA
"87",100,3,0.1,0.6,1,0,0.8,0.789462009590484,NA
"88",50,3,0.01,0.7,1,0,0.8,0.785510161650517,NA
"89",500,3,0.01,0.7,1,0,0.8,0.790692119072631,NA
"90",100,5,0.01,0.7,1,0,0.8,0.782923290922145,NA
"91",50,3,0.1,0.7,1,0,0.8,0.790471260293113,NA
"92",500,5,0.01,0.6,5,0,0.8,0.790630812872518,NA
"93",100,5,0.1,0.7,5,0,0.8,0.783950334210693,NA
"94",500,3,0.05,0.8,5,0,0.8,0.78308468197194,NA
"95",1000,5,0.01,0.6,10,0,0.8,0.788411781922993,NA
"96",100,3,0.05,0.6,10,0,0.8,0.792633049501337,NA
"97",1000,3,0.05,0.6,10,0,0.8,0.778515184727647,NA
"98",1000,5,0.05,0.6,10,0,0.8,0.774133258147638,NA
"99",50,5,0.1,0.6,10,0,0.8,0.783257923013305,NA
"100",1000,3,0.05,0.7,10,0,0.8,0.774454893630176,NA
"101",50,5,0.05,0.8,10,0,0.8,0.787456663044638,NA
"102",100,5,0.05,0.8,10,0,0.8,0.789398636085941,NA
"103",1000,3,0.01,0.7,1,0.1,0.8,0.790772584760205,NA
"104",500,5,0.1,0.7,1,0.1,0.8,0.762559752485293,NA
"105",500,3,0.01,0.6,5,0.1,0.8,0.790953646651427,NA
"106",500,5,0.05,0.6,5,0.1,0.8,0.78044416821115,NA
"107",100,5,0.01,0.7,5,0.1,0.8,0.782688301441051,NA
"108",500,3,0.1,0.7,5,0.1,0.8,0.774489928407515,NA
"109",500,5,0.05,0.7,10,0.1,0.8,0.781047796317578,NA
"110",500,3,0.05,0.8,10,0.1,0.8,0.785646765245763,NA
"111",100,5,0.05,0.8,1,1,0.8,0.783061020087555,NA
"112",500,5,0.1,0.8,1,1,0.8,0.766230657703329,NA
"113",500,5,0.05,0.7,5,1,0.8,0.775699350616029,NA
"114",100,3,0.1,0.7,5,1,0.8,0.785437979854885,NA
"115",50,3,0.05,0.6,10,1,0.8,0.787887059349467,NA
"116",100,3,0.1,0.7,10,1,0.8,0.785104416748719,NA
"117",100,5,0.05,0.8,10,1,0.8,0.789302546578387,NA
"118",100,3,0.1,0.8,10,1,0.8,0.787987273122094,NA
