"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",100,5,0.05,0.7,1,0,0.6,0.709163389654725
"2",50,3,0.1,0.7,1,0,0.6,0.72142897726818
"3",50,3,0.01,0.8,1,0,0.6,0.703463229445253
"4",1000,5,0.05,0.8,1,0,0.6,0.697887707724145
"5",50,5,0.1,0.8,1,0,0.6,0.69479025122958
"6",1000,3,0.1,0.6,5,0,0.6,0.696484674467476
"7",500,3,0.05,0.7,5,0,0.6,0.699817603676015
"8",100,3,0.05,0.8,5,0,0.6,0.713750606187191
"9",100,3,0.1,0.8,5,0,0.6,0.716306295384015
"10",500,5,0.05,0.6,10,0,0.6,0.711630251421639
"11",100,5,0.1,0.6,10,0,0.6,0.710515607219509
"12",50,5,0.01,0.7,10,0,0.6,0.698241817073112
"13",500,5,0.05,0.7,10,0,0.6,0.707300814491515
"14",50,3,0.05,0.8,10,0,0.6,0.702711597341259
"15",50,3,0.01,0.6,1,0.1,0.6,0.705179759509737
"16",50,5,0.01,0.6,1,0.1,0.6,0.710582127761053
"17",50,5,0.05,0.8,1,0.1,0.6,0.694541674469076
"18",500,3,0.1,0.8,1,0.1,0.6,0.703835744477895
"19",100,5,0.01,0.6,5,0.1,0.6,0.711594940517632
"20",50,3,0.05,0.6,5,0.1,0.6,0.70627619808997
"21",100,5,0.05,0.6,5,0.1,0.6,0.714384201841529
"22",1000,3,0.01,0.7,5,0.1,0.6,0.71935393649559
"23",100,3,0.01,0.8,5,0.1,0.6,0.70695710835506
"24",50,5,0.05,0.8,5,0.1,0.6,0.712595849598356
"25",50,3,0.01,0.6,10,0.1,0.6,0.715531556144537
"26",100,5,0.05,0.6,10,0.1,0.6,0.721540311648237
"27",500,3,0.1,0.6,10,0.1,0.6,0.693404123193242
"28",1000,5,0.1,0.6,10,0.1,0.6,0.689374678900845
"29",500,3,0.05,0.7,10,0.1,0.6,0.709324839510441
"30",100,3,0.1,0.7,10,0.1,0.6,0.709859204522357
"31",500,3,0.1,0.7,10,0.1,0.6,0.709703156334676
"32",500,3,0.05,0.8,10,0.1,0.6,0.71586926042762
"33",50,3,0.01,0.6,1,1,0.6,0.706988117930817
"34",50,5,0.05,0.6,5,1,0.6,0.714172336417486
"35",500,5,0.05,0.6,5,1,0.6,0.712603852069519
"36",100,5,0.1,0.6,5,1,0.6,0.720745666261742
"37",500,3,0.01,0.8,5,1,0.6,0.715252269900945
"38",1000,3,0.01,0.8,5,1,0.6,0.718333021236958
"39",1000,5,0.01,0.8,5,1,0.6,0.712160715228863
"40",500,5,0.05,0.8,5,1,0.6,0.703581265894908
"41",50,5,0.01,0.6,10,1,0.6,0.703985690781313
"42",1000,3,0.05,0.6,10,1,0.6,0.709966437635942
"43",100,3,0.1,0.6,10,1,0.6,0.712679975576458
"44",500,5,0.1,0.7,10,1,0.6,0.695697631428585
"45",50,3,0.1,0.8,10,1,0.6,0.707808271194145
"46",1000,5,0.1,0.8,10,1,0.6,0.695677425188898
"47",50,5,0.05,0.7,1,0,0.7,0.709204202257657
"48",1000,5,0.05,0.7,1,0,0.7,0.701508425801888
"49",50,3,0.01,0.6,5,0,0.7,0.700798706640611
"50",1000,3,0.01,0.6,5,0,0.7,0.721245120493208
"51",500,5,0.1,0.6,5,0,0.7,0.696775364232475
"52",1000,5,0.01,0.7,5,0,0.7,0.710113483043564
"53",500,3,0.05,0.7,5,0,0.7,0.713073397065014
"54",50,5,0.1,0.6,10,0,0.7,0.70184402943629
"55",1000,5,0.1,0.7,10,0,0.7,0.690521032894958
"56",500,3,0.05,0.8,10,0,0.7,0.709126678318265
"57",50,3,0.05,0.6,1,0.1,0.7,0.706246588946667
"58",100,5,0.05,0.6,1,0.1,0.7,0.703281273257182
"59",500,5,0.05,0.6,1,0.1,0.7,0.697800280726688
"60",50,3,0.1,0.7,1,0.1,0.7,0.698660096237718
"61",100,5,0.1,0.7,1,0.1,0.7,0.701374884564353
"62",100,3,0.01,0.8,1,0.1,0.7,0.701034179354585
"63",100,3,0.1,0.8,1,0.1,0.7,0.724994678356677
"64",1000,5,0.01,0.6,5,0.1,0.7,0.71505600929567
"65",50,3,0.1,0.6,5,0.1,0.7,0.717553380483893
"66",500,3,0.01,0.7,5,0.1,0.7,0.718286406842433
"67",100,5,0.1,0.8,5,0.1,0.7,0.692082515080657
"68",50,3,0.05,0.6,10,0.1,0.7,0.704471240719134
"69",1000,3,0.01,0.7,10,0.1,0.7,0.712839524845272
"70",100,3,0.05,0.7,10,0.1,0.7,0.712801613138137
"71",500,5,0.05,0.7,10,0.1,0.7,0.70423586803605
"72",1000,3,0.01,0.8,10,0.1,0.7,0.714480631619044
"73",100,5,0.01,0.8,1,1,0.7,0.696265706850275
"74",100,5,0.05,0.8,1,1,0.7,0.701378485676377
"75",1000,3,0.01,0.6,5,1,0.7,0.720518496111599
"76",500,5,0.05,0.6,5,1,0.7,0.707565896348793
"77",500,5,0.01,0.7,5,1,0.7,0.715140035242883
"78",500,3,0.1,0.8,5,1,0.7,0.689090591174555
"79",500,3,0.05,0.6,10,1,0.7,0.717627203280373
"80",1000,5,0.05,0.6,10,1,0.7,0.707507478309302
"81",100,5,0.1,0.6,10,1,0.7,0.71393936447575
"82",50,3,0.01,0.7,10,1,0.7,0.698266724764607
"83",500,5,0.05,0.7,10,1,0.7,0.706234485209033
"84",100,5,0.05,0.8,10,1,0.7,0.711375772838652
"85",500,5,0.1,0.8,10,1,0.7,0.70816928267449
"86",1000,5,0.1,0.8,10,1,0.7,0.694594490778752
"87",100,3,0.1,0.6,1,0,0.8,0.717373024790055
"88",50,3,0.01,0.7,1,0,0.8,0.702214443820252
"89",500,3,0.01,0.7,1,0,0.8,0.71216341606288
"90",100,5,0.01,0.7,1,0,0.8,0.693353907686694
"91",50,3,0.1,0.7,1,0,0.8,0.70786778957342
"92",500,5,0.01,0.6,5,0,0.8,0.712492017535015
"93",100,5,0.1,0.7,5,0,0.8,0.706027421267687
"94",500,3,0.05,0.8,5,0,0.8,0.709754172088341
"95",1000,5,0.01,0.6,10,0,0.8,0.714026291318759
"96",100,3,0.05,0.6,10,0,0.8,0.707808971410371
"97",1000,3,0.05,0.6,10,0,0.8,0.702673985726793
"98",1000,5,0.05,0.6,10,0,0.8,0.704290684963517
"99",50,5,0.1,0.6,10,0,0.8,0.708732156489924
"100",1000,3,0.05,0.7,10,0,0.8,0.702029586736384
"101",50,5,0.05,0.8,10,0,0.8,0.699713071396447
"102",100,5,0.05,0.8,10,0,0.8,0.713344980930111
"103",1000,3,0.01,0.7,1,0.1,0.8,0.71548114057621
"104",500,5,0.1,0.7,1,0.1,0.8,0.707160771246161
"105",500,3,0.01,0.6,5,0.1,0.8,0.717228680216451
"106",500,5,0.05,0.6,5,0.1,0.8,0.69589389203386
"107",100,5,0.01,0.7,5,0.1,0.8,0.705616794466131
"108",500,3,0.1,0.7,5,0.1,0.8,0.700328661490668
"109",500,5,0.05,0.7,10,0.1,0.8,0.705305398306997
"110",500,3,0.05,0.8,10,0.1,0.8,0.700891735367882
"111",100,5,0.05,0.8,1,1,0.8,0.706500767436985
"112",500,5,0.1,0.8,1,1,0.8,0.702380295035107
"113",500,5,0.05,0.7,5,1,0.8,0.705230475170733
"114",100,3,0.1,0.7,5,1,0.8,0.709843399641809
"115",50,3,0.05,0.6,10,1,0.8,0.703751518468903
"116",100,3,0.1,0.7,10,1,0.8,0.714555654786198
"117",100,5,0.05,0.8,10,1,0.8,0.70829292085396
"118",100,3,0.1,0.8,10,1,0.8,0.702297369427679
