"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",100,5,0.05,0.7,1,0,0.6,0.680602069919191
"2",50,3,0.1,0.7,1,0,0.6,0.692918573255421
"3",50,3,0.01,0.8,1,0,0.6,0.690675180495737
"4",1000,5,0.05,0.8,1,0,0.6,0.700080784946391
"5",50,5,0.1,0.8,1,0,0.6,0.681091821154372
"6",1000,3,0.1,0.6,5,0,0.6,0.673105955118941
"7",500,3,0.05,0.7,5,0,0.6,0.695285904287244
"8",100,3,0.05,0.8,5,0,0.6,0.699416779901634
"9",100,3,0.1,0.8,5,0,0.6,0.692548458964128
"10",500,5,0.05,0.6,10,0,0.6,0.689357473587844
"11",100,5,0.1,0.6,10,0,0.6,0.687295936985341
"12",50,5,0.01,0.7,10,0,0.6,0.694780148109736
"13",500,5,0.05,0.7,10,0,0.6,0.700144404592138
"14",50,3,0.05,0.8,10,0,0.6,0.694106640130472
"15",50,3,0.01,0.6,1,0.1,0.6,0.70642154297247
"16",50,5,0.01,0.6,1,0.1,0.6,0.701719490978814
"17",50,5,0.05,0.8,1,0.1,0.6,0.68733294841447
"18",500,3,0.1,0.8,1,0.1,0.6,0.692412617016135
"19",100,5,0.01,0.6,5,0.1,0.6,0.691582860787411
"20",50,3,0.05,0.6,5,0.1,0.6,0.703916769498421
"21",100,5,0.05,0.6,5,0.1,0.6,0.697690046686417
"22",1000,3,0.01,0.7,5,0.1,0.6,0.702417506526015
"23",100,3,0.01,0.8,5,0.1,0.6,0.692126328610275
"24",50,5,0.05,0.8,5,0.1,0.6,0.683189468907999
"25",50,3,0.01,0.6,10,0.1,0.6,0.691614270486726
"26",100,5,0.05,0.6,10,0.1,0.6,0.697034244174601
"27",500,3,0.1,0.6,10,0.1,0.6,0.683884683590293
"28",1000,5,0.1,0.6,10,0.1,0.6,0.697658536956212
"29",500,3,0.05,0.7,10,0.1,0.6,0.693835256327154
"30",100,3,0.1,0.7,10,0.1,0.6,0.698264724146817
"31",500,3,0.1,0.7,10,0.1,0.6,0.689826818521559
"32",500,3,0.05,0.8,10,0.1,0.6,0.692361901355138
"33",50,3,0.01,0.6,1,1,0.6,0.702953372001274
"34",50,5,0.05,0.6,5,1,0.6,0.687780886737825
"35",500,5,0.05,0.6,5,1,0.6,0.693462241140064
"36",100,5,0.1,0.6,5,1,0.6,0.691462323565517
"37",500,3,0.01,0.8,5,1,0.6,0.703567461632152
"38",1000,3,0.01,0.8,5,1,0.6,0.699865318410325
"39",1000,5,0.01,0.8,5,1,0.6,0.695880687956441
"40",500,5,0.05,0.8,5,1,0.6,0.701947761468741
"41",50,5,0.01,0.6,10,1,0.6,0.697121571141168
"42",1000,3,0.05,0.6,10,1,0.6,0.690933160159857
"43",100,3,0.1,0.6,10,1,0.6,0.687263526977131
"44",500,5,0.1,0.7,10,1,0.6,0.69060515887306
"45",50,3,0.1,0.8,10,1,0.6,0.701896245560629
"46",1000,5,0.1,0.8,10,1,0.6,0.686282123919866
"47",50,5,0.05,0.7,1,0,0.7,0.695262296997313
"48",1000,5,0.05,0.7,1,0,0.7,0.696677934146064
"49",50,3,0.01,0.6,5,0,0.7,0.690396194344814
"50",1000,3,0.01,0.6,5,0,0.7,0.700569535872677
"51",500,5,0.1,0.6,5,0,0.7,0.686555808433644
"52",1000,5,0.01,0.7,5,0,0.7,0.699346358155398
"53",500,3,0.05,0.7,5,0,0.7,0.703769023874572
"54",50,5,0.1,0.6,10,0,0.7,0.687344351935878
"55",1000,5,0.1,0.7,10,0,0.7,0.686695951709888
"56",500,3,0.05,0.8,10,0,0.7,0.692427421587786
"57",50,3,0.05,0.6,1,0.1,0.7,0.701891444077931
"58",100,5,0.05,0.6,1,0.1,0.7,0.68776238102326
"59",500,5,0.05,0.6,1,0.1,0.7,0.701438104086542
"60",50,3,0.1,0.7,1,0.1,0.7,0.692435624120728
"61",100,5,0.1,0.7,1,0.1,0.7,0.680851146834142
"62",100,3,0.01,0.8,1,0.1,0.7,0.698093971418374
"63",100,3,0.1,0.8,1,0.1,0.7,0.685070249693105
"64",1000,5,0.01,0.6,5,0.1,0.7,0.691861446814776
"65",50,3,0.1,0.6,5,0.1,0.7,0.691666586641955
"66",500,3,0.01,0.7,5,0.1,0.7,0.701719090855256
"67",100,5,0.1,0.8,5,0.1,0.7,0.684493071460467
"68",50,3,0.05,0.6,10,0.1,0.7,0.683113745524618
"69",1000,3,0.01,0.7,10,0.1,0.7,0.70120433189769
"70",100,3,0.05,0.7,10,0.1,0.7,0.694469052043271
"71",500,5,0.05,0.7,10,0.1,0.7,0.700718982021648
"72",1000,3,0.01,0.8,10,0.1,0.7,0.700264241597805
"73",100,5,0.01,0.8,1,1,0.7,0.685958123868651
"74",100,5,0.05,0.8,1,1,0.7,0.693774237484535
"75",1000,3,0.01,0.6,5,1,0.7,0.701777108771189
"76",500,5,0.05,0.6,5,1,0.7,0.689600948772981
"77",500,5,0.01,0.7,5,1,0.7,0.694416035671815
"78",500,3,0.1,0.8,5,1,0.7,0.676888623206846
"79",500,3,0.05,0.6,10,1,0.7,0.682607589223552
"80",1000,5,0.05,0.6,10,1,0.7,0.686913919018193
"81",100,5,0.1,0.6,10,1,0.7,0.693202761012601
"82",50,3,0.01,0.7,10,1,0.7,0.691102412424957
"83",500,5,0.05,0.7,10,1,0.7,0.692217756843313
"84",100,5,0.05,0.8,10,1,0.7,0.700477707516081
"85",500,5,0.1,0.8,10,1,0.7,0.683205573881215
"86",1000,5,0.1,0.8,10,1,0.7,0.692200851622981
"87",100,3,0.1,0.6,1,0,0.8,0.70551306243368
"88",50,3,0.01,0.7,1,0,0.8,0.686620628450065
"89",500,3,0.01,0.7,1,0,0.8,0.69622559446357
"90",100,5,0.01,0.7,1,0,0.8,0.692280076087496
"91",50,3,0.1,0.7,1,0,0.8,0.696338229245191
"92",500,5,0.01,0.6,5,0,0.8,0.692114124841751
"93",100,5,0.1,0.7,5,0,0.8,0.685670735123006
"94",500,3,0.05,0.8,5,0,0.8,0.695830072326334
"95",1000,5,0.01,0.6,10,0,0.8,0.699307346108478
"96",100,3,0.05,0.6,10,0,0.8,0.692296781246049
"97",1000,3,0.05,0.6,10,0,0.8,0.681588074397374
"98",1000,5,0.05,0.6,10,0,0.8,0.686651638025822
"99",50,5,0.1,0.6,10,0,0.8,0.691737508542638
"100",1000,3,0.05,0.7,10,0,0.8,0.686317134731205
"101",50,5,0.05,0.8,10,0,0.8,0.688430387303599
"102",100,5,0.05,0.8,10,0,0.8,0.703382004362947
"103",1000,3,0.01,0.7,1,0.1,0.8,0.699899929098105
"104",500,5,0.1,0.7,1,0.1,0.8,0.697712853729232
"105",500,3,0.01,0.6,5,0.1,0.8,0.698997750505356
"106",500,5,0.05,0.6,5,0.1,0.8,0.696363036905796
"107",100,5,0.01,0.7,5,0.1,0.8,0.691947323333445
"108",500,3,0.1,0.7,5,0.1,0.8,0.701839127922703
"109",500,5,0.05,0.7,10,0.1,0.8,0.695207680131625
"110",500,3,0.05,0.8,10,0.1,0.8,0.686662441361893
"111",100,5,0.05,0.8,1,1,0.8,0.699558123548552
"112",500,5,0.1,0.8,1,1,0.8,0.690428404291245
"113",500,5,0.05,0.7,5,1,0.8,0.690753904805804
"114",100,3,0.1,0.7,5,1,0.8,0.692980092252488
"115",50,3,0.05,0.6,10,1,0.8,0.691713701190928
"116",100,3,0.1,0.7,10,1,0.8,0.68800515599217
"117",100,5,0.05,0.8,10,1,0.8,0.691415709170992
"118",100,3,0.1,0.8,10,1,0.8,0.69692170942387
