"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"41",100,3,0.1,0.6,10,1,0.6,0.814596848624714,"0.782975750423087, 0.794883314395595, 0.760344895082994, 0.912743723290598, 0.822036559931297"
"42",500,5,0.1,0.8,1,1,0.8,0.805385134344569,"0.763904352602357, 0.795019666113102, 0.761144985123708, 0.901173929569362, 0.805682738314317"
"43",50,3,0.1,0.7,1,0.1,0.7,0.814437753453441,"0.781346493572044, 0.798307840223757, 0.753237061540871, 0.914721246301775, 0.824576125628757"
"44",50,3,0.01,0.7,10,1,0.7,0.808872802273468,"0.783982438169888, 0.766502928065729, 0.761071582367679, 0.907616288625904, 0.825190774138143"
"45",100,3,0.05,0.8,5,0,0.6,0.812683806323827,"0.777936744752234, 0.791759461585526, 0.752613138114626, 0.914424617850099, 0.826685069316648"
"46",500,5,0.05,0.7,10,0.1,0.7,0.807142566864246,"0.777031189691518, 0.79391836377939, 0.76519192373943, 0.887796114809336, 0.811775242301558"
"47",500,3,0.05,0.6,10,1,0.7,0.809727692610509,"0.777227888126837, 0.793960318154007, 0.764868951612903, 0.902003461949375, 0.810577843209422"
"48",1000,3,0.01,0.8,10,0.1,0.7,0.813802278964222,"0.780564338944806, 0.789401276112228, 0.763405790009396, 0.912764268984221, 0.822875720770458"
"49",50,5,0.05,0.6,5,1,0.6,0.810985281537977,"0.781393812535257, 0.782468315706669, 0.759123962574381, 0.912224944526627, 0.819715372346951"
"50",500,5,0.05,0.7,10,1,0.7,0.809961686079966,"0.773822778421068, 0.80038632986627, 0.770325223144378, 0.896058051857331, 0.809216047110784"
"51",500,3,0.05,0.7,5,0,0.6,0.810845184426085,"0.774128959947745, 0.792040905515252, 0.766190201221422, 0.903649685650888, 0.818216169795117"
"52",1000,5,0.05,0.6,10,0,0.8,0.808442949685338,"0.765895460348564, 0.792023424525828, 0.779779498120889, 0.897884050378041, 0.806632315053368"
"53",100,5,0.1,0.6,10,0,0.6,0.812382500356349,"0.779989088803777, 0.794341403723451, 0.773373884278108, 0.901068632889546, 0.813139492086861"
"54",50,3,0.01,0.6,1,0.1,0.6,0.811311724664448,"0.783916562750512, 0.769888995717158, 0.764100669433135, 0.912527993507561, 0.826124401913876"
