"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",250,5,0.005,20,0.810707488117704,"0.787232601466702, 0.766384057337645, 0.766168180394613, 0.908983861357659, 0.824768740031898"
"2",750,4,0.01,20,0.815080106863622,"0.78416800273151, 0.792491915042391, 0.762079646883808, 0.912879838510848, 0.823781131149552"
"3",100,5,0.005,5,0.809894681502003,"0.781626696060093, 0.772383532907963, 0.761553593798935, 0.910660903599605, 0.823248681143418"
"4",100,3,0.01,20,0.805210186062134,"0.77848879932306, 0.758300847827987, 0.760503934387723, 0.907315807856673, 0.821441540915225"
"5",100,3,0.005,10,0.809342670070043,"0.779626310085805, 0.762158902193864, 0.774178867835891, 0.908680812376726, 0.822068457857931"
"6",500,6,0.005,15,0.813558893139064,"0.787090644577061, 0.785597412813565, 0.761228174913874, 0.909407616288626, 0.824470617102196"
"7",50,6,0.01,5,0.81037373100024,"0.783531516285146, 0.779115461935145, 0.762155496398371, 0.907632982001972, 0.819433198380567"
"8",500,6,0.01,20,0.815383881410993,"0.788012900448324, 0.793365964513591, 0.758203981365487, 0.911962986932939, 0.825373573794626"
"9",50,6,0.01,20,0.810761888707781,"0.778977761942935, 0.779276287037846, 0.761719973379267, 0.908942769970414, 0.824892651208441"
"10",250,4,0.005,20,0.808958272298636,"0.78556344823491, 0.767058823529412, 0.759341724083934, 0.910107453977646, 0.82271991166728"
"11",1000,5,0.01,10,0.814118863314607,"0.783893367180309, 0.792691198321825, 0.767183585186345, 0.90830328525641, 0.818522880628144"
"12",50,6,0.01,10,0.810783879930544,"0.784130889819186, 0.775437461760336, 0.76810356639524, 0.905285636505588, 0.820961845172371"
"13",50,5,0.01,20,0.808585123919441,"0.785566231703334, 0.765153395682196, 0.759605974005637, 0.907292693951348, 0.825307324254693"
"14",100,6,0.01,10,0.806686895916191,"0.785481799827796, 0.75969408268508, 0.756865604447228, 0.910515799638396, 0.820877192982456"
"15",750,5,0.01,15,0.815662504807357,"0.785333348178498, 0.795016169915217, 0.760914989821485, 0.910994771120973, 0.826053245000613"
"16",250,3,0.005,15,0.808532320168728,"0.784093776906861, 0.76398391748973, 0.763170901190103, 0.908213397846811, 0.823199607410134"
"17",1000,6,0.005,10,0.815529157675494,"0.784836035153351, 0.791561926405035, 0.76526043297839, 0.912081124671269, 0.823906269169427"
"18",100,3,0.01,5,0.805556497465643,"0.783573268311511, 0.754855344812516, 0.758010687441278, 0.90783073430309, 0.823512452459821"
"19",50,4,0.005,5,0.805870506841463,"0.778424779549301, 0.766887509833057, 0.762243579705606, 0.901988052679158, 0.819808612440191"
"20",250,6,0.01,20,0.814171088300909,"0.786468075472818, 0.784520583865047, 0.766699126996555, 0.910640357905983, 0.822527297264139"
"21",500,4,0.01,20,0.816532086248463,"0.78476737626555, 0.792768114675291, 0.766107011431256, 0.912471492850099, 0.82654643602012"
"22",100,6,0.005,20,0.810263001863821,"0.782312357115288, 0.771894065204091, 0.764665870654557, 0.908882416995398, 0.823560299349773"
"23",1000,3,0.01,10,0.814499553954101,"0.781501439980998, 0.790418669696705, 0.769429709520827, 0.911513549884944, 0.819634400687032"
"24",250,4,0.01,10,0.811996696295352,"0.785549530892788, 0.778727383969933, 0.759716078139681, 0.910334740713347, 0.825655747761011"
"25",1000,5,0.01,20,0.813735954798696,"0.783331106558594, 0.791904553797745, 0.763263878014407, 0.909731210963182, 0.820449024659551"
"26",50,4,0.005,15,0.805646046093336,"0.779087245034292, 0.771911546193515, 0.76333972752897, 0.891166892669296, 0.822724819040609"
"27",250,6,0.005,15,0.81111099234974,"0.786318696000713, 0.776552748885587, 0.760185855778265, 0.90975689308021, 0.822740768003926"
"28",500,3,0.01,10,0.815387877681528,"0.784988198093881, 0.787471374879818, 0.768030163639211, 0.912047737919132, 0.824401913875598"
"29",750,6,0.01,15,0.814867973060394,"0.786791885632849, 0.791729743903505, 0.760802438928907, 0.911752393573307, 0.823263403263403"
"30",100,4,0.01,5,0.806432629813819,"0.781799271102402, 0.760291932523381, 0.755390209051049, 0.91292735042735, 0.821754385964912"
"31",50,5,0.005,15,0.805960549968544,"0.781717622695288, 0.764950616204877, 0.756594014249922, 0.904730902777778, 0.821809593914857"
"32",1000,3,0.01,20,0.815178298602714,"0.78238472729432, 0.78962153657897, 0.7709760609145, 0.912877270299145, 0.820031897926635"
"33",500,3,0.01,20,0.815196111390113,"0.781419791573884, 0.792100340879294, 0.767898038678359, 0.911433935322156, 0.823128450496872"
"34",100,3,0.01,10,0.808356148810186,"0.782574003147175, 0.764163971680797, 0.762989841058566, 0.909467969263642, 0.822584958900748"
"35",750,6,0.005,5,0.815694520612308,"0.785817671684332, 0.792589808583166, 0.76207475336674, 0.911878235946746, 0.826112133480555"
"36",750,4,0.005,20,0.815279323469207,"0.786827142899558, 0.78910409929202, 0.764252368462261, 0.91053762943787, 0.825675377254325"
"37",750,3,0.005,10,0.81525275711534,"0.783644710667736, 0.789670483349358, 0.764125137018478, 0.910971657215648, 0.827851797325482"
"38",250,5,0.01,15,0.812574559388817,"0.786755700543333, 0.782566209247443, 0.758468231287191, 0.910170375164366, 0.824912280701754"
"39",1000,4,0.005,20,0.814772893606206,"0.783306983165583, 0.791142382658859, 0.763542808487316, 0.911315797583826, 0.824556496135443"
"40",500,4,0.01,5,0.81501598584185,"0.784205115643835, 0.795477668036011, 0.761463063733166, 0.911870531311637, 0.822063550484603"
"41",250,6,0.005,10,0.810616376710814,"0.787324455924705, 0.768570929114588, 0.764700125274037, 0.909641323553583, 0.822845049687155"
"42",100,4,0.01,20,0.811212178473821,"0.784091921261245, 0.779590944847478, 0.760158941434388, 0.910690438034188, 0.821528646791805"
"43",250,6,0.005,20,0.811394471101376,"0.78545025385232, 0.76665676077266, 0.769211948011275, 0.910341161242604, 0.825312231628021"
"44",250,5,0.005,10,0.810282840365654,"0.788525058638401, 0.766803601083821, 0.762216665361729, 0.909417889135437, 0.824450987608882"
"45",250,6,0.01,15,0.814403091415677,"0.787424660787981, 0.78245433091513, 0.761022647196993, 0.912371332593688, 0.828742485584591"
"46",50,3,0.005,15,0.808979577076643,"0.768186254861791, 0.761583777641815, 0.786843290009396, 0.906067656969099, 0.822216905901116"
"47",1000,4,0.01,20,0.814770715894106,"0.783290282355037, 0.793114238265886, 0.76345961869715, 0.912286581607495, 0.821702858544964"
"48",100,5,0.01,5,0.808628829878824,"0.78601529794246, 0.773292544358011, 0.752238784058879, 0.909352399737015, 0.822245123297755"
"49",250,6,0.005,5,0.81035324029245,"0.785014177132508, 0.768883838825278, 0.762397725493267, 0.910035544049967, 0.825434915961232"
"50",750,5,0.01,5,0.814012052504877,"0.782737299961403, 0.789132068875098, 0.765534469934231, 0.910951111522025, 0.821705312231628"
"51",100,5,0.01,20,0.809044621946651,"0.783830275229358, 0.766034437549165, 0.765306921390542, 0.908824632232084, 0.821226843332106"
"52",1000,4,0.005,10,0.813758986479878,"0.784772943202399, 0.790131981470151, 0.757998453648606, 0.912242922008547, 0.823648632069685"
"53",500,5,0.005,5,0.813279394838701,"0.784351711647516, 0.783859802464819, 0.761849651581585, 0.910925429404997, 0.82541037909459"
"54",100,6,0.005,15,0.808047279859847,"0.781061651969953, 0.764127261603007, 0.765786486063263, 0.905046792817226, 0.824214206845786"
"55",500,6,0.01,10,0.815003788366864,"0.784772943202399, 0.790083034699764, 0.76339110945819, 0.91002912352071, 0.826742730953257"
"56",1000,3,0.005,5,0.815048729627157,"0.784737685935691, 0.791131894065204, 0.76262772079549, 0.911493004191322, 0.82525334314808"
"57",100,5,0.01,10,0.809501499451776,"0.783946253080372, 0.768583165807185, 0.760403617287817, 0.911842280982906, 0.822732180100601"
"58",500,5,0.01,15,0.814656926087346,"0.786888379204893, 0.793292544358011, 0.757739097243971, 0.911320934007232, 0.824043675622623"
