"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",500,3,0.005,5,0.746983145302309,NA
"2",750,3,0.005,5,0.748154561411334,NA
"3",1000,3,0.005,5,0.745953457478181,NA
"4",50,4,0.005,5,0.732073691859198,NA
"5",100,4,0.005,5,0.736763539279316,NA
"6",1000,4,0.005,5,0.743567499194405,NA
"7",50,5,0.005,5,0.732699231938953,NA
"8",100,5,0.005,5,0.746595555175159,NA
"9",500,5,0.005,5,0.748760585466066,NA
"10",750,5,0.005,5,0.746089944090063,NA
"11",250,6,0.005,5,0.748201269745681,NA
"12",500,6,0.005,5,0.749011453253527,NA
"13",750,6,0.005,5,0.74566473363664,NA
"14",1000,6,0.005,5,0.746833844128498,NA
"15",50,3,0.01,5,0.737779410685146,NA
"16",100,3,0.01,5,0.744960944868012,NA
"17",250,3,0.01,5,0.747261463129342,NA
"18",1000,3,0.01,5,0.746345909036463,NA
"19",50,4,0.01,5,0.736519665231433,NA
"20",100,4,0.01,5,0.74469758676899,NA
"21",500,4,0.01,5,0.74759106136627,NA
"22",750,4,0.01,5,0.746947850902506,NA
"23",50,5,0.01,5,0.739214201429409,NA
"24",100,5,0.01,5,0.747788645038473,NA
"25",250,5,0.01,5,0.745458845625986,NA
"26",500,5,0.01,5,0.745430568367852,NA
"27",750,5,0.01,5,0.746383271077956,NA
"28",1000,5,0.01,5,0.74643375137308,NA
"29",50,6,0.01,5,0.745035166715153,NA
"30",500,6,0.01,5,0.745736771384656,NA
"31",100,3,0.005,10,0.741951161066492,NA
"32",250,3,0.005,10,0.754528909290974,NA
"33",500,3,0.005,10,0.748056134688546,NA
"34",750,3,0.005,10,0.746600477257295,NA
"35",1000,3,0.005,10,0.746692271131329,NA
"36",1000,4,0.005,10,0.746904392727093,NA
"37",100,5,0.005,10,0.744338033798864,NA
"38",250,5,0.005,10,0.748024863119649,NA
"39",500,5,0.005,10,0.748806852435501,NA
"40",50,6,0.005,10,0.739457574124325,NA
"41",250,6,0.005,10,0.750730053631512,NA
"42",500,6,0.005,10,0.748826575146023,NA
"43",750,6,0.005,10,0.748907813758593,NA
"44",1000,6,0.005,10,0.746887160645133,NA
"45",100,3,0.01,10,0.7495635645176,NA
"46",500,3,0.01,10,0.748876416701632,NA
"47",1000,3,0.01,10,0.746993297864525,NA
"48",50,4,0.01,10,0.73063158427216,NA
"49",250,4,0.01,10,0.751695002892284,NA
"50",500,4,0.01,10,0.748374814659113,NA
"51",1000,4,0.01,10,0.746775919719066,NA
"52",50,5,0.01,10,0.738250657073117,NA
"53",100,5,0.01,10,0.746195572496405,NA
"54",250,5,0.01,10,0.751010707437984,NA
"55",750,5,0.01,10,0.748606315186181,NA
"56",1000,5,0.01,10,0.744131283205948,NA
"57",50,6,0.01,10,0.742809998895446,NA
"58",100,6,0.01,10,0.747178783834436,NA
"59",250,6,0.01,10,0.747305757932841,NA
"60",500,6,0.01,10,0.748250511836277,NA
"61",1000,6,0.01,10,0.745433016070225,NA
"62",50,3,0.005,15,0.738654953236306,NA
"63",250,3,0.005,15,0.753011494604766,NA
"64",750,3,0.005,15,0.745285074050649,NA
"65",1000,3,0.005,15,0.744644696629707,NA
"66",50,4,0.005,15,0.735812336927062,NA
"67",250,4,0.005,15,0.751219205448463,NA
"68",50,5,0.005,15,0.741882201784266,NA
"69",100,5,0.005,15,0.741328125165428,NA
"70",500,5,0.005,15,0.747968360271074,NA
"71",1000,5,0.005,15,0.74762776155224,NA
"72",50,6,0.005,15,0.73956457277818,NA
"73",100,6,0.005,15,0.746069651003785,NA
"74",250,6,0.005,15,0.745042356293591,NA
"75",500,6,0.005,15,0.748375297163179,NA
"76",1000,6,0.005,15,0.748006936744837,NA
"77",50,3,0.01,15,0.74031833801589,NA
"78",750,3,0.01,15,0.747474732000615,NA
"79",1000,4,0.01,15,0.745045553922365,NA
"80",50,5,0.01,15,0.733137053325235,NA
"81",250,5,0.01,15,0.748239488192477,NA
"82",500,5,0.01,15,0.747594247710883,NA
"83",750,5,0.01,15,0.746838779090134,NA
"84",250,6,0.01,15,0.744377242695093,NA
"85",500,6,0.01,15,0.744666304078727,NA
"86",750,6,0.01,15,0.750342052753829,NA
"87",100,3,0.005,20,0.739450108517256,NA
"88",1000,3,0.005,20,0.747564044087004,NA
"89",100,4,0.005,20,0.740465415887911,NA
"90",250,4,0.005,20,0.74970230831485,NA
"91",750,4,0.005,20,0.747021596355975,NA
"92",1000,4,0.005,20,0.749765098919782,NA
"93",50,5,0.005,20,0.741828517522618,NA
"94",100,5,0.005,20,0.742523956172352,NA
"95",250,5,0.005,20,0.745832023981497,NA
"96",750,5,0.005,20,0.748228540321622,NA
"97",50,6,0.005,20,0.740897358528859,NA
"98",100,6,0.005,20,0.737979063729305,NA
"99",250,6,0.005,20,0.745530540560801,NA
"100",500,6,0.005,20,0.747105973318787,NA
"101",100,3,0.01,20,0.742250797565061,NA
"102",500,3,0.01,20,0.747435007766993,NA
"103",1000,3,0.01,20,0.747852564149091,NA
"104",50,4,0.01,20,0.743201609938957,NA
"105",100,4,0.01,20,0.746631834947052,NA
"106",250,4,0.01,20,0.749264550787471,NA
"107",500,4,0.01,20,0.750144726071911,NA
"108",750,4,0.01,20,0.748792648987312,NA
"109",1000,4,0.01,20,0.746986403050458,NA
"110",50,5,0.01,20,0.727063164032774,NA
"111",100,5,0.01,20,0.742094567627414,NA
"112",250,5,0.01,20,0.746745866307156,NA
"113",500,5,0.01,20,0.749213413765095,NA
"114",750,5,0.01,20,0.748542297641061,NA
"115",1000,5,0.01,20,0.745909808973103,NA
"116",50,6,0.01,20,0.737947222403191,NA
"117",100,6,0.01,20,0.741027318083725,NA
"118",250,6,0.01,20,0.750002665577969,NA
"119",500,6,0.01,20,0.747595502504026,NA
"120",1000,6,0.01,20,0.743376781779869,NA
