"","iteration","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"93",93,500,5,0.05,0.7,10,0,0.6,0.756484002259898
"94",94,500,3,0.05,0.7,5,0,0.7,0.773004303728992
"95",95,50,3,0.01,0.6,5,0,0.7,0.71005366457162
"96",96,1000,3,0.01,0.7,1,0.1,0.8,0.756172706131653
"97",97,100,5,0.01,0.7,5,0.1,0.8,0.738606481681543
"98",98,50,3,0.01,0.7,1,0,0.8,0.712235938457796
"99",99,1000,5,0.05,0.6,10,1,0.7,0.762581885286176
"100",100,100,5,0.1,0.8,5,0.1,0.7,0.768476505544912
"101",101,50,3,0.1,0.8,10,1,0.6,0.735459509896656
"102",102,500,5,0.1,0.8,10,1,0.7,0.752838876645108
"103",103,500,3,0.05,0.7,10,0.1,0.6,0.75929607062661
"104",104,1000,5,0.01,0.6,10,0,0.8,0.756683263791859
"105",105,1000,5,0.05,0.8,1,0,0.6,0.741967519570043
"106",106,100,5,0.1,0.7,5,0,0.8,0.765064251840968
"107",107,1000,3,0.1,0.6,5,0,0.6,0.758188528617637
"108",108,500,5,0.05,0.6,1,0.1,0.7,0.756174306625886
"109",109,50,3,0.01,0.6,1,1,0.6,0.709694753739955
"110",110,100,5,0.01,0.8,1,1,0.7,0.734345565910753
"111",111,100,5,0.05,0.8,10,1,0.7,0.73629776875099
"112",112,1000,5,0.1,0.8,10,1,0.7,0.756154300447978
"113",113,500,3,0.05,0.8,10,0.1,0.8,0.748146227555069
"114",114,100,5,0.05,0.8,10,1,0.8,0.732277727362209
"115",115,50,5,0.05,0.8,10,0,0.8,0.733159999807941
"116",116,1000,5,0.05,0.7,1,0,0.7,0.753159775738748
"117",117,500,5,0.05,0.7,5,1,0.8,0.767239323503098
"118",118,500,3,0.1,0.6,10,0.1,0.6,0.734856523694517
"119",119,100,5,0.01,0.7,1,0,0.8,0.742341635096918
"120",120,100,3,0.1,0.7,10,1,0.8,0.755471689657766
