"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"41",100,3,0.1,0.6,10,1,0.6,0.855174439489155,"0.843861290597744, 0.858886643238429, 0.856237259682641, 0.863312747984129, 0.853574255942829"
"42",500,5,0.1,0.8,1,1,0.8,0.823169876727252,"0.803515450067174, 0.818952875113986, 0.829887951823281, 0.835178548572891, 0.828314558058926"
"43",50,3,0.1,0.7,1,0.1,0.7,0.856804740491688,"0.848390218156228, 0.859653215872186, 0.854963561026953, 0.864128695763471, 0.8568880116396"
"44",50,3,0.01,0.7,10,1,0.7,0.851956330202823,"0.842169940076344, 0.856236301680327, 0.848238005782272, 0.860618253765092, 0.85251914971008"
"45",100,3,0.05,0.8,5,0,0.6,0.858118294433305,"0.85085860362954, 0.862040922980114, 0.856894093822029, 0.863534067153035, 0.857263784581809"
"46",500,5,0.05,0.7,10,0.1,0.7,0.84095047529334,"0.828761755485893, 0.839987628184276, 0.844308991832874, 0.848297708946627, 0.843396292017031"
"47",500,3,0.05,0.6,10,1,0.7,0.853526257626916,"0.845323395816007, 0.8566229209217, 0.853019705024182, 0.861531528648833, 0.851133737723859"
"48",1000,3,0.01,0.8,10,0.1,0.7,0.858420007735795,"0.850665344507709, 0.862680844483077, 0.857744114473, 0.86510996629549, 0.8558997689197"
"49",50,5,0.05,0.6,5,1,0.6,0.858823152071579,"0.851983505000746, 0.861906272830533, 0.854639807079953, 0.865896582618712, 0.859689592827952"
"50",500,5,0.05,0.7,10,1,0.7,0.840923518023422,"0.829454822681424, 0.840126277843251, 0.841617703878386, 0.849281645974658, 0.844137139739393"
"51",500,3,0.05,0.7,5,0,0.6,0.850586143379946,"0.839618919668181, 0.854852471430171, 0.852545398830222, 0.857363795383762, 0.848550131587393"
"52",1000,5,0.05,0.6,10,0,0.8,0.830857820101209,"0.814465911756552, 0.82951424625246, 0.835544985810784, 0.840386215282222, 0.834377741404027"
"53",100,5,0.1,0.6,10,0,0.6,0.853063698986033,"0.84439841767428, 0.855257755048714, 0.854021610242882, 0.862486134220743, 0.849154577743544"
"54",50,3,0.01,0.6,1,0.1,0.6,0.852381175692278,"0.843180218795982, 0.85842403331858, 0.847867620608338, 0.859286339007637, 0.853147666730856"
"55",100,3,0.1,0.6,1,0,0.8,0.857471052354117,"0.85084927387883, 0.859334588290503, 0.855020850820043, 0.867285827040403, 0.854864721740805"
"56",50,5,0.05,0.7,1,0,0.7,0.860576146029729,"0.852022156825113, 0.863775376887102, 0.860069014215863, 0.868621741541875, 0.858392440678691"
"57",1000,5,0.1,0.6,10,0.1,0.6,0.819890372591237,"0.802827714157763, 0.816182548274078, 0.828022702745913, 0.82950691155766, 0.822911986220767"
"58",1000,3,0.05,0.6,10,1,0.6,0.844302780921103,"0.831717953639136, 0.846368178836729, 0.846083643097912, 0.854006676906011, 0.843337452125725"
"59",500,5,0.05,0.6,5,0.1,0.8,0.835951490234996,"0.824104877060542, 0.835070897969849, 0.842139973620049, 0.842962050428773, 0.83547965209577"
"60",50,5,0.05,0.8,5,0.1,0.6,0.85900209832014,"0.85026149958416, 0.861547650154914, 0.857060633918222, 0.866927183326934, 0.859213524616471"
"61",100,3,0.1,0.8,1,0.1,0.7,0.858044621004666,"0.849834996694603, 0.857734784533097, 0.858996495996376, 0.867559142881522, 0.856097684917731"
"62",50,3,0.01,0.8,1,0,0.6,0.852317665688696,"0.84399723839379, 0.855492392933134, 0.847262746978963, 0.859660981697171, 0.855174968440422"
"63",50,3,0.05,0.8,10,0,0.6,0.854411746889565,"0.845015514042608, 0.856717575977347, 0.850868006981361, 0.863623394769401, 0.855834242677108"
"64",500,3,0.01,0.7,5,0.1,0.7,0.858513308650989,"0.850073571748449, 0.862203569695451, 0.856334519098818, 0.865837919706472, 0.858116963005756"
"65",50,3,0.01,0.6,10,0.1,0.6,0.851750238576002,"0.842369863305824, 0.855157767313876, 0.848231344178424, 0.860870237638125, 0.85212198044376"
"66",100,5,0.01,0.6,5,0.1,0.6,0.85847492340568,"0.851867549527648, 0.85928126149859, 0.856736879971222, 0.866124568027646, 0.858364358003295"
"67",50,5,0.05,0.8,1,0.1,0.6,0.860487107737044,"0.852311379097093, 0.864404633031681, 0.858065203778462, 0.867428484576987, 0.860225838200997"
"68",500,5,0.05,0.7,10,0.1,0.8,0.839982557894346,"0.826861151984305, 0.839075740042555, 0.843093915291045, 0.848839007636845, 0.842042974516978"
"69",50,3,0.1,0.7,1,0,0.6,0.857191639200127,"0.849801676156356, 0.860914394500941, 0.854654462608418, 0.864499338708989, 0.856088324025932"
"70",500,5,0.1,0.6,5,0,0.7,0.825470124398479,"0.809537137739108, 0.825714712328621, 0.828894040529198, 0.833248005460984, 0.829956725934484"
"71",100,3,0.1,0.7,10,0.1,0.6,0.858506630228071,"0.853670857057557, 0.861484991174416, 0.854058915224429, 0.868039112163488, 0.855279275520466"
"72",1000,3,0.01,0.7,5,0.1,0.6,0.859275360482217,"0.85274721173736, 0.86224089844979, 0.857544266357568, 0.86698984598319, 0.856854579883176"
"73",500,5,0.1,0.7,1,0.1,0.8,0.818805390499477,"0.803923293455313, 0.811916404920996, 0.824646601915877, 0.830021545287768, 0.823519106917432"
"74",1000,5,0.1,0.7,10,0,0.7,0.818024579800195,"0.798778602350031, 0.815196002623678, 0.827337889870365, 0.827912346943129, 0.820898057213771"
"75",1000,3,0.05,0.6,10,0,0.8,0.843734292280179,"0.831936536370034, 0.844531070855308, 0.845385507014669, 0.851868147105252, 0.84495020005563"
"76",100,5,0.05,0.6,1,0.1,0.7,0.856445951022487,"0.847290640394089, 0.859107949424871, 0.856206616304942, 0.863262084559921, 0.856362464428611"
"77",500,3,0.05,0.8,10,0,0.7,0.852227339777144,"0.843033608427697, 0.854497848263946, 0.852526746339449, 0.860899569094245, 0.850178926760383"
"78",1000,5,0.01,0.8,5,1,0.6,0.852743998826187,"0.842929648348368, 0.854575172112221, 0.854216129075236, 0.860731579845557, 0.851267464749556"
"79",100,5,0.1,0.7,1,0.1,0.7,0.846094535912958,"0.834375599769688, 0.847304064034812, 0.847986197156827, 0.853398715815521, 0.847408102787941"
"80",100,5,0.05,0.7,1,0,0.6,0.856437882406837,"0.848378222762459, 0.859107949424871, 0.855284650332414, 0.862382140876317, 0.857036448638124"
"81",500,5,0.01,0.6,5,0,0.8,0.858449643114289,"0.85075331072868, 0.860595766919258, 0.859036465619463, 0.865189961175818, 0.856672711128228"
"82",500,5,0.01,0.7,5,1,0.7,0.859159208852989,"0.85124912033779, 0.862606186974398, 0.858700720785536, 0.86609123682751, 0.857148779339709"
"83",1000,5,0.01,0.7,5,0,0.7,0.852131658754801,"0.842297890943211, 0.854105896343382, 0.854250769415244, 0.859878301122062, 0.850125435950104"
"84",50,3,0.1,0.7,1,0,0.8,0.856291858174621,"0.84797037937432, 0.860361129034838, 0.854695764552274, 0.862271481291864, 0.856160536619809"
"85",100,5,0.05,0.6,10,0.1,0.6,0.857510010436275,"0.849385835839038, 0.859633218325219, 0.856443769401921, 0.866997845471223, 0.855089383143976"
"86",100,3,0.1,0.8,10,1,0.8,0.858836112852394,"0.852420670462542, 0.862624851351568, 0.856281226268036, 0.867331157472588, 0.855522658707234"
