"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",100,5,0.05,0.7,1,0,0.6,0.740839471228715
"2",50,3,0.1,0.7,1,0,0.6,0.748774421541372
"3",50,3,0.01,0.8,1,0,0.6,0.70420105728649
"4",1000,5,0.05,0.8,1,0,0.6,0.75163270417905
"5",50,5,0.1,0.8,1,0,0.6,0.729197076057086
"6",1000,3,0.1,0.6,5,0,0.6,0.761397519554038
"7",500,3,0.05,0.7,5,0,0.6,0.753993633233943
"8",100,3,0.05,0.8,5,0,0.6,0.734997867341435
"9",100,3,0.1,0.8,5,0,0.6,0.742447067654492
"10",500,5,0.05,0.6,10,0,0.6,0.745320755049159
"11",100,5,0.1,0.6,10,0,0.6,0.755338148420232
"12",50,5,0.01,0.7,10,0,0.6,0.718323218209783
"13",500,5,0.05,0.7,10,0,0.6,0.756089880555115
"14",50,3,0.05,0.8,10,0,0.6,0.724122909154347
"15",50,3,0.01,0.6,1,0.1,0.6,0.707845282623274
"16",50,5,0.01,0.6,1,0.1,0.6,0.725168732104474
"17",50,5,0.05,0.8,1,0.1,0.6,0.726081513971514
"18",500,3,0.1,0.8,1,0.1,0.6,0.755589325983864
"19",100,5,0.01,0.6,5,0.1,0.6,0.718480666829917
"20",50,3,0.05,0.6,5,0.1,0.6,0.719203089914165
"21",100,5,0.05,0.6,5,0.1,0.6,0.736680887057923
"22",1000,3,0.01,0.7,5,0.1,0.6,0.743043851941479
"23",100,3,0.01,0.8,5,0.1,0.6,0.70764452062797
"24",50,5,0.05,0.8,5,0.1,0.6,0.725893655960961
"25",50,3,0.01,0.6,10,0.1,0.6,0.71050020246252
"26",100,5,0.05,0.6,10,0.1,0.6,0.73455873173636
"27",500,3,0.1,0.6,10,0.1,0.6,0.762067526452168
"28",1000,5,0.1,0.6,10,0.1,0.6,0.750549969830684
"29",500,3,0.05,0.7,10,0.1,0.6,0.753637723328964
"30",100,3,0.1,0.7,10,0.1,0.6,0.743829094424358
"31",500,3,0.1,0.7,10,0.1,0.6,0.763735441504336
"32",500,3,0.05,0.8,10,0.1,0.6,0.758859335762884
"33",50,3,0.01,0.6,1,1,0.6,0.708244405872533
"34",50,5,0.05,0.6,5,1,0.6,0.737536851379706
"35",500,5,0.05,0.6,5,1,0.6,0.75145945067837
"36",100,5,0.1,0.6,5,1,0.6,0.761797242988635
"37",500,3,0.01,0.8,5,1,0.6,0.731941023388022
"38",1000,3,0.01,0.8,5,1,0.6,0.740848373977884
"39",1000,5,0.01,0.8,5,1,0.6,0.746152811988342
"40",500,5,0.05,0.8,5,1,0.6,0.755760578866754
"41",50,5,0.01,0.6,10,1,0.6,0.717505565718694
"42",1000,3,0.05,0.6,10,1,0.6,0.759457320420546
"43",100,3,0.1,0.6,10,1,0.6,0.752772056010896
"44",500,5,0.1,0.7,10,1,0.6,0.74123529345862
