"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",250,3,5,0.783410039411667,NA
"2",500,3,5,0.781039245594546,NA
"3",750,3,5,0.780501309129942,NA
"4",900,3,5,0.779661847556129,NA
"5",1000,3,5,0.780127448169576,NA
"6",50,4,5,0.780009021994573,NA
"7",100,4,5,0.780863554352804,NA
"8",250,4,5,0.777756883012672,NA
"9",500,4,5,0.781022507904124,NA
"10",750,4,5,0.779832699748335,NA
"11",900,4,5,0.780998952671808,NA
"12",1000,4,5,0.779422721360634,NA
"13",50,5,5,0.778449422183412,NA
"14",100,5,5,0.77950589358294,NA
"15",250,5,5,0.78044050156326,NA
"16",900,5,5,0.781539342045875,NA
"17",1000,5,5,0.780150291321042,NA
"18",50,6,5,0.773594335008594,NA
"19",100,6,5,0.776181555938593,NA
"20",250,6,5,0.778369361463715,NA
"21",500,6,5,0.779962455196993,NA
"22",750,6,5,0.781523135575139,NA
"23",900,6,5,0.781695221708563,NA
"24",50,3,10,0.77921957191104,NA
"25",100,3,10,0.778438189672637,NA
"26",250,3,10,0.780652680935452,NA
"27",500,3,10,0.782061116188943,NA
"28",900,3,10,0.780904202146829,NA
"29",1000,3,10,0.780697417787976,NA
"30",50,4,10,0.771144337967486,NA
"31",100,4,10,0.776854921029454,NA
"32",250,4,10,0.779214363394461,NA
"33",500,4,10,0.780540044113178,NA
"34",750,4,10,0.779443396224091,NA
"35",900,4,10,0.780699798408896,NA
"36",1000,4,10,0.779664933827781,NA
"37",50,5,10,0.776132414842989,NA
"38",100,5,10,0.775706571909919,NA
"39",250,5,10,0.780138946454299,NA
"40",500,5,10,0.780485927471286,NA
"41",750,5,10,0.78010878306111,NA
"42",1000,5,10,0.780637684671321,NA
"43",50,6,10,0.773353865628227,NA
"44",250,6,10,0.781586389535346,NA
"45",500,6,10,0.781888623417696,NA
"46",750,6,10,0.780963196512714,NA
"47",1000,6,10,0.779956370593444,NA
"48",50,3,15,0.771495854350054,NA
"49",100,3,15,0.778837379627115,NA
"50",250,3,15,0.781487610598588,NA
"51",500,3,15,0.780264796314584,NA
"52",750,3,15,0.780639881860185,NA
"53",1000,3,15,0.780973397242251,NA
"54",100,4,15,0.780798228951009,NA
"55",250,4,15,0.77838753297789,NA
"56",500,4,15,0.781409085758835,NA
"57",750,4,15,0.781227379827976,NA
"58",900,4,15,0.780390719198575,NA
"59",1000,4,15,0.77940077984093,NA
"60",50,5,15,0.775006813534657,NA
"61",100,5,15,0.782022963196695,NA
"62",250,5,15,0.777279771307425,NA
"63",500,5,15,0.780699732119159,NA
"64",900,5,15,0.779958694260933,NA
"65",1000,5,15,0.779935944980578,NA
"66",50,6,15,0.774587699594913,NA
"67",100,6,15,0.77702297356053,NA
"68",250,6,15,0.7795898912249,NA
"69",500,6,15,0.779761705201426,NA
"70",750,6,15,0.779664142597724,NA
"71",900,6,15,0.78009059541152,NA
"72",1000,6,15,0.779897511419446,NA
"73",250,3,17,0.780155415917563,NA
"74",500,3,17,0.781114936243891,NA
"75",750,3,17,0.779379500076687,NA
"76",900,3,17,0.779581560784033,NA
"77",1000,3,17,0.780859200733216,NA
"78",50,4,17,0.774934446425386,NA
"79",100,4,17,0.776158069448032,NA
"80",500,4,17,0.780519216127698,NA
"81",750,4,17,0.778558821501651,NA
"82",1000,4,17,0.779485227109539,NA
"83",50,5,17,0.776873760732076,NA
"84",100,5,17,0.783040652953036,NA
"85",250,5,17,0.779635599752599,NA
"86",500,5,17,0.779373043671612,NA
"87",750,5,17,0.780489988439912,NA
"88",900,5,17,0.780760099921947,NA
"89",1000,5,17,0.780273917785034,NA
"90",50,6,17,0.778662169521339,NA
"91",100,6,17,0.777446992537657,NA
"92",250,6,17,0.779797806721387,NA
"93",500,6,17,0.776838596180622,NA
"94",750,6,17,0.781530272455571,NA
"95",1000,6,17,0.779388614811833,NA
"96",100,3,20,0.779228717463492,NA
"97",250,3,20,0.779834996032561,NA
"98",500,3,20,0.780959887018931,NA
"99",750,3,20,0.780104640158721,NA
"100",900,3,20,0.78076884675026,NA
"101",1000,3,20,0.780416078132939,NA
"102",100,4,20,0.779552186056894,NA
"103",500,4,20,0.781472513220962,NA
"104",750,4,20,0.780645006526133,NA
"105",900,4,20,0.779095964098178,NA
"106",1000,4,20,0.780287478916249,NA
"107",50,5,20,0.778688489242882,NA
"108",100,5,20,0.776399302112633,NA
"109",250,5,20,0.780765729206982,NA
"110",500,5,20,0.780639896568925,NA
"111",750,5,20,0.779567243016346,NA
"112",900,5,20,0.780617963407144,NA
"113",1000,5,20,0.781034285491085,NA
"114",50,6,20,0.77604467819638,NA
"115",100,6,20,0.778760166221631,NA
"116",250,6,20,0.779318905516177,NA
"117",500,6,20,0.779607405442259,NA
"118",750,6,20,0.779958329510688,NA
"119",900,6,20,0.780602841595846,NA
"120",1000,6,20,0.7793307351161,NA
