"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"24",24,250,4,0.01,10,0.718273529212451,"0.84123578535892, 0.771344171997157, 0.579232742537313, 0.774291708732963, 0.678549343765775, 0.55296567390207, 0.735403140051292, 0.739345718396197, 0.654465086215884, 0.717891156462585, 0.698775510204082, 0.87578231292517"
"25",25,1000,5,0.01,20,0.741810115877785,"0.883908582089552, 0.774081600923952, 0.615717728322672, 0.834769371529531, 0.687250757193337, 0.545235991923271, 0.735396676466295, 0.734897937907883, 0.602163424449031, 0.793197278911565, 0.829115646258503, 0.865986394557823"
"26",26,50,4,0.005,15,0.724311581302856,"0.818534004086709, 0.768427394278607, 0.669280272743426, 0.741458701413428, 0.681398283695103, 0.585474507824331, 0.730173682783929, 0.742823752632347, 0.608284022434895, 0.676258503401361, 0.823163265306122, 0.846462585034014"
"27",27,250,6,0.005,15,0.721863166124802,"0.840629442075338, 0.772386949182658, 0.608004619758351, 0.771788238263503, 0.678289847299344, 0.583317295557799, 0.741233502220554, 0.74269281291049, 0.653062905277204, 0.648095238095238, 0.759591836734694, 0.863265306122449"
"28",28,500,3,0.01,10,0.733965909884427,"0.849370335820895, 0.776531405472637, 0.65796519633973, 0.784277195860676, 0.684695229681979, 0.539053035083291, 0.735552219511687, 0.737469610725381, 0.636350159504598, 0.768979591836735, 0.757482993197279, 0.879863945578231"
"29",29,750,6,0.01,15,0.748416359981979,"0.883864161336176, 0.779372112651031, 0.639257396055437, 0.833945923775871, 0.680484919232711, 0.585820766027259, 0.737451262484102, 0.732541856925419, 0.645740914493026, 0.782312925170068, 0.829387755102041, 0.850816326530612"
"30",30,100,4,0.01,5,0.707120899798074,"0.827543088130775, 0.7686628242715, 0.522673463041933, 0.752383581524483, 0.682057672892479, 0.553711824835941, 0.732663831029378, 0.735860803569567, 0.597274660661788, 0.749387755102041, 0.726292517006803, 0.836938775510204"
"31",31,50,5,0.005,15,0.70982635471091,"0.820390236318408, 0.766301861229566, 0.551252109985785, 0.753286692327108, 0.670384275618375, 0.518794169611307, 0.739984779299848, 0.741924063301432, 0.627162694689435, 0.687823129251701, 0.812142857142857, 0.828469387755102"
"32",32,1000,3,0.01,20,0.730144429041032,"0.865979255508173, 0.773984985785359, 0.570500177683014, 0.808553129732458, 0.681649103987885, 0.527995646138314, 0.736723587915181, 0.736327015700256, 0.598455620191406, 0.799387755102041, 0.81530612244898, 0.84687074829932"
"33",33,500,3,0.01,20,0.720066627909234,"0.847169287491116, 0.773553549218195, 0.506629242181947, 0.780249873801111, 0.681996150933872, 0.53013313982837, 0.737125164195909, 0.738264423177165, 0.61064469047768, 0.802857142857143, 0.768775510204082, 0.863401360544218"
"34",34,100,3,0.01,10,0.701170563478761,"0.822128198294243, 0.771409137348969, 0.66089196872779, 0.745468671125694, 0.675675164058556, 0.566639323573953, 0.729853631075249, 0.739509393048519, 0.609784199662226, 0.598061224489796, 0.643503401360544, 0.851122448979592"
"35",35,750,6,0.005,5,0.740713200024884,"0.866091417910448, 0.777789623312011, 0.66243447938877, 0.808975896012115, 0.686537733467945, 0.535083291267037, 0.740426179604262, 0.743534121473697, 0.643535997998374, 0.773469387755102, 0.784421768707483, 0.866258503401361"
"36",36,750,4,0.005,20,0.725388769142154,"0.848728455934613, 0.775980588130775, 0.572557969083156, 0.784785146390712, 0.68295526249369, 0.534230660020192, 0.739053397552178, 0.741373616063051, 0.615476324513667, 0.774965986394558, 0.760680272108843, 0.873877551020408"
"37",37,750,3,0.005,10,0.708514722756165,"0.842890458422175, 0.777533093461265, 0.623214840973703, 0.774140270065623, 0.680068462897527, 0.47553792276628, 0.735163987406434, 0.735372490148245, 0.627098684347699, 0.681292517006803, 0.687823129251701, 0.862040816326531"
"38",38,250,5,0.01,15,0.728503245585051,"0.847666799928927, 0.774793443496802, 0.626751288201848, 0.782731259464917, 0.680377650176678, 0.565800100959112, 0.737021329830487, 0.737561351931778, 0.659063614186527, 0.704149659863946, 0.767891156462585, 0.858231292517007"
"39",39,1000,4,0.005,20,0.726552608858194,"0.856695318052594, 0.776930081734186, 0.586155161691542, 0.79532906360424, 0.683903331650682, 0.51632224886421, 0.738125977356602, 0.735867058651821, 0.590731636121015, 0.788639455782313, 0.784285714285714, 0.865646258503401"
"40",40,500,4,0.01,5,0.730932633663642,"0.859994669509595, 0.776126066098081, 0.592987073560768, 0.798558177688036, 0.684815118626956, 0.564202107521454, 0.739392006004879, 0.737923312691562, 0.58188694981339, 0.776462585034014, 0.797414965986394, 0.861428571428571"
"41",41,250,6,0.005,10,0.699806612347174,"0.841244669509595, 0.774189321250888, 0.454547019367448, 0.774738137304392, 0.67683934881373, 0.541584900302877, 0.737078459581743, 0.742429473947582, 0.618905569108234, 0.679931972789116, 0.68469387755102, 0.871496598639456"
"42",42,100,4,0.01,20,0.701364869256359,"0.824706823027719, 0.763241826581379, 0.612926439232409, 0.753712613579001, 0.674774419485109, 0.523488768298839, 0.734497821146348, 0.744486979003774, 0.593148182898605, 0.646666666666667, 0.693469387755102, 0.851258503401361"
"43",43,250,6,0.005,20,0.706596494248523,"0.838829291044776, 0.766730521499645, 0.528068363539446, 0.770848056537102, 0.68040131246845, 0.564372476022211, 0.736919580492484, 0.741813348345531, 0.610834844978211, 0.703741496598639, 0.680680272108844, 0.855918367346939"
"44",44,250,5,0.005,10,0.711540034467137,"0.835727611940299, 0.77200382018479, 0.653273254264392, 0.766324615093387, 0.678275649924281, 0.541590421504291, 0.738239611350889, 0.734313296219845, 0.62124913992619, 0.685034013605442, 0.654285714285714, 0.858163265306122"
"45",45,250,6,0.01,15,0.728045020949201,"0.852426483653163, 0.774647965529495, 0.621909981343284, 0.787741355376073, 0.684416014639071, 0.544761168601716, 0.739315276995893, 0.739272325431079, 0.632185734242405, 0.710748299319728, 0.784081632653061, 0.865034013605442"
"46",46,50,3,0.005,15,0.707998633500776,"0.811794820540156, 0.757433257818053, 0.550943385749822, 0.737117459616355, 0.675019718576476, 0.519916550984351, 0.730095285753008, 0.743362315214445, 0.628838222722629, 0.722244897959184, 0.779965986394558, 0.839251700680272"
"47",47,1000,4,0.01,20,0.729913328955639,"0.876513637171286, 0.775196561833689, 0.522685123489694, 0.822624305906108, 0.685785272589601, 0.520900113579, 0.736422926961489, 0.734505535747795, 0.616843476991722, 0.801632653061224, 0.807278911564626, 0.858571428571429"
"48",48,100,5,0.01,5,0.722919186841608,"0.83238217395167, 0.769185878642502, 0.643907693674485, 0.761430464411913, 0.683931726400808, 0.620750252397779, 0.7368707908509, 0.737732949688288, 0.593600216842851, 0.719659863945578, 0.72421768707483, 0.851360544217687"
"49",49,250,6,0.005,5,0.721122331880302,"0.841244669509595, 0.772887237917555, 0.630961265103056, 0.773574741292277, 0.676265143866734, 0.589577549217567, 0.73551114447155, 0.738962073351265, 0.631286878922458, 0.703469387755102, 0.694285714285714, 0.865442176870748"
"50",50,750,5,0.01,5,0.745164480579652,"0.879886282871358, 0.776665778251599, 0.639856520966596, 0.82742775113579, 0.686043980312973, 0.554844459868753, 0.741049185796793, 0.737007151644044, 0.627423948624924, 0.843537414965986, 0.762857142857143, 0.865374149659864"
"51",51,100,5,0.01,20,0.692235825135369,"0.833675373134328, 0.763828180525942, 0.631808590973703, 0.761506183745583, 0.671361528268551, 0.516170021453811, 0.736489647838869, 0.73461437417902, 0.589416817831155, 0.642925170068027, 0.610136054421769, 0.814897959183673"
"52",52,1000,4,0.005,10,0.735793762871202,"0.859808102345416, 0.779234408315565, 0.646043221393035, 0.798002902574457, 0.681877839475013, 0.557573510853104, 0.737869518984175, 0.733814974666917, 0.613872104418173, 0.773673469387755, 0.773537414965986, 0.87421768707483"
"53",53,500,5,0.005,5,0.718825776732622,"0.849351457000711, 0.776121624022743, 0.583208955223881, 0.784288238263503, 0.684081587582029, 0.517089695860676, 0.734422134651071, 0.738485853088968, 0.577227122036655, 0.742585034013605, 0.76687074829932, 0.872176870748299"
"54",54,100,6,0.005,15,0.711262937168235,"0.831438232942431, 0.769889392324094, 0.627169398542999, 0.760953274861181, 0.682721794548208, 0.544040257445734, 0.73707345551594, 0.745972144033694, 0.616917703967807, 0.655034013605442, 0.72530612244898, 0.838639455782313"
"55",55,500,6,0.01,10,0.745265353741851,"0.872855588130775, 0.77844816098081, 0.673161536069652, 0.819688604240283, 0.684726779404341, 0.555833543664816, 0.737214403369404, 0.734734888763787, 0.645976522591272, 0.761020408163265, 0.801020408163265, 0.878503401360544"
"56",56,1000,3,0.005,5,0.71169535849697,"0.84969460732054, 0.775559701492537, 0.490706067874911, 0.786215926299849, 0.683393803634528, 0.51412954316002, 0.736823252225767, 0.734603532036446, 0.62336752778299, 0.770068027210884, 0.715510204081633, 0.860272108843537"
"57",57,100,5,0.01,10,0.714377486017062,"0.832441031449893, 0.774185434434968, 0.633501576936745, 0.762289405603231, 0.680009307168097, 0.569234288238263, 0.738234398782344, 0.730969120743938, 0.651461187214612, 0.634829931972789, 0.696598639455782, 0.868775510204082"
"58",58,500,5,0.01,15,0.734478605540495,"0.865636105188344, 0.778734674840085, 0.611804815209666, 0.80811458859162, 0.684649482584553, 0.532503312720848, 0.735988407247555, 0.735807426867663, 0.647579283167574, 0.778707482993197, 0.749931972789116, 0.884285714285714"
"59",59,250,5,0.01,5,0.723607723103518,"0.849633528784648, 0.777081112295665, 0.631258328891258, 0.784297703180212, 0.679372002776376, 0.55430969207471, 0.733300806905611, 0.734026396447113, 0.609536915410438, 0.71, 0.729659863945578, 0.890816326530612"
"60",60,500,5,0.01,20,0.727461108835468,"0.864679948471926, 0.776917866027008, 0.558018501243781, 0.805150492175669, 0.685756877839475, 0.5225974886421, 0.736402493692792, 0.737387043639624, 0.567180417422489, 0.809251700680272, 0.796734693877551, 0.869455782312925"
"61",61,100,6,0.01,20,0.698885035806287,"0.837501110518834, 0.763634394989339, 0.559519367448472, 0.768290951539626, 0.681773725391217, 0.503016942200909, 0.737032588978545, 0.740582348157878, 0.624588728341778, 0.672380952380952, 0.647006802721088, 0.851292517006803"
"62",62,250,5,0.01,20,0.71521304870848,"0.846942741648898, 0.775636882551528, 0.599348680703625, 0.78182104997476, 0.685875189298334, 0.504799501514387, 0.738566543650049, 0.735336627676654, 0.601032088571965, 0.741224489795918, 0.713673469387755, 0.858299319727891"
"63",63,500,3,0.005,5,0.697945934540973,"0.834359452736318, 0.775652985074627, 0.550771810589908, 0.763132571933367, 0.682728104492681, 0.506563919737506, 0.731947624111257, 0.734700277308647, 0.596514876670628, 0.631836734693878, 0.707551020408163, 0.859591836734694"
"64",64,50,5,0.005,5,0.697090554441633,"0.825409226190476, 0.765323494136461, 0.522908893034826, 0.75513235108531, 0.676896138313983, 0.50961872160525, 0.74005295969642, 0.738531723692167, 0.576247159150143, 0.645408163265306, 0.742380952380952, 0.867176870748299"
"65",65,100,4,0.005,20,0.702215451609763,"0.822006041222459, 0.758352767412935, 0.567587842039801, 0.746665983089349, 0.676963181474003, 0.524982647652701, 0.734942765997373, 0.731575029711641, 0.594461541669273, 0.700136054421769, 0.720646258503401, 0.848265306122449"
"66",66,50,5,0.01,15,0.715433984874505,"0.825363694918266, 0.766991493425728, 0.652817386282871, 0.754781360424028, 0.684068967693084, 0.544679928066633, 0.737942494943808, 0.739677029252935, 0.604123558724797, 0.667857142857143, 0.775680272108843, 0.831224489795918"
"67",67,50,6,0.005,15,0.708782549645333,"0.827442586176262, 0.770858875266525, 0.634082933546553, 0.752599697122665, 0.674070860676426, 0.542290036597678, 0.744900022935302, 0.745301182210546, 0.603810387606597, 0.693197278911565, 0.646462585034014, 0.870374149659864"
"68",68,50,3,0.01,5,0.702277735595736,"0.817554526474769, 0.768023720682303, 0.536070207000711, 0.737856511862696, 0.675728009843513, 0.503225170368501, 0.726840557953337, 0.736209628656617, 0.612014970496862, 0.760510204081633, 0.71234693877551, 0.840952380952381"
"69",69,500,3,0.005,10,0.706961112963365,"0.833238939232409, 0.776504197761194, 0.632893567874911, 0.761671819787986, 0.680259338717819, 0.50014276249369, 0.733159859052147, 0.734142949479786, 0.629547132044786, 0.66687074829932, 0.676462585034014, 0.858639455782313"
"70",70,500,6,0.005,5,0.732551874161609,"0.855100613006397, 0.776265991471215, 0.638197405828003, 0.792382319535588, 0.681574962140333, 0.555853262241292, 0.738554658993766, 0.740313588123684, 0.583604178394946, 0.742380952380952, 0.80421768707483, 0.882176870748299"
"71",71,750,5,0.01,10,0.746391463482345,"0.879247734541578, 0.779555348258706, 0.676988939232409, 0.827415131246845, 0.684124179707219, 0.556877050731954, 0.737887867225454, 0.735108108671629, 0.646840140947853, 0.777142857142857, 0.773197278911565, 0.882312925170068"
"72",72,50,6,0.005,20,0.695205960867958,"0.826705756929638, 0.755297174840085, 0.571549617981521, 0.756879416961131, 0.675833701413428, 0.531242901312468, 0.7331292091491, 0.743834990930131, 0.594189237088468, 0.636292517006803, 0.680068027210884, 0.837448979591837"
"73",73,100,5,0.005,15,0.707003506137525,"0.825637993070362, 0.766737184612651, 0.618728900142146, 0.755581934628975, 0.678384496466431, 0.511839822059566, 0.736036362878172, 0.737193344592481, 0.634786388941015, 0.636666666666667, 0.74312925170068, 0.839319727891156"
"74",74,750,3,0.01,15,0.736492016648613,"0.859411647121535, 0.775347592395167, 0.590564476723525, 0.797621150933872, 0.683968008581525, 0.588741481574962, 0.736551364650445, 0.734885844748858, 0.667615354141907, 0.767823129251701, 0.767891156462585, 0.867482993197279"
"75",75,250,5,0.01,10,0.722134826545312,"0.847381396588486, 0.77417710554371, 0.645869980454869, 0.782712329631499, 0.68036818525997, 0.553908221857648, 0.739195179416609, 0.743621484122516, 0.622057505056192, 0.715442176870748, 0.693061224489796, 0.867823129251701"
"76",76,750,4,0.01,5,0.734390079829561,"0.871572938877043, 0.77438144100924, 0.638732120646766, 0.816320671378092, 0.683070418980313, 0.556348592882383, 0.738202289360105, 0.737982110464753, 0.612192823335627, 0.789795918367347, 0.747891156462585, 0.846190476190476"
"77",77,500,5,0.01,5,0.745473214438327,"0.866524520255864, 0.775039978678038, 0.640021433013504, 0.811525113579, 0.687307546693589, 0.558508960121151, 0.737483371906341, 0.737118075102688, 0.637387669147849, 0.861836734693878, 0.750884353741497, 0.882040816326531"
"78",78,500,5,0.005,15,0.72700002657963,"0.847362517768301, 0.776138281805259, 0.606871890547264, 0.781641216557294, 0.685253659767794, 0.557201224129228, 0.735871228706657, 0.738955401263527, 0.652868163716353, 0.715578231292517, 0.755374149659864, 0.870884353741497"
"79",79,1000,3,0.01,5,0.716682829885708,"0.869397432480455, 0.771547396943852, 0.45217717217484, 0.813821933366986, 0.684229871277133, 0.518988200403836, 0.742808531932195, 0.734258251496007, 0.621876733179041, 0.776938775510204, 0.759115646258503, 0.855034013605442"
"80",80,1000,4,0.005,5,0.733880380812786,"0.85927394278607, 0.778154984008529, 0.625958933013504, 0.7987900681474, 0.687878596668349, 0.534716525744573, 0.737424991138633, 0.732696982965326, 0.586975667730031, 0.810884353741497, 0.768027210884354, 0.88578231292517"
"81",81,50,4,0.01,5,0.700934835656449,"0.820617337420043, 0.772266457889126, 0.530851878997868, 0.748536881625442, 0.676710783695104, 0.495373233215548, 0.731131127374325, 0.739652842934885, 0.567301974520965, 0.785748299319728, 0.704761904761905, 0.838265306122449"
"82",82,1000,6,0.005,15,0.735278859674175,"0.873248711798152, 0.779741915422886, 0.558015169687278, 0.817260853104493, 0.687140333165068, 0.546021580010096, 0.737485039928275, 0.737365359354475, 0.647135380830258, 0.753741496598639, 0.814013605442177, 0.872176870748299"
"83",83,1000,5,0.005,15,0.732267244561858,"0.866633351101635, 0.7754164445629, 0.590678304904051, 0.808549974760222, 0.688198826350328, 0.544535588086825, 0.7406263422364, 0.73894539313192, 0.637500260628427, 0.786054421768707, 0.753061224489796, 0.857006802721088"
"84",84,500,5,0.005,10,0.721239351160614,"0.848611851457001, 0.776057213930348, 0.632663135216773, 0.783213970217062, 0.680727852094902, 0.489195008833922, 0.736880381977023, 0.735718187694168, 0.643573319989158, 0.715374149659864, 0.728027210884354, 0.884829931972789"
"85",85,250,4,0.01,20,0.71026586229278,"0.839692164179105, 0.776194918265814, 0.573737340085288, 0.772263061585058, 0.68408079883897, 0.483850485865724, 0.736161256020517, 0.737205020746023, 0.588100540022101, 0.727619047619048, 0.750272108843537, 0.854013605442177"
"86",86,750,5,0.01,20,0.72923761068573,"0.876347059346127, 0.778782427149964, 0.561262326759062, 0.822218891973751, 0.686925795053004, 0.531781612821807, 0.738791518108463, 0.732473051020621, 0.578255040553783, 0.785102040816327, 0.795578231292517, 0.863333333333333"
"87",87,250,6,0.01,10,0.731899951773263,"0.85475302061123, 0.772512437810945, 0.653400963930348, 0.79057452044422, 0.674559881373044, 0.563866102978294, 0.734898771918851, 0.739966222555827, 0.632689268363879, 0.70469387755102, 0.789591836734694, 0.871292517006803"
"88",88,1000,6,0.01,10,0.74297493154017,"0.892744980454868, 0.777227700781805, 0.667304104477612, 0.846441191317516, 0.68445071933367, 0.57381530792529, 0.743128375138133, 0.731006859740206, 0.66026021142178, 0.720884353741497, 0.747755102040816, 0.870680272108844"
"89",89,750,6,0.005,10,0.733551553596893,"0.865593905472637, 0.779807436034115, 0.633846393034826, 0.807655540131247, 0.686720721857648, 0.56176883518425, 0.736951272909239, 0.740065052855445, 0.635923771397594, 0.745918367346939, 0.737210884353741, 0.871156462585034"
"90",90,50,6,0.005,10,0.703238747361504,"0.831498756218905, 0.768813854832978, 0.469520700071073, 0.757758865471984, 0.681957502523978, 0.486769623927309, 0.73609140760201, 0.740168678718125, 0.619550885094139, 0.760204081632653, 0.74108843537415, 0.845442176870748"
"91",91,100,5,0.005,20,0.69249959623596,"0.82668743336887, 0.760537157960199, 0.554314920931059, 0.755217535335689, 0.669777732205957, 0.526804644119132, 0.73657033839995, 0.737597214403369, 0.583372531848794, 0.641972789115646, 0.673333333333333, 0.843809523809524"
"92",92,50,4,0.01,10,0.703515810573619,"0.820984919154229, 0.766932635927505, 0.60457256130064, 0.748525050479556, 0.67807452044422, 0.540244037102473, 0.731922186776756, 0.732113383790997, 0.599160567961469, 0.629047619047619, 0.724965986394558, 0.865646258503401"
"93",93,50,5,0.01,10,0.70357933477689,"0.826107742537313, 0.767179726368159, 0.515853211620469, 0.75382224886421, 0.680619005552751, 0.508891500504796, 0.736932716165218, 0.741791664060382, 0.608080732261629, 0.774965986394558, 0.678095238095238, 0.850612244897959"
"94",94,50,5,0.01,5,0.690053540740861,"0.826473658493248, 0.769591218017058, 0.570983808635394, 0.753835657496214, 0.670112948006058, 0.539636704946996, 0.73197097641834, 0.738282771418444, 0.549822772669461, 0.610476190476191, 0.667142857142857, 0.852312925170068"
"95",95,100,4,0.005,5,0.714746530168839,"0.82317375177683, 0.769475168798863, 0.55277407604833, 0.747536755426552, 0.68340878975265, 0.512544169611307, 0.731493713642334, 0.732987218781927, 0.600809616146452, 0.766666666666667, 0.823741496598639, 0.83234693877551"
"96",96,250,3,0.005,10,0.683288434544648,"0.824566342395167, 0.767568963219616, 0.47819052061123, 0.749141847551742, 0.677460878344271, 0.483658032559313, 0.731818143908592, 0.736005712975126, 0.624996351202018, 0.612857142857143, 0.660068027210884, 0.85312925170068"
"97",97,1000,6,0.01,20,0.737671073644109,"0.890090840440654, 0.777786291755508, 0.615962597725657, 0.843871466431095, 0.690074457344775, 0.54955514891469, 0.737731490169096, 0.734706115385417, 0.606220053793707, 0.788707482993197, 0.751360544217687, 0.865986394557823"
"98",98,1000,4,0.01,15,0.748973115466033,"0.878058368869936, 0.775108830845771, 0.633131218905473, 0.826479681978799, 0.68945766027259, 0.57585657496214, 0.737424991138633, 0.736055962135902, 0.658961239340297, 0.797210884353741, 0.808707482993197, 0.871224489795918"
"99",99,250,4,0.005,15,0.712725434901668,"0.828644722814499, 0.773092683901919, 0.629329912935323, 0.757783316506815, 0.676723403584048, 0.57436979429581, 0.733457183961969, 0.736693772023102, 0.646487979816935, 0.67952380952381, 0.673605442176871, 0.842993197278912"
"100",100,50,5,0.005,20,0.69890192005074,"0.824136016346837, 0.757467683901919, 0.562844260838664, 0.752886799596164, 0.673043917213529, 0.537346983846542, 0.738921832322095, 0.74197097641834, 0.595143345634995, 0.560816326530612, 0.802482993197279, 0.839761904761905"
"101",101,1000,3,0.005,20,0.726313161535773,"0.848426394811656, 0.775635216773277, 0.558454379886283, 0.78241733972741, 0.683980628470469, 0.511840610802625, 0.736818248159963, 0.735427534872084, 0.615410646149997, 0.809591836734694, 0.806734693877551, 0.851020408163265"
"102",102,1000,4,0.01,10,0.74155164875537,"0.879525364250178, 0.77623933901919, 0.653639725479744, 0.827544485108531, 0.679333354366482, 0.565797734729934, 0.731618606784679, 0.737934988845103, 0.649435166072434, 0.77, 0.796054421768708, 0.831496598639456"
"103",103,500,6,0.01,5,0.745824941793208,"0.874154895167022, 0.779675284292822, 0.655885749822317, 0.820721857647653, 0.68703779656739, 0.550955956587582, 0.73703550801693, 0.736894560163466, 0.600734972164884, 0.817142857142857, 0.799251700680272, 0.890408163265306"
"104",104,750,5,0.005,5,0.729905947268469,"0.859288379530917, 0.778736895877754, 0.652398720682303, 0.799813856638062, 0.681750063099445, 0.520109793033821, 0.736695231542295, 0.738585517399554, 0.63863576656033, 0.778843537414966, 0.695442176870748, 0.878571428571429"
