"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",500,5,0.05,0.6,5,1,0.6,0.73398630164228,"0.666478873239437, 0.865255771533324, 0.596651365348399, 0.818267308827169, 0.72327818926307"
"2",500,5,0.05,0.8,5,1,0.6,0.73196918041241,"0.623943661971831, 0.868656548810487, 0.599641007532957, 0.830054634406351, 0.737550049340426"
"3",500,3,0.1,0.8,1,0.1,0.6,0.728951341468305,"0.630704225352113, 0.864017469767075, 0.600547316384181, 0.820243284917477, 0.729244410920681"
"4",100,5,0.1,0.6,5,1,0.6,0.737342684050899,"0.667605633802817, 0.875571917865386, 0.586573093220339, 0.83064476214045, 0.726318013225503"
"5",500,3,0.1,0.7,10,0.1,0.6,0.740996788676912,"0.692957746478873, 0.872861615225042, 0.592284604519774, 0.819786411833013, 0.727093565327859"
"6",100,3,0.05,0.7,10,0.1,0.7,0.738446756806791,"0.656056338028169, 0.864841486751233, 0.620512594161959, 0.814937846224134, 0.73588551886846"
"7",100,3,0.1,0.7,5,1,0.8,0.737443832966993,"0.681408450704225, 0.870580772633531, 0.593358639359699, 0.806961603624527, 0.734909698512982"
"8",100,5,0.05,0.8,1,1,0.7,0.727560185629686,"0.622535211267606, 0.86268963392704, 0.602792490583804, 0.809582912946641, 0.740200679423341"
"9",500,3,0.05,0.8,5,0,0.8,0.732854440359216,"0.656619718309859, 0.872491338716506, 0.594253177966102, 0.813907978146237, 0.726999988657373"
"10",50,5,0.1,0.6,10,0,0.8,0.743547325421095,"0.687887323943662, 0.873476213528143, 0.59477106873823, 0.80825417372599, 0.753347847169447"
"11",1000,3,0.05,0.7,10,0,0.8,0.724976380257061,"0.625915492957747, 0.870386529219217, 0.588953625235405, 0.814010774590242, 0.725615479282692"
"12",100,5,0.1,0.6,10,1,0.7,0.73854666769064,"0.656056338028169, 0.879617643979137, 0.597016242937853, 0.822344901106014, 0.737698212402028"
"13",100,5,0.05,0.8,10,0,0.8,0.731912646341619,"0.623943661971831, 0.873659834255737, 0.612305790960452, 0.807277607507948, 0.742376337012125"
"14",50,3,0.05,0.6,1,0.1,0.7,0.748080089974661,"0.709295774647887, 0.856775073713858, 0.594282603578154, 0.819752146351678, 0.760294851581729"
"15",100,3,0.01,0.8,1,0.1,0.7,0.75715517972256,"0.734929577464789, 0.862877807234657, 0.618438088512241, 0.812773409986484, 0.75675701541463"
"16",500,3,0.1,0.7,5,0.1,0.8,0.732508997695716,"0.657183098591549, 0.870753770674404, 0.580508474576271, 0.822047933601112, 0.732051711035242"
"17",50,5,0.1,0.6,10,0,0.7,0.722912750376356,"0.620845070422535, 0.869635353515426, 0.585893361581921, 0.804958976604291, 0.733230989757608"
"18",500,3,0.1,0.8,5,1,0.7,0.744074985761521,"0.698591549295775, 0.879438575831567, 0.60356049905838, 0.811353296148941, 0.727431008472942"
"19",500,3,0.01,0.7,1,0,0.8,0.750733974101043,"0.709014084507042, 0.866445512445995, 0.609404425612053, 0.814467647674706, 0.754338200265417"
"20",50,3,0.1,0.6,5,0.1,0.7,0.746095631003832,"0.710704225352113, 0.861443744527419, 0.604472693032015, 0.809055605261655, 0.744801886845956"
"21",1000,3,0.01,0.8,5,1,0.6,0.737570076488714,"0.655211267605634, 0.874367001685972, 0.60657368173258, 0.817463973653652, 0.734234457765729"
"22",50,3,0.05,0.6,10,0.1,0.7,0.754390566996297,"0.734929577464789, 0.857950398123123, 0.619385593220339, 0.813011364717976, 0.746675901455259"
"23",50,5,0.1,0.8,1,0,0.6,0.740628302089744,"0.652394366197183, 0.863185865149545, 0.610913959510358, 0.826300660562335, 0.750346659029298"
"24",500,3,0.01,0.6,5,0.1,0.8,0.748664347023023,"0.707605633802817, 0.864232958554829, 0.610422551789077, 0.815453732082009, 0.745606858886381"
"25",1000,5,0.01,0.6,5,0.1,0.7,0.730063180210128,"0.625633802816901, 0.87362948372225, 0.597669491525424, 0.819451371571072, 0.733931751414993"
"26",100,3,0.01,0.8,5,0.1,0.6,0.747707361148517,"0.707323943661972, 0.86136331561368, 0.604381473634652, 0.812461213378767, 0.753006859453512"
"27",500,5,0.1,0.7,10,1,0.6,0.724809590224651,"0.629577464788732, 0.878966625035852, 0.59289077212806, 0.809521996535379, 0.713091092635233"
"28",100,3,0.05,0.6,10,0,0.8,0.743909160570418,"0.705352112676056, 0.869437316284427, 0.596330626177024, 0.814484780415374, 0.733940967299207"
"29",50,3,0.05,0.6,10,1,0.8,0.740322077135719,"0.675492957746479, 0.854844021020779, 0.606338276836158, 0.817749519331442, 0.747185610743736"
"30",100,5,0.05,0.8,1,1,0.8,0.729534403965843,"0.623661971830986, 0.863445362210854, 0.601565442561205, 0.814865507985761, 0.744133735240407"
"31",500,3,0.05,0.8,10,0.1,0.6,0.734073362586872,"0.655211267605634, 0.869028342845696, 0.59633945386064, 0.822280177419048, 0.727507571203339"
"32",1000,3,0.01,0.7,10,0.1,0.7,0.732359851500635,"0.645070422535211, 0.873860147776748, 0.601341807909605, 0.811935809331633, 0.729591069949979"
"33",100,5,0.01,0.7,5,0.1,0.8,0.747076448981381,"0.706478873239437, 0.860553715132928, 0.595898069679849, 0.822190706440007, 0.750260880414686"
"34",50,3,0.1,0.7,1,0.1,0.7,0.748460792082034,"0.710985915492958, 0.861030977272003, 0.604166666666667, 0.826230225961813, 0.73989017501673"
"35",500,3,0.01,0.8,5,1,0.6,0.750977117164501,"0.707042253521127, 0.863276916750004, 0.613909486817326, 0.816919533227999, 0.753737395506051"
"36",500,5,0.05,0.6,10,0,0.6,0.728768007012364,"0.627605633802817, 0.873462555788074, 0.599770480225989, 0.813938436351868, 0.729062928893073"
"37",50,5,0.01,0.6,10,1,0.6,0.736060387579932,"0.656056338028169, 0.861602326064886, 0.593732344632768, 0.813196017589614, 0.755714911584225"
"38",1000,3,0.01,0.6,5,1,0.7,0.734405783387696,"0.652957746478873, 0.874112057204686, 0.600423728813559, 0.815529877596086, 0.729005506845275"
"39",500,5,0.05,0.6,5,1,0.7,0.730175980601087,"0.627042253521127, 0.877930154317287, 0.589965866290019, 0.826612857170052, 0.729328771706952"
"40",1000,5,0.1,0.8,10,1,0.6,0.724170437088609,"0.626478873239437, 0.870718867560895, 0.578769420903955, 0.822127886390893, 0.722757137347867"
"41",100,3,0.1,0.6,10,1,0.6,0.725558656125033,"0.62, 0.874283537718884, 0.597834274952919, 0.808267499190954, 0.727407968762406"
"42",500,5,0.1,0.8,1,1,0.8,0.733636603814414,"0.631267605633803, 0.874597665740469, 0.606656073446328, 0.81449049132893, 0.741171182922541"
"43",50,3,0.1,0.7,1,0.1,0.7,0.74640623889707,"0.707323943661972, 0.87257859650028, 0.590698564030132, 0.802202508994689, 0.759227581298277"
"44",50,3,0.01,0.7,10,1,0.7,0.7445242045271,"0.705633802816901, 0.858533128366064, 0.595895127118644, 0.808632997658525, 0.753925966675363"
"45",100,3,0.05,0.8,5,0,0.6,0.735459824961832,"0.648169014084507, 0.865144992086098, 0.609601577212806, 0.802347185471436, 0.752036355954312"
"46",500,5,0.05,0.7,10,0.1,0.7,0.728356562201492,"0.626760563380282, 0.868676276657253, 0.598281544256121, 0.815232910091184, 0.732831516622619"
"47",500,3,0.05,0.6,10,1,0.7,0.737849590979177,"0.687887323943662, 0.875606820978896, 0.59579802259887, 0.813032304734347, 0.71692348264011"
"48",1000,3,0.01,0.8,10,0.1,0.7,0.745327072659989,"0.706478873239437, 0.873280452587155, 0.60043549905838, 0.808928061525575, 0.737512476889398"
"49",50,5,0.05,0.6,5,1,0.6,0.754280434220478,"0.709577464788732, 0.873801722999786, 0.607991996233522, 0.825792389255868, 0.754238597824484"
"50",500,5,0.05,0.7,10,1,0.7,0.728345319503525,"0.627042253521127, 0.874101434517965, 0.590489642184557, 0.821663398755021, 0.728429868538956"
"51",500,3,0.05,0.7,5,0,0.6,0.729683183235563,"0.630704225352113, 0.873386679454358, 0.603254472693032, 0.816531191106204, 0.724539347572111"
"52",1000,5,0.05,0.6,10,0,0.8,0.746300397508804,"0.73830985915493, 0.86773844517252, 0.587435263653484, 0.815644095867202, 0.722374323695882"
"53",100,5,0.1,0.6,10,0,0.6,0.774872504580785,"0.858028169014085, 0.872339586049074, 0.580696798493409, 0.818731796463041, 0.744566172884317"
"54",50,3,0.01,0.6,1,0.1,0.6,0.749636664543829,"0.707323943661972, 0.858731165597063, 0.605532015065913, 0.817957015857303, 0.758639182536892"
"55",100,3,0.1,0.6,1,0,0.8,0.742427292160459,"0.696056338028169, 0.869363716240722, 0.618167372881356, 0.799703032495098, 0.728846001156948"
"56",50,5,0.05,0.7,1,0,0.7,0.748964946024515,"0.714084507042254, 0.867837084406351, 0.603360404896422, 0.825002379547315, 0.734540354230233"
"57",1000,5,0.1,0.6,10,0.1,0.6,0.723831641561102,"0.646760563380282, 0.867058593222422, 0.555891007532957, 0.815240524642592, 0.734207519027256"
"58",1000,3,0.05,0.6,10,1,0.6,0.724295672136283,"0.624788732394366, 0.872336550995725, 0.589221398305085, 0.824941463136053, 0.710190215850187"
"59",500,5,0.05,0.6,5,0.1,0.8,0.726447706912022,"0.629577464788732, 0.864639655703548, 0.598616996233522, 0.821686242409244, 0.717718175425065"
"60",50,5,0.05,0.8,5,0.1,0.6,0.741244754079624,"0.649577464788732, 0.866381017562336, 0.608892419962335, 0.82644343340123, 0.754929434683484"
"61",100,3,0.1,0.8,1,0.1,0.7,0.74701095219424,"0.710422535211268, 0.869905473263456, 0.599873469868173, 0.812242295025794, 0.742610987602509"
"62",50,3,0.01,0.8,1,0,0.6,0.750095228368267,"0.711549295774648, 0.859556700107896, 0.605702683615819, 0.809935085949249, 0.763732376393725"
"63",50,3,0.05,0.8,10,0,0.6,0.750027025015103,"0.711549295774648, 0.858237969427908, 0.612753060263654, 0.815168186404219, 0.752426613205086"
"64",500,3,0.01,0.7,5,0.1,0.7,0.747975587518879,"0.707323943661972, 0.861983984023479, 0.609639830508475, 0.814128800137062, 0.74680137926341"
"65",50,3,0.01,0.6,10,0.1,0.6,0.740255838841768,"0.677746478873239, 0.856083081550366, 0.603616407721281, 0.809023243418172, 0.754809982645781"
"66",100,5,0.01,0.6,5,0.1,0.6,0.75663396473369,"0.748732394366197, 0.858406414888758, 0.592602401129943, 0.827808341741067, 0.755620271542484"
"67",50,5,0.05,0.8,1,0.1,0.6,0.746037829452897,"0.68, 0.861378490880423, 0.59821975047081, 0.829582532219071, 0.76100837369418"
"68",500,5,0.05,0.7,10,0.1,0.8,0.729343476428729,"0.631830985915493, 0.876567415363744, 0.58986581920904, 0.826003693057433, 0.722449468597938"
"69",50,3,0.1,0.7,1,0,0.6,0.74502920556571,"0.712676056338028, 0.864293659621802, 0.608056732580038, 0.800129447373932, 0.739990131914749"
"70",500,5,0.1,0.6,5,0,0.7,0.722138197694852,"0.627323943661972, 0.878631251640826, 0.569991760828625, 0.817258380765643, 0.717485651577192"
"71",100,3,0.1,0.7,10,0.1,0.6,0.747753960526838,"0.710140845070423, 0.87214534263476, 0.602271657250471, 0.815872532409434, 0.738339425269104"
"72",1000,3,0.01,0.7,5,0.1,0.6,0.736111269155108,"0.654647887323944, 0.87086455012163, 0.604684557438795, 0.81137233252746, 0.738987018363713"
"73",500,5,0.1,0.7,1,0.1,0.8,0.734779748008766,"0.644225352112676, 0.863096331075759, 0.601100517890772, 0.822832232396109, 0.742644306568515"
"74",1000,5,0.1,0.7,10,0,0.7,0.743102575743624,"0.738591549295775, 0.868336350682204, 0.568211511299435, 0.816569263863243, 0.723804203577464"
