"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"99",1000,5,0.05,0.6,10,1,0.7,0.765528395168428
"100",100,5,0.1,0.8,5,0.1,0.7,0.715916274945703
"101",50,3,0.1,0.8,10,1,0.6,0.727711917440106
"102",500,5,0.1,0.8,10,1,0.7,0.752333920714717
"103",500,3,0.05,0.7,10,0.1,0.6,0.740976013392936
"104",1000,5,0.01,0.6,10,0,0.8,0.745340561165288
"105",1000,5,0.05,0.8,1,0,0.6,0.732547010516848
"106",100,5,0.1,0.7,5,0,0.8,0.752626811159286
"107",1000,3,0.1,0.6,5,0,0.6,0.731454673203085
"108",500,5,0.05,0.6,1,0.1,0.7,0.752188275739548
"109",50,3,0.01,0.6,1,1,0.6,0.701757902840397
"110",100,5,0.01,0.8,1,1,0.7,0.719055244259427
"111",100,5,0.05,0.8,10,1,0.7,0.723146907765118
"112",1000,5,0.1,0.8,10,1,0.7,0.757096991550991
"113",500,3,0.05,0.8,10,0.1,0.8,0.744982850704297
"114",100,5,0.05,0.8,10,1,0.8,0.723481811183293
"115",50,5,0.05,0.8,10,0,0.8,0.738282381599438
"116",1000,5,0.05,0.7,1,0,0.7,0.745024463554346
"117",500,5,0.05,0.7,5,1,0.8,0.761655999372606
"118",500,3,0.1,0.6,10,0.1,0.6,0.745929543042892
"119",100,5,0.01,0.7,1,0,0.8,0.728604593098349
"120",100,3,0.1,0.7,10,1,0.8,0.737098816114416
