"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",250,5,0.005,20,0.720389256202315
"2",750,4,0.01,20,0.750875070221684
"3",100,5,0.005,5,0.723491814272247
"4",100,3,0.01,20,0.709781580552075
"5",100,3,0.005,10,0.704601580968203
"6",500,6,0.005,15,0.739850865947405
"7",50,6,0.01,5,0.715344898504658
"8",500,6,0.01,20,0.755304438010458
"9",50,6,0.01,20,0.708003831583193
"10",250,4,0.005,20,0.717679619466491
"11",1000,5,0.01,10,0.751735335871717
"12",50,6,0.01,10,0.704001395630971
"13",50,5,0.01,20,0.710120085082273
"14",100,6,0.01,10,0.728865473658266
"15",750,5,0.01,15,0.748991288509892
"16",250,3,0.005,15,0.716538467078634
"17",1000,6,0.005,10,0.749312987850648
"18",100,3,0.01,5,0.712119102378815
"19",50,4,0.005,5,0.721216711720579
"20",250,6,0.01,20,0.737097215620183
"21",500,4,0.01,20,0.754972335457189
"22",100,6,0.005,20,0.717658813041467
"23",1000,3,0.01,10,0.751622501028318
"24",250,4,0.01,10,0.734167911050932
"25",1000,5,0.01,20,0.753658329692209
"26",50,4,0.005,15,0.699576429201337
"27",250,6,0.005,15,0.729696130164995
"28",500,3,0.01,10,0.74330833361342
"29",750,6,0.01,15,0.75318538364647
"30",100,4,0.01,5,0.706174466675309
"31",50,5,0.005,15,0.708658033600776
"32",1000,3,0.01,20,0.747637270389096
"33",500,3,0.01,20,0.742672537279512
"34",100,3,0.01,10,0.699957346828701
"35",750,6,0.005,5,0.750478947899111
"36",750,4,0.005,20,0.738575272044007
"37",750,3,0.005,10,0.739950896836943
"38",250,5,0.01,15,0.728146451624262
"39",1000,4,0.005,20,0.746054381593036
"40",500,4,0.01,5,0.745202118414166
"41",250,6,0.005,10,0.72299246007167
"42",100,4,0.01,20,0.706159261980099
"43",250,6,0.005,20,0.725721302738286
"44",250,5,0.005,10,0.725467624402415
"45",250,6,0.01,15,0.750264081548382
"46",50,3,0.005,15,0.708828886360108
"47",1000,4,0.01,20,0.754330537269909
"48",100,5,0.01,5,0.724433305004585
"49",250,6,0.005,5,0.733251628102758
"50",750,5,0.01,5,0.751712928952461
"51",100,5,0.01,20,0.72288842794655
"52",1000,4,0.005,10,0.745782297573491
"53",500,5,0.005,5,0.744243422368827
"54",100,6,0.005,15,0.718962815717494
"55",500,6,0.01,10,0.753839185540495
"56",1000,3,0.005,5,0.737095615125951
"57",100,5,0.01,10,0.714788726758823
"58",500,5,0.01,15,0.748612771623877
"59",250,5,0.01,5,0.735420297787957
"60",500,5,0.01,20,0.739329104827571
"61",100,6,0.01,20,0.722546322304328
"62",250,5,0.01,20,0.741324921135647
"63",500,3,0.005,5,0.724106404057573
"64",50,5,0.005,5,0.710893123796628
"65",100,4,0.005,20,0.698981845593919
"66",50,5,0.01,15,0.709249416219729
"67",50,6,0.005,15,0.730279110189226
"68",50,3,0.01,5,0.704275480268307
"69",500,3,0.005,10,0.723575440095902
"70",500,6,0.005,5,0.744413875004601
"71",750,5,0.01,10,0.752219485377084
"72",50,6,0.005,20,0.706318511156245
"73",100,5,0.005,15,0.715949085077472
"74",750,3,0.01,15,0.756973753495079
"75",250,5,0.01,10,0.735631963150221
"76",750,4,0.01,5,0.748267865116748
"77",500,5,0.01,5,0.750912681836151
"78",500,5,0.005,15,0.735935256807302
"79",1000,3,0.01,5,0.74597115589294
"80",1000,4,0.005,5,0.749437826400793
"81",50,4,0.01,5,0.71218072140677
"82",1000,6,0.005,15,0.752238691307876
"83",1000,5,0.005,15,0.754754668241553
"84",500,5,0.005,10,0.738436029045769
"85",250,4,0.01,20,0.737764621715186
"86",750,5,0.01,20,0.755982247317972
"87",250,6,0.01,10,0.737783827645977
"88",1000,6,0.01,10,0.765392353158655
"89",750,6,0.005,10,0.753713546743234
"90",50,6,0.005,10,0.711538523095932
"91",100,5,0.005,20,0.725193939888638
"92",50,4,0.01,10,0.714899160860874
"93",50,5,0.01,10,0.715686604023322
"94",50,5,0.01,5,0.717812460487799
"95",100,4,0.005,5,0.70334679348983
"96",250,3,0.005,10,0.713247850936369
"97",1000,6,0.01,20,0.750712620057074
"98",1000,4,0.01,15,0.749661895593359
"99",250,4,0.005,15,0.720672543681489
"100",50,5,0.005,20,0.725091108134192
"101",1000,3,0.005,20,0.740370226325889
"102",1000,4,0.01,10,0.754136877467762
"103",500,6,0.01,5,0.761011000196861
"104",750,5,0.005,5,0.744538713554746
"105",100,5,0.005,10,0.714747514032333
"106",500,6,0.01,15,0.752738045508453
"107",1000,3,0.005,10,0.741621812815798
"108",500,6,0.005,20,0.74189229634111
"109",750,3,0.005,15,0.740736339381601
"110",1000,6,0.005,5,0.750114035214074
"111",750,5,0.005,20,0.742816581760448
"112",100,3,0.005,20,0.710778288335438
"113",1000,3,0.005,15,0.738996202027186
"114",50,4,0.01,20,0.712008668276764
"115",50,3,0.01,15,0.706260093116755
"116",500,4,0.01,10,0.749273775741949
"117",250,3,0.01,5,0.73005504099666
"118",1000,5,0.01,5,0.754100866347528
"119",750,3,0.005,5,0.738510452027586
"120",500,6,0.005,10,0.745100487030395
