"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",100,5,0.05,0.7,1,0,0.6,0.785737884993472,NA
"2",50,3,0.1,0.7,1,0,0.6,0.789094675849662,NA
"3",50,3,0.01,0.8,1,0,0.6,0.784908576169519,NA
"4",1000,5,0.05,0.8,1,0,0.6,0.770268379273577,NA
"5",50,5,0.1,0.8,1,0,0.6,0.783658391304203,NA
"6",1000,3,0.1,0.6,5,0,0.6,0.760962640115507,NA
"7",500,3,0.05,0.7,5,0,0.6,0.784667858105727,NA
"8",100,3,0.05,0.8,5,0,0.6,0.789924500553906,NA
"9",100,3,0.1,0.8,5,0,0.6,0.782774224193969,NA
"10",500,5,0.05,0.6,10,0,0.6,0.78102004079145,NA
"11",100,5,0.1,0.6,10,0,0.6,0.784613437121118,NA
"12",50,5,0.01,0.7,10,0,0.6,0.783162630761723,NA
"13",500,5,0.05,0.7,10,0,0.6,0.779038893650607,NA
"14",50,3,0.05,0.8,10,0,0.6,0.792122065546544,NA
"15",50,3,0.01,0.6,1,0.1,0.6,0.788074406593538,NA
"16",50,5,0.01,0.6,1,0.1,0.6,0.787346971014064,NA
"17",50,5,0.05,0.8,1,0.1,0.6,0.786876763998389,NA
"18",500,3,0.1,0.8,1,0.1,0.6,0.774121459938974,NA
"19",100,5,0.01,0.6,5,0.1,0.6,0.785733921878467,NA
"20",50,3,0.05,0.6,5,0.1,0.6,0.789560034125814,NA
"21",100,5,0.05,0.6,5,0.1,0.6,0.789577299748966,NA
"22",1000,3,0.01,0.7,5,0.1,0.6,0.790079707480344,NA
"23",100,3,0.01,0.8,5,0.1,0.6,0.785198817748403,NA
"24",50,5,0.05,0.8,5,0.1,0.6,0.787783765116744,NA
"25",50,3,0.01,0.6,10,0.1,0.6,0.787147523729161,NA
"26",100,5,0.05,0.6,10,0.1,0.6,0.785236470160417,NA
"27",500,3,0.1,0.6,10,0.1,0.6,0.774511144236382,NA
"28",1000,5,0.1,0.6,10,0.1,0.6,0.764617726688318,NA
"29",500,3,0.05,0.7,10,0.1,0.6,0.785924992436855,NA
"30",100,3,0.1,0.7,10,0.1,0.6,0.790220934699597,NA
"31",500,3,0.1,0.7,10,0.1,0.6,0.775697468174182,NA
"32",500,3,0.05,0.8,10,0.1,0.6,0.782204500494065,NA
"33",50,3,0.01,0.6,1,1,0.6,0.786261524437452,NA
"34",50,5,0.05,0.6,5,1,0.6,0.79021854196528,NA
"35",500,5,0.05,0.6,5,1,0.6,0.779186826668,NA
"36",100,5,0.1,0.6,5,1,0.6,0.782794203604718,NA
"37",500,3,0.01,0.8,5,1,0.6,0.792179707088372,NA
"38",1000,3,0.01,0.8,5,1,0.6,0.789279723375231,NA
"39",1000,5,0.01,0.8,5,1,0.6,0.785926138973656,NA
"40",500,5,0.05,0.8,5,1,0.6,0.777977577822752,NA
"41",50,5,0.01,0.6,10,1,0.6,0.786177375704643,NA
"42",1000,3,0.05,0.6,10,1,0.6,0.777177827325626,NA
"43",100,3,0.1,0.6,10,1,0.6,0.791512836694965,NA
"44",500,5,0.1,0.7,10,1,0.6,0.775512933234255,NA
"45",50,3,0.1,0.8,10,1,0.6,0.78684527252825,NA
"46",1000,5,0.1,0.8,10,1,0.6,0.768485420078314,NA
"47",50,5,0.05,0.7,1,0,0.7,0.786240176784101,NA
"48",1000,5,0.05,0.7,1,0,0.7,0.769363188611052,NA
"49",50,3,0.01,0.6,5,0,0.7,0.783570562078745,NA
"50",1000,3,0.01,0.6,5,0,0.7,0.791379352062699,NA
"51",500,5,0.1,0.6,5,0,0.7,0.771590621689539,NA
"52",1000,5,0.01,0.7,5,0,0.7,0.786697457270553,NA
"53",500,3,0.05,0.7,5,0,0.7,0.782016508333679,NA
"54",50,5,0.1,0.6,10,0,0.7,0.78647410216101,NA
"55",1000,5,0.1,0.7,10,0,0.7,0.76464814902522,NA
"56",500,3,0.05,0.8,10,0,0.7,0.785191716874124,NA
"57",50,3,0.05,0.6,1,0.1,0.7,0.792885845291848,NA
"58",100,5,0.05,0.6,1,0.1,0.7,0.786028777557961,NA
"59",500,5,0.05,0.6,1,0.1,0.7,0.775147834461641,NA
"60",50,3,0.1,0.7,1,0.1,0.7,0.789694947639217,NA
"61",100,5,0.1,0.7,1,0.1,0.7,0.773962600602877,NA
"62",100,3,0.01,0.8,1,0.1,0.7,0.787491505510762,NA
"63",100,3,0.1,0.8,1,0.1,0.7,0.783529781372595,NA
"64",1000,5,0.01,0.6,5,0.1,0.7,0.787964239147871,NA
"65",50,3,0.1,0.6,5,0.1,0.7,0.791172699233786,NA
"66",500,3,0.01,0.7,5,0.1,0.7,0.791578664245687,NA
"67",100,5,0.1,0.8,5,0.1,0.7,0.781361221335387,NA
"68",50,3,0.05,0.6,10,0.1,0.7,0.788684828234628,NA
"69",1000,3,0.01,0.7,10,0.1,0.7,0.790693964125519,NA
"70",100,3,0.05,0.7,10,0.1,0.7,0.791576581442834,NA
"71",500,5,0.05,0.7,10,0.1,0.7,0.780272382080982,NA
"72",1000,3,0.01,0.8,10,0.1,0.7,0.79206385637077,NA
"73",100,5,0.01,0.8,1,1,0.7,0.778307753323301,NA
"74",100,5,0.05,0.8,1,1,0.7,0.786002437046167,NA
"75",1000,3,0.01,0.6,5,1,0.7,0.792633502418633,NA
"76",500,5,0.05,0.6,5,1,0.7,0.784036896295158,NA
"77",500,5,0.01,0.7,5,1,0.7,0.788298046858599,NA
"78",500,3,0.1,0.8,5,1,0.7,0.775668910046391,NA
"79",500,3,0.05,0.6,10,1,0.7,0.784149979508866,NA
"80",1000,5,0.05,0.6,10,1,0.7,0.774897785135045,NA
"81",100,5,0.1,0.6,10,1,0.7,0.783840904389339,NA
"82",50,3,0.01,0.7,10,1,0.7,0.783891827926513,NA
"83",500,5,0.05,0.7,10,1,0.7,0.780495946514577,NA
"84",100,5,0.05,0.8,10,1,0.7,0.78720641134459,NA
"85",500,5,0.1,0.8,10,1,0.7,0.770732032194806,NA
"86",1000,5,0.1,0.8,10,1,0.7,0.766230095999148,NA
"87",100,3,0.1,0.6,1,0,0.8,0.787997171974571,NA
"88",50,3,0.01,0.7,1,0,0.8,0.783432664717491,NA
"89",500,3,0.01,0.7,1,0,0.8,0.792603233374978,NA
"90",100,5,0.01,0.7,1,0,0.8,0.783909313773797,NA
"91",50,3,0.1,0.7,1,0,0.8,0.788437893669616,NA
"92",500,5,0.01,0.6,5,0,0.8,0.791121816507543,NA
"93",100,5,0.1,0.7,5,0,0.8,0.782526335272235,NA
"94",500,3,0.05,0.8,5,0,0.8,0.782045627273509,NA
"95",1000,5,0.01,0.6,10,0,0.8,0.789861918347966,NA
"96",100,3,0.05,0.6,10,0,0.8,0.790503565166702,NA
"97",1000,3,0.05,0.6,10,0,0.8,0.776143467474373,NA
"98",1000,5,0.05,0.6,10,0,0.8,0.776988200153397,NA
"99",50,5,0.1,0.6,10,0,0.8,0.786628787694853,NA
"100",1000,3,0.05,0.7,10,0,0.8,0.779656315335043,NA
"101",50,5,0.05,0.8,10,0,0.8,0.787247934331075,NA
"102",100,5,0.05,0.8,10,0,0.8,0.788042406533839,NA
"103",1000,3,0.01,0.7,1,0.1,0.8,0.791385145476531,NA
"104",500,5,0.1,0.7,1,0.1,0.8,0.768626653481688,NA
"105",500,3,0.01,0.6,5,0.1,0.8,0.790399561435917,NA
"106",500,5,0.05,0.6,5,0.1,0.8,0.777073429261032,NA
"107",100,5,0.01,0.7,5,0.1,0.8,0.780567786653294,NA
"108",500,3,0.1,0.7,5,0.1,0.8,0.772503385016267,NA
"109",500,5,0.05,0.7,10,0.1,0.8,0.783283645712538,NA
"110",500,3,0.05,0.8,10,0.1,0.8,0.78290236731739,NA
"111",100,5,0.05,0.8,1,1,0.8,0.782501975283592,NA
"112",500,5,0.1,0.8,1,1,0.8,0.766306855396553,NA
"113",500,5,0.05,0.7,5,1,0.8,0.779758199980484,NA
"114",100,3,0.1,0.7,5,1,0.8,0.787243260931458,NA
"115",50,3,0.05,0.6,10,1,0.8,0.788056465150844,NA
"116",100,3,0.1,0.7,10,1,0.8,0.787994785949973,NA
"117",100,5,0.05,0.8,10,1,0.8,0.786956295775795,NA
"118",100,3,0.1,0.8,10,1,0.8,0.791622032977843,NA
