"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",500,5,0.05,0.6,5,1,0.6,0.791810911209381
"2",500,5,0.05,0.8,5,1,0.6,0.790915434686231
"3",500,3,0.1,0.8,1,0.1,0.6,0.781454113030104
"4",100,5,0.1,0.6,5,1,0.6,0.778749277776978
"5",500,3,0.1,0.7,10,0.1,0.6,0.793298570598601
"6",100,3,0.05,0.7,10,0.1,0.7,0.773831759247256
"7",100,3,0.1,0.7,5,1,0.8,0.788215400915803
"8",100,5,0.05,0.8,1,1,0.7,0.769982170494249
"9",500,3,0.05,0.8,5,0,0.8,0.785580987408912
"10",50,5,0.1,0.6,10,0,0.8,0.769991373336086
"11",1000,3,0.05,0.7,10,0,0.8,0.79303208830887
"12",100,5,0.1,0.6,10,1,0.7,0.764758557442538
"13",100,5,0.05,0.8,10,0,0.8,0.785262889180179
"14",50,3,0.05,0.6,1,0.1,0.7,0.785822662038037
"15",100,3,0.01,0.8,1,0.1,0.7,0.770243451177724
"16",500,3,0.1,0.7,5,0.1,0.8,0.778337150512078
"17",50,5,0.1,0.6,10,0,0.7,0.772246069586288
"18",500,3,0.1,0.8,5,1,0.7,0.785291297952808
"19",500,3,0.01,0.7,1,0,0.8,0.786928603552777
"20",50,3,0.1,0.6,5,0.1,0.7,0.764827378694541
"21",1000,3,0.01,0.8,5,1,0.6,0.784887173159072
"22",50,3,0.05,0.6,10,0.1,0.7,0.782956576990975
"23",50,5,0.1,0.8,1,0,0.6,0.772278479594499
"24",500,3,0.01,0.6,5,0.1,0.8,0.782760916571037
"25",1000,5,0.01,0.6,5,0.1,0.7,0.792580748935271
"26",100,3,0.01,0.8,5,0.1,0.6,0.747563247530837
"27",500,5,0.1,0.7,10,1,0.6,0.786344423157871
"28",100,3,0.05,0.6,10,0,0.8,0.77955112538752
"29",50,3,0.05,0.6,10,1,0.8,0.782510039100074
"30",100,5,0.05,0.8,1,1,0.8,0.781419702404102
"31",500,3,0.05,0.8,10,0.1,0.6,0.783910871677174
