"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,10,0.01,0.6,0.6,0.717845447735706,NA
"2",500,20,0.01,0.6,0.6,0.714787607036071,NA
"3",50,40,0.01,0.6,0.6,0.713046415739903,NA
"4",100,40,0.01,0.6,0.6,0.715826542848604,NA
"5",1000,40,0.01,0.6,0.6,0.709471532929776,NA
"6",500,20,0.05,0.6,0.6,0.702400642789724,NA
"7",50,30,0.05,0.6,0.6,0.720329147580782,NA
"8",100,30,0.05,0.6,0.6,0.721322463632066,NA
"9",1000,40,0.05,0.6,0.6,0.703593967298454,NA
"10",100,10,0.1,0.6,0.6,0.715386090842943,NA
"11",500,20,0.1,0.6,0.6,0.714163250427457,NA
"12",50,30,0.1,0.6,0.6,0.718218908329225,NA
"13",500,30,0.1,0.6,0.6,0.705077197752821,NA
"14",500,10,0.01,0.7,0.6,0.720185057675724,NA
"15",500,40,0.01,0.7,0.6,0.719331271577129,NA
"16",1000,40,0.01,0.7,0.6,0.709471532929776,NA
"17",500,10,0.05,0.7,0.6,0.69735556846846,NA
"18",50,20,0.05,0.7,0.6,0.719013344229465,NA
"19",1000,20,0.05,0.7,0.6,0.699456183753302,NA
"20",100,30,0.05,0.7,0.6,0.721322463632066,NA
"21",1000,30,0.05,0.7,0.6,0.702491816725499,NA
"22",100,40,0.05,0.7,0.6,0.721076845774314,NA
"23",50,10,0.1,0.7,0.6,0.717925154619393,NA
"24",50,20,0.1,0.7,0.6,0.716178884709684,NA
"25",100,20,0.1,0.7,0.6,0.709417505652069,NA
"26",50,30,0.1,0.7,0.6,0.718218908329225,NA
"27",100,30,0.1,0.7,0.6,0.71112624789806,NA
"28",500,30,0.1,0.7,0.6,0.705077197752821,NA
"29",100,40,0.1,0.7,0.6,0.706026897847677,NA
"30",100,10,0.01,0.8,0.6,0.714009845121835,NA
"31",100,20,0.01,0.8,0.6,0.713705131088646,NA
"32",500,30,0.01,0.8,0.6,0.718179159679123,NA
"33",50,40,0.01,0.8,0.6,0.713046415739903,NA
"34",100,40,0.01,0.8,0.6,0.715826542848604,NA
"35",50,10,0.05,0.8,0.6,0.719104187611962,NA
"36",1000,10,0.05,0.8,0.6,0.69020258462146,NA
"37",100,20,0.05,0.8,0.6,0.713712809353907,NA
"38",50,30,0.05,0.8,0.6,0.720329147580782,NA
"39",500,40,0.05,0.8,0.6,0.698266678324632,NA
"40",500,20,0.1,0.8,0.6,0.714163250427457,NA
"41",1000,20,0.1,0.8,0.6,0.704693718877927,NA
"42",50,30,0.1,0.8,0.6,0.718218908329225,NA
"43",50,40,0.1,0.8,0.6,0.723109738715523,NA
"44",500,40,0.1,0.8,0.6,0.709826205027214,NA
"45",500,20,0.01,0.6,0.7,0.713235597603824,NA
"46",50,30,0.01,0.6,0.7,0.705474227073816,NA
"47",100,30,0.01,0.6,0.7,0.705998253019825,NA
"48",100,40,0.01,0.6,0.7,0.70698884619368,NA
"49",500,40,0.01,0.6,0.7,0.716664679188245,NA
