"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",500,3,0.005,5,0.704156643571535
"2",750,3,0.005,5,0.710789491795066
"3",1000,3,0.005,5,0.713033984894535
"4",50,4,0.005,5,0.688964952377294
"5",100,4,0.005,5,0.700549929818328
"6",1000,4,0.005,5,0.713290264033534
"7",50,5,0.005,5,0.695558688523016
"8",100,5,0.005,5,0.700325160409534
"9",500,5,0.005,5,0.706347019959764
"10",750,5,0.005,5,0.712240940002273
"11",250,6,0.005,5,0.70244891622533
"12",500,6,0.005,5,0.706209277424869
"13",750,6,0.005,5,0.709203001886983
"14",1000,6,0.005,5,0.713101405714085
"15",50,3,0.01,5,0.683423741251298
"16",100,3,0.01,5,0.700692373805031
"17",250,3,0.01,5,0.703567561663042
"18",1000,3,0.01,5,0.723674470676545
"19",50,4,0.01,5,0.697297325414088
"20",100,4,0.01,5,0.704696010127927
"21",500,4,0.01,5,0.715801239422734
"22",750,4,0.01,5,0.717080834561713
"23",50,5,0.01,5,0.696561998345089
"24",100,5,0.01,5,0.696350733106383
"25",250,5,0.01,5,0.705262985209833
"26",500,5,0.01,5,0.713974475317978
"27",750,5,0.01,5,0.720656138615605
"28",1000,5,0.01,5,0.724490522673402
"29",50,6,0.01,5,0.690779612744415
"30",500,6,0.01,5,0.713578352995405
"31",100,3,0.005,10,0.69296228675415
"32",250,3,0.005,10,0.697760668494431
"33",500,3,0.005,10,0.704832852384816
"34",750,3,0.005,10,0.71201166920345
"35",1000,3,0.005,10,0.71645904255234
"36",1000,4,0.005,10,0.714705501058727
"37",100,5,0.005,10,0.698141986245353
"38",250,5,0.005,10,0.704341200562734
"39",500,5,0.005,10,0.709703556458234
"40",50,6,0.005,10,0.695697131274137
"41",250,6,0.005,10,0.700915342657813
"42",500,6,0.005,10,0.707718343424449
"43",750,6,0.005,10,0.711277642536015
"44",1000,6,0.005,10,0.716249177746088
"45",100,3,0.01,10,0.693461841016506
"46",500,3,0.01,10,0.712575943451338
"47",1000,3,0.01,10,0.722697368947531
"48",50,4,0.01,10,0.703643685169981
"49",250,4,0.01,10,0.70882838620566
"50",500,4,0.01,10,0.715722215019998
"51",1000,4,0.01,10,0.725603866473967
"52",50,5,0.01,10,0.700784902377854
"53",100,5,0.01,10,0.696314021769923
"54",250,5,0.01,10,0.709161289006045
"55",750,5,0.01,10,0.719098857727266
"56",1000,5,0.01,10,0.719820680626177
"57",50,6,0.01,10,0.700333563004256
"58",100,6,0.01,10,0.693439634159028
"59",250,6,0.01,10,0.71001025116556
"60",500,6,0.01,10,0.71350993186696
"61",1000,6,0.01,10,0.716848962959762
"62",50,3,0.005,15,0.684475265962129
"63",250,3,0.005,15,0.692943881070475
"64",750,3,0.005,15,0.708866497974575
"65",1000,3,0.005,15,0.714972383472016
"66",50,4,0.005,15,0.688160804056293
"67",250,4,0.005,15,0.699409177554029
"68",50,5,0.005,15,0.698019648467447
"69",100,5,0.005,15,0.694257686773676
"70",500,5,0.005,15,0.706702429710295
"71",1000,5,0.005,15,0.713155822517994
"72",50,6,0.005,15,0.688978056423824
"73",100,6,0.005,15,0.695634411906397
"74",250,6,0.005,15,0.700916543028487
"75",500,6,0.005,15,0.708792475116316
"76",1000,6,0.005,15,0.714507840020999
"77",50,3,0.01,15,0.688920938785897
"78",750,3,0.01,15,0.720779776795074
"79",1000,4,0.01,15,0.719890902310633
"80",50,5,0.01,15,0.701143413085961
"81",250,5,0.01,15,0.708897107426773
"82",500,5,0.01,15,0.717627603403931
"83",750,5,0.01,15,0.723765098662467
"84",250,6,0.01,15,0.702604664320342
"85",500,6,0.01,15,0.713751406434307
"86",750,6,0.01,15,0.712484815310968
"87",100,3,0.005,20,0.688616144665473
"88",1000,3,0.005,20,0.713115209976841
"89",100,4,0.005,20,0.697881105685436
"90",250,4,0.005,20,0.699874321190384
"91",750,4,0.005,20,0.707518881830709
"92",1000,4,0.005,20,0.711802204520756
"93",50,5,0.005,20,0.695559488770132
"94",100,5,0.005,20,0.688174208195491
"95",250,5,0.005,20,0.69828563060273
"96",750,5,0.005,20,0.707156369887021
"97",50,6,0.005,20,0.687493998146628
"98",100,6,0.005,20,0.70326436803685
"99",250,6,0.005,20,0.698447180489335
"100",500,6,0.005,20,0.702328879157884
"101",100,3,0.01,20,0.693708917313666
"102",500,3,0.01,20,0.707762357015846
"103",1000,3,0.01,20,0.718140161681927
"104",50,4,0.01,20,0.696958320729441
"105",100,4,0.01,20,0.698160892083475
"106",250,4,0.01,20,0.701339173536788
"107",500,4,0.01,20,0.709658642588831
"108",750,4,0.01,20,0.717075232831898
"109",1000,4,0.01,20,0.720265818084625
"110",50,5,0.01,20,0.697855797870382
"111",100,5,0.01,20,0.699135393009361
"112",250,5,0.01,20,0.703983990256191
"113",500,5,0.01,20,0.713071196385444
"114",750,5,0.01,20,0.716655303157615
"115",1000,5,0.01,20,0.720256815304566
"116",50,6,0.01,20,0.692991195681226
"117",100,6,0.01,20,0.69260007490313
"118",250,6,0.01,20,0.703785528971346
"119",500,6,0.01,20,0.712388585595232
"120",1000,6,0.01,20,0.714506239526766
