"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"99",1000,5,0.05,0.6,10,1,0.7,0.764239197064053
"100",100,5,0.1,0.8,5,0.1,0.7,0.735376684320118
"101",50,3,0.1,0.8,10,1,0.6,0.74403695861282
"102",500,5,0.1,0.8,10,1,0.7,0.758959966837759
"103",500,3,0.05,0.7,10,0.1,0.6,0.745530219731853
"104",1000,5,0.01,0.6,10,0,0.8,0.747425204903274
"105",1000,5,0.05,0.8,1,0,0.6,0.760458829686607
"106",100,5,0.1,0.7,5,0,0.8,0.753466670507853
"107",1000,3,0.1,0.6,5,0,0.6,0.742712549635327
"108",500,5,0.05,0.6,1,0.1,0.7,0.751127148063322
"109",50,3,0.01,0.6,1,1,0.6,0.713929261355907
"110",100,5,0.01,0.8,1,1,0.7,0.72709732765478
"111",100,5,0.05,0.8,10,1,0.7,0.739116639218191
"112",1000,5,0.1,0.8,10,1,0.7,0.757665167003571
"113",500,3,0.05,0.8,10,0.1,0.8,0.741704238268777
"114",100,5,0.05,0.8,10,1,0.8,0.742139972823608
"115",50,5,0.05,0.8,10,0,0.8,0.733907430614574
"116",1000,5,0.05,0.7,1,0,0.7,0.752000217667216
"117",500,5,0.05,0.7,5,1,0.8,0.760758922355223
"118",500,3,0.1,0.6,10,0.1,0.6,0.736556248569558
"119",100,5,0.01,0.7,1,0,0.8,0.735424699147097
"120",100,3,0.1,0.7,10,1,0.8,0.733102782139125
