"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",500,5,0.05,0.6,5,1,0.6,0.756640850694695
"2",500,5,0.05,0.8,5,1,0.6,0.751931396415213
"3",500,3,0.1,0.8,1,0.1,0.6,0.742152376653911
"4",100,5,0.1,0.6,5,1,0.6,0.770507532726106
"5",500,3,0.1,0.7,10,0.1,0.6,0.757755594927714
"6",100,3,0.05,0.7,10,0.1,0.7,0.74319990012916
"7",100,3,0.1,0.7,5,1,0.8,0.744497500828256
"8",100,5,0.05,0.8,1,1,0.7,0.735913650135162
"9",500,3,0.05,0.8,5,0,0.8,0.762013709833597
"10",50,5,0.1,0.6,10,0,0.8,0.748303476113424
"11",1000,3,0.05,0.7,10,0,0.8,0.762363417823424
"12",100,5,0.1,0.6,10,1,0.7,0.734792503925212
"13",100,5,0.05,0.8,10,0,0.8,0.744332649922296
"14",50,3,0.05,0.6,1,0.1,0.7,0.730867691943272
"15",100,3,0.01,0.8,1,0.1,0.7,0.710524609999568
"16",500,3,0.1,0.7,5,0.1,0.8,0.776865496065185
"17",50,5,0.1,0.6,10,0,0.7,0.756912534590682
"18",500,3,0.1,0.8,5,1,0.7,0.763119651348336
"19",500,3,0.01,0.7,1,0,0.8,0.747012677514817
"20",50,3,0.1,0.6,5,0.1,0.7,0.734906139015728
"21",1000,3,0.01,0.8,5,1,0.6,0.750118836696772
"22",50,3,0.05,0.6,10,0.1,0.7,0.733268033168642
"23",50,5,0.1,0.8,1,0,0.6,0.748520743205502
"24",500,3,0.01,0.6,5,0.1,0.8,0.743859303752999
"25",1000,5,0.01,0.6,5,0.1,0.7,0.746740193371713
"26",100,3,0.01,0.8,5,0.1,0.6,0.709973639859989
"27",500,5,0.1,0.7,10,1,0.6,0.770925261720819
"28",100,3,0.05,0.6,10,0,0.8,0.745967554780916
"29",50,3,0.05,0.6,10,1,0.8,0.736143321057543
"30",100,5,0.05,0.8,1,1,0.8,0.760840547561087
"31",500,3,0.05,0.8,10,0.1,0.6,0.738380811994744
"32",1000,3,0.01,0.7,10,0.1,0.7,0.751263990320211
"33",100,5,0.01,0.7,5,0.1,0.8,0.738734121096595
"34",50,3,0.1,0.7,1,0.1,0.7,0.751089136325297
"35",500,3,0.01,0.8,5,1,0.6,0.72972533918474
"36",500,5,0.05,0.6,10,0,0.6,0.738736921961502
"37",50,5,0.01,0.6,10,1,0.6,0.718710337752298
"38",1000,3,0.01,0.6,5,1,0.7,0.744785189666569
"39",500,5,0.05,0.6,5,1,0.7,0.749168143122596
"40",1000,5,0.1,0.8,10,1,0.6,0.774942502244693
"41",100,3,0.1,0.6,10,1,0.6,0.760987793030488
"42",500,5,0.1,0.8,1,1,0.8,0.763334117575507
"43",50,3,0.1,0.7,1,0.1,0.7,0.738715315289361
"44",50,3,0.01,0.7,10,1,0.7,0.713472720376052
"45",100,3,0.05,0.8,5,0,0.6,0.738688106887407
"46",500,5,0.05,0.7,10,0.1,0.7,0.755658947482983
"47",500,3,0.05,0.6,10,1,0.7,0.759436113871964
"48",1000,3,0.01,0.8,10,0.1,0.7,0.747884546748036
"49",50,5,0.05,0.6,5,1,0.6,0.7425492992236
"50",500,5,0.05,0.7,10,1,0.7,0.739162653427378
"51",500,3,0.05,0.7,5,0,0.6,0.757436296328306
"52",1000,5,0.05,0.6,10,0,0.8,0.766423871691578
"53",100,5,0.1,0.6,10,0,0.6,0.727883970570112
"54",50,3,0.01,0.6,1,0.1,0.6,0.711107189900241
"55",100,3,0.1,0.6,1,0,0.8,0.772376109742689
"56",50,5,0.05,0.7,1,0,0.7,0.722920037707644
"57",1000,5,0.1,0.6,10,0.1,0.6,0.741294511745227
