"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",100,5,0.05,0.7,1,0,0.6,0.733160900085947
"2",50,3,0.1,0.7,1,0,0.6,0.739716124339196
"3",50,3,0.01,0.8,1,0,0.6,0.706208077054194
"4",1000,5,0.05,0.8,1,0,0.6,0.75685431661297
"5",50,5,0.1,0.8,1,0,0.6,0.747013677823712
"6",1000,3,0.1,0.6,5,0,0.6,0.752896494437482
"7",500,3,0.05,0.7,5,0,0.6,0.749599876441845
"8",100,3,0.05,0.8,5,0,0.6,0.728665611940967
"9",100,3,0.1,0.8,5,0,0.6,0.740486262157754
"10",500,5,0.05,0.6,10,0,0.6,0.750805248660786
"11",100,5,0.1,0.6,10,0,0.6,0.741551591131341
"12",50,5,0.01,0.7,10,0,0.6,0.71780125702817
"13",500,5,0.05,0.7,10,0,0.6,0.750845060954823
"14",50,3,0.05,0.8,10,0,0.6,0.730286012320605
"15",50,3,0.01,0.6,1,0.1,0.6,0.708433964408209
"16",50,5,0.01,0.6,1,0.1,0.6,0.722169706005214
"17",50,5,0.05,0.8,1,0.1,0.6,0.745887630100175
"18",500,3,0.1,0.8,1,0.1,0.6,0.74700767597034
"19",100,5,0.01,0.6,5,0.1,0.6,0.725497933761946
"20",50,3,0.05,0.6,5,0.1,0.6,0.732394563441191
"21",100,5,0.05,0.6,5,0.1,0.6,0.737597670160546
"22",1000,3,0.01,0.7,5,0.1,0.6,0.740630906824027
"23",100,3,0.01,0.8,5,0.1,0.6,0.706064432696817
"24",50,5,0.05,0.8,5,0.1,0.6,0.727533762425837
"25",50,3,0.01,0.6,10,0.1,0.6,0.704616385539855
"26",100,5,0.05,0.6,10,0.1,0.6,0.733547019319566
"27",500,3,0.1,0.6,10,0.1,0.6,0.753830182760436
"28",1000,5,0.1,0.6,10,0.1,0.6,0.749259371293856
"29",500,3,0.05,0.7,10,0.1,0.6,0.754161985221036
"30",100,3,0.1,0.7,10,0.1,0.6,0.748804230746455
"31",500,3,0.1,0.7,10,0.1,0.6,0.755534909179955
"32",500,3,0.05,0.8,10,0.1,0.6,0.748175236513035
"33",50,3,0.01,0.6,1,1,0.6,0.707413449273136
"34",50,5,0.05,0.6,5,1,0.6,0.726074611840136
"35",500,5,0.05,0.6,5,1,0.6,0.754719657430214
"36",100,5,0.1,0.6,5,1,0.6,0.731087659869368
"37",500,3,0.01,0.8,5,1,0.6,0.728957302014862
"38",1000,3,0.01,0.8,5,1,0.6,0.742254808284798
"39",1000,5,0.01,0.8,5,1,0.6,0.744573924427863
"40",500,5,0.05,0.8,5,1,0.6,0.760266370255135
"41",50,5,0.01,0.6,10,1,0.6,0.718959014543691
"42",1000,3,0.05,0.6,10,1,0.6,0.757570337720288
"43",100,3,0.1,0.6,10,1,0.6,0.749100922364826
"44",500,5,0.1,0.7,10,1,0.6,0.744242221998153
"45",50,3,0.1,0.8,10,1,0.6,0.73273956997921
"46",1000,5,0.1,0.8,10,1,0.6,0.755725768117195
