"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"1",100,5,0.05,0.7,1,0,0.6,0.717551641025607,NA
"2",50,3,0.1,0.7,1,0,0.6,0.71971215423423,NA
"3",50,3,0.01,0.8,1,0,0.6,0.716434992364959,NA
"4",1000,5,0.05,0.8,1,0,0.6,0.709472240215866,NA
"5",50,5,0.1,0.8,1,0,0.6,0.717072308720859,NA
"6",1000,3,0.1,0.6,5,0,0.6,0.711469174807748,NA
"7",500,3,0.05,0.7,5,0,0.6,0.700988060500608,NA
"8",100,3,0.05,0.8,5,0,0.6,0.7249718070658,NA
"9",100,3,0.1,0.8,5,0,0.6,0.721940343814785,NA
"10",500,5,0.05,0.6,10,0,0.6,0.7172802768911,NA
"11",100,5,0.1,0.6,10,0,0.6,0.714012768402124,NA
"12",50,5,0.01,0.7,10,0,0.6,0.713831774690827,NA
"13",500,5,0.05,0.7,10,0,0.6,0.701581929143616,NA
"14",50,3,0.05,0.8,10,0,0.6,0.723376093634587,NA
"15",50,3,0.01,0.6,1,0.1,0.6,0.720507725165938,NA
"16",50,5,0.01,0.6,1,0.1,0.6,0.71395540970997,NA
"17",50,5,0.05,0.8,1,0.1,0.6,0.724237356343128,NA
"18",500,3,0.1,0.8,1,0.1,0.6,0.706020985562569,NA
"19",100,5,0.01,0.6,5,0.1,0.6,0.716370041042124,NA
"20",50,3,0.05,0.6,5,0.1,0.6,0.720675773979494,NA
"21",100,5,0.05,0.6,5,0.1,0.6,0.721798951845977,NA
"22",1000,3,0.01,0.7,5,0.1,0.6,0.726365846777294,NA
"23",100,3,0.01,0.8,5,0.1,0.6,0.722903920432322,NA
"24",50,5,0.05,0.8,5,0.1,0.6,0.715633029830409,NA
"25",50,3,0.01,0.6,10,0.1,0.6,0.721078881155648,NA
"26",100,5,0.05,0.6,10,0.1,0.6,0.720431509104275,NA
"27",500,3,0.1,0.6,10,0.1,0.6,0.709251368596931,NA
"28",1000,5,0.1,0.6,10,0.1,0.6,0.701735925809981,NA
"29",500,3,0.05,0.7,10,0.1,0.6,0.720911041615557,NA
"30",100,3,0.1,0.7,10,0.1,0.6,0.719043652387531,NA
"31",500,3,0.1,0.7,10,0.1,0.6,0.702828162541013,NA
"32",500,3,0.05,0.8,10,0.1,0.6,0.703313717073427,NA
"33",50,3,0.01,0.6,1,1,0.6,0.699750359707422,NA
"34",50,5,0.05,0.6,5,1,0.6,0.715270759503809,NA
"35",500,5,0.05,0.6,5,1,0.6,0.708061001238705,NA
"36",100,5,0.1,0.6,5,1,0.6,0.709459998497843,NA
"37",500,3,0.01,0.8,5,1,0.6,0.72623607971797,NA
"38",1000,3,0.01,0.8,5,1,0.6,0.718275976154016,NA
"39",1000,5,0.01,0.8,5,1,0.6,0.714425957454722,NA
"40",500,5,0.05,0.8,5,1,0.6,0.70611181298147,NA
"41",50,5,0.01,0.6,10,1,0.6,0.714709813026296,NA
"42",1000,3,0.05,0.6,10,1,0.6,0.696045060824404,NA
"43",100,3,0.1,0.6,10,1,0.6,0.718668286460072,NA
"44",500,5,0.1,0.7,10,1,0.6,0.711454873970604,NA
"45",50,3,0.1,0.8,10,1,0.6,0.724362403045215,NA
"46",1000,5,0.1,0.8,10,1,0.6,0.700991919337368,NA
"47",50,5,0.05,0.7,1,0,0.7,0.716849761574693,NA
"48",1000,5,0.05,0.7,1,0,0.7,0.705872676952843,NA
"49",50,3,0.01,0.6,5,0,0.7,0.705601137252235,NA
"50",1000,3,0.01,0.6,5,0,0.7,0.724203490662008,NA
"51",500,5,0.1,0.6,5,0,0.7,0.692757232441958,NA
"52",1000,5,0.01,0.7,5,0,0.7,0.713745176931165,NA
"53",500,3,0.05,0.7,5,0,0.7,0.705217046029722,NA
"54",50,5,0.1,0.6,10,0,0.7,0.711339944140911,NA
"55",1000,5,0.1,0.7,10,0,0.7,0.69318031117196,NA
"56",500,3,0.05,0.8,10,0,0.7,0.716697523428548,NA
"57",50,3,0.05,0.6,1,0.1,0.7,0.722270123027259,NA
"58",100,5,0.05,0.6,1,0.1,0.7,0.72083832868766,NA
"59",500,5,0.05,0.6,1,0.1,0.7,0.714089023520417,NA
