"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",250,5,0.005,20,0.72772392114685
"2",750,4,0.01,20,0.751665714372598
"3",100,5,0.005,5,0.703247962970965
"4",100,3,0.01,20,0.709585920132137
"5",100,3,0.005,10,0.700104592298102
"6",500,6,0.005,15,0.736865143956454
"7",50,6,0.01,5,0.727255376460251
"8",500,6,0.01,20,0.746031974673779
"9",50,6,0.01,20,0.718735145412904
"10",250,4,0.005,20,0.719766663945826
"11",1000,5,0.01,10,0.755820597400477
"12",50,6,0.01,10,0.72046848066683
"13",50,5,0.01,20,0.697691046995312
"14",100,6,0.01,10,0.724949864518163
"15",750,5,0.01,15,0.757500316097611
"16",250,3,0.005,15,0.716173154270039
"17",1000,6,0.005,10,0.757922046327906
"18",100,3,0.01,5,0.713269857732068
"19",50,4,0.005,5,0.697896710504204
"20",250,6,0.01,20,0.73945714436618
"21",500,4,0.01,20,0.74489562376862
"22",100,6,0.005,20,0.7205357014246
"23",1000,3,0.01,10,0.747233945842476
"24",250,4,0.01,10,0.73281109206523
"25",1000,5,0.01,20,0.755048358933239
"26",50,4,0.005,15,0.696491076444406
"27",250,6,0.005,15,0.730583604216982
"28",500,3,0.01,10,0.743102670104528
"29",750,6,0.01,15,0.753704744024955
"30",100,4,0.01,5,0.701851931876563
"31",50,5,0.005,15,0.707430054400799
"32",1000,3,0.01,20,0.749669898064522
"33",500,3,0.01,20,0.737772624186349
"34",100,3,0.01,10,0.706357323141386
"35",750,6,0.005,5,0.74856875803248
"36",750,4,0.005,20,0.738486444614097
"37",750,3,0.005,10,0.739989308698526
"38",250,5,0.01,15,0.747268756592036
"39",1000,4,0.005,20,0.746110398891178
"40",500,4,0.01,5,0.745466199962548
"41",250,6,0.005,10,0.725101111223146
"42",100,4,0.01,20,0.719237700601946
"43",250,6,0.005,20,0.728430139226993
"44",250,5,0.005,10,0.716205564278249
"45",250,6,0.01,15,0.737229256394375
"46",50,3,0.005,15,0.716529664360354
"47",1000,4,0.01,20,0.75021246560938
"48",100,5,0.01,5,0.72062452885451
"49",250,6,0.005,5,0.725461222425485
"50",750,5,0.01,5,0.746348072284722
"51",100,5,0.01,20,0.723719084453279
"52",1000,4,0.005,10,0.742294820640614
"53",500,5,0.005,5,0.737582165372667
"54",100,6,0.005,15,0.717277895414104
"55",500,6,0.01,10,0.759972279439891
"56",1000,3,0.005,5,0.740078136128436
"57",100,5,0.01,10,0.722551924034142
"58",500,5,0.01,15,0.743071060343434
"59",250,5,0.01,5,0.732567816941872
"60",500,5,0.01,20,0.747912555397107
"61",100,6,0.01,20,0.725439215629786
"62",250,5,0.01,20,0.732202904256835
"63",500,3,0.005,5,0.722375869668554
"64",50,5,0.005,5,0.706377329319294
"65",100,4,0.005,20,0.715204455135746
"66",50,5,0.01,15,0.705495456997121
"67",50,6,0.005,15,0.717569985611557
"68",50,3,0.01,5,0.705691917664175
"69",500,3,0.005,10,0.723741091248978
"70",500,6,0.005,5,0.738783336294248
"71",750,5,0.01,10,0.755246019970967
"72",50,6,0.005,20,0.720901414356753
"73",100,5,0.005,15,0.714453823340648
"74",750,3,0.01,15,0.746875435134369
"75",250,5,0.01,10,0.741739049018337
"76",750,4,0.01,5,0.747674882003563
"77",500,5,0.01,5,0.744869215613781
"78",500,5,0.005,15,0.737647785636204
"79",1000,3,0.01,5,0.745763091642699
"80",1000,4,0.005,5,0.741446558697326
"81",50,4,0.01,5,0.722635149734238
"82",1000,6,0.005,15,0.749040903831103
"83",1000,5,0.005,15,0.74977232969541
"84",500,5,0.005,10,0.735471913726959
"85",250,4,0.01,20,0.728334909820152
"86",750,5,0.01,20,0.750669406712793
"87",250,6,0.01,10,0.744265029040968
"88",1000,6,0.01,10,0.760922973014067
"89",750,6,0.005,10,0.75042293060097
"90",50,6,0.005,10,0.727892773288391
"91",100,5,0.005,20,0.729105547793159
"92",50,4,0.01,10,0.698087569441443
"93",50,5,0.01,10,0.715773430835442
"94",50,5,0.01,5,0.703565260952582
"95",100,4,0.005,5,0.715791436395559
"96",250,3,0.005,10,0.714551453488837
"97",1000,6,0.01,20,0.7496835022655
"98",1000,4,0.01,15,0.750706218080143
"99",250,4,0.005,15,0.714277368851501
"100",50,5,0.005,20,0.704201857533606
"101",1000,3,0.005,20,0.745569431840552
"102",1000,4,0.01,10,0.757262642704067
"103",500,6,0.01,5,0.759852242372445
"104",750,5,0.005,5,0.750370114291293
"105",100,5,0.005,10,0.70666861926963
"106",500,6,0.01,15,0.758186928123404
"107",1000,3,0.005,10,0.740125350708299
"108",500,6,0.005,20,0.737006387572482
"109",750,3,0.005,15,0.732373356892608
"110",1000,6,0.005,5,0.756190311568212
"111",750,5,0.005,20,0.745639053339671
"112",100,3,0.005,20,0.701857933729936
"113",1000,3,0.005,15,0.739687615535677
"114",50,4,0.01,20,0.702990683523072
"115",50,3,0.01,15,0.705747934962316
"116",500,4,0.01,10,0.751550078664291
"117",250,3,0.01,5,0.722371468309414
"118",1000,5,0.01,5,0.756594436361949
"119",750,3,0.005,5,0.736145721798891
"120",500,6,0.005,10,0.737690998980485
