"","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"1",250,5,0.005,20,0.705999406109926,"0.660256786500367, 0.498794351605003, 0.858252041021351, 0.59023703975087, 0.922456811672037"
"2",750,4,0.01,20,0.731330345457776,"0.748085106382979, 0.513007456054793, 0.868635006745314, 0.60683934786591, 0.920084810239885"
"3",100,5,0.005,5,0.713157743145351,"0.666830520909758, 0.495529618310683, 0.854436017927364, 0.623542773401722, 0.925449785177229"
"4",100,3,0.01,20,0.715638158328662,"0.663969185619956, 0.512663372130828, 0.854172561128128, 0.62228833119619, 0.925097341568206"
"5",100,3,0.005,10,0.716678208417084,"0.671724137931034, 0.507217634436569, 0.85455031922353, 0.628555413079319, 0.921343537414966"
"6",500,6,0.005,15,0.719508968699792,"0.711320616287601, 0.509907991416867, 0.863975819381399, 0.594045795933321, 0.918294620479771"
"7",50,6,0.01,5,0.699077827272836,"0.634159941305943, 0.49022747469493, 0.859430420751785, 0.588762044330463, 0.92280925528106"
"8",500,6,0.01,20,0.732339717216616,"0.753470286133529, 0.509452825281228, 0.869314663779918, 0.608301886792453, 0.921158924095954"
"9",50,6,0.01,20,0.707579124779716,"0.666199559794571, 0.491920801092399, 0.85674818450587, 0.609476460890273, 0.913550617615467"
"10",250,4,0.005,20,0.708251232810478,"0.6603301540719, 0.50169874504194, 0.857898885895528, 0.594994687671735, 0.926333691371285"
"11",1000,5,0.01,10,0.730655619632747,"0.740117388114453, 0.513755228991915, 0.870828771532724, 0.606612200036637, 0.921964509488006"
"12",50,6,0.01,10,0.69573458429354,"0.608877476155539, 0.493719791057069, 0.857766132372177, 0.596143616046895, 0.922165905836019"
"13",50,5,0.01,20,0.706767403479327,"0.662560528246515, 0.49322398508789, 0.856390928885116, 0.597392196372962, 0.924269378804153"
"14",100,6,0.01,10,0.702409240771204,"0.648290535583272, 0.497044129440579, 0.858109036260677, 0.588081333577578, 0.920521168993913"
