"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","mean_ROC_AUC","fold_ROC_AUC"
"41",100,3,0.1,0.6,10,1,0.6,0.73002753742874,"0.754556126192223, 0.515521707089754, 0.871453584447643, 0.583475361787873, 0.925130907626208"
"42",500,5,0.1,0.8,1,1,0.8,0.728956518014532,"0.755818048422597, 0.515066540954115, 0.869112714404629, 0.607223300970874, 0.897561985320444"
"43",50,3,0.1,0.7,1,0.1,0.7,0.714948662123873,"0.689347028613353, 0.498558640570475, 0.863785146367167, 0.607980216156805, 0.915072278911565"
"44",50,3,0.01,0.7,10,1,0.7,0.711155527396778,"0.67951577402788, 0.508981403212172, 0.855143353302744, 0.597221469133541, 0.914915637307555"
"45",100,3,0.05,0.8,5,0,0.6,0.721391266938217,"0.713543653705062, 0.505600169061708, 0.861886104652832, 0.603961897783477, 0.921964509488006"
"46",500,5,0.05,0.7,10,0.1,0.7,0.736751965248579,"0.757329420396185, 0.5208157227388, 0.872820586944844, 0.597280087928192, 0.935514008234873"
"47",500,3,0.05,0.6,10,1,0.7,0.73711164886434,"0.761305942773294, 0.51981869215597, 0.872553029650679, 0.601871405019234, 0.930009174722521"
"48",1000,3,0.01,0.8,10,0.1,0.7,0.730105202383926,"0.737901687454145, 0.511728655959425, 0.867999430031205, 0.601969591500275, 0.930926646974579"
"49",50,5,0.05,0.6,5,1,0.6,0.719337590769238,"0.687468818782098, 0.519580271799207, 0.865375625838039, 0.599926726506686, 0.924336510920158"
"50",500,5,0.05,0.7,10,1,0.7,0.739669593170744,"0.775979457079971, 0.517857142857143, 0.873381329626486, 0.598603407217439, 0.932526629072682"
"51",500,3,0.05,0.7,5,0,0.6,0.741044975809269,"0.759457079970653, 0.524451633179444, 0.871002017443505, 0.612540025645723, 0.937774122807018"
"52",1000,5,0.05,0.6,10,0,0.8,0.736702939951924,"0.764842259721203, 0.52478217049223, 0.876803192645352, 0.586473713134274, 0.930613363766559"
"53",100,5,0.1,0.6,10,0,0.6,0.729881394554668,"0.731929567131328, 0.513489715412792, 0.873798042423721, 0.59788679245283, 0.932302855352667"
"54",50,3,0.01,0.6,1,0.1,0.6,0.703843301242476,"0.638701393983859, 0.505228991915382, 0.854133606426296, 0.597515295841729, 0.923637218045113"
"55",100,3,0.1,0.6,1,0,0.8,0.732827786301008,"0.751988261188555, 0.510420053319462, 0.868467911576927, 0.603533247847591, 0.929729457572503"
"56",50,5,0.05,0.7,1,0,0.7,0.712457126414403,"0.6598899486427, 0.511200338123415, 0.863865106018296, 0.606283202051658, 0.921047037235947"
"57",1000,5,0.1,0.6,10,0.1,0.6,0.733083914065083,"0.747270726338958, 0.524700890825151, 0.872606336084765, 0.595744275508335, 0.925097341568206"
"58",1000,3,0.05,0.6,10,1,0.6,0.734798267703399,"0.766441672780631, 0.518767475128422, 0.876034349846026, 0.581552665323319, 0.931195175438597"
