"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",250,3,5,0.704752427549627
"2",500,3,5,0.700698275627514
"3",750,3,5,0.698591625093829
"4",900,3,5,0.698412169677997
"5",1000,3,5,0.700073082567897
"6",50,4,5,0.700476507145406
"7",100,4,5,0.695444053123605
"8",250,4,5,0.688836512715126
"9",500,4,5,0.702467421939895
"10",750,4,5,0.703212151912511
"11",900,4,5,0.700995867523891
"12",1000,4,5,0.703518546527168
"13",50,5,5,0.702041990566687
"14",100,5,5,0.690290361663682
"15",250,5,5,0.711104789158892
"16",900,5,5,0.696810875198261
"17",1000,5,5,0.698552012861572
"18",50,6,5,0.680238857759276
"19",100,6,5,0.690933460252526
"20",250,6,5,0.699210816300073
"21",500,6,5,0.698922427245533
"22",750,6,5,0.700279246231236
"23",900,6,5,0.69928964064103
"24",50,3,10,0.684040031561746
"25",100,3,10,0.684429651876499
"26",250,3,10,0.700611248753615
"27",500,3,10,0.698555814035374
"28",900,3,10,0.70252273902181
"29",1000,3,10,0.701983772588975
"30",50,4,10,0.708930917867437
"31",100,4,10,0.704202157626275
"32",250,4,10,0.69607164692457
"33",500,4,10,0.697068454738823
"34",750,4,10,0.704164546011808
"35",900,4,10,0.700096489796049
"36",1000,4,10,0.696442761524759
"37",50,5,10,0.695434850281767
"38",100,5,10,0.693811048851885
"39",250,5,10,0.703456127252095
"40",500,5,10,0.699063770892452
"41",750,5,10,0.69738145139219
"42",1000,5,10,0.698367755963041
"43",50,6,10,0.677556929579854
"44",250,6,10,0.696972825208424
"45",500,6,10,0.696492176784191
"46",750,6,10,0.703109520219844
"47",1000,6,10,0.700438595438271
"48",50,3,15,0.68164959339444
"49",100,3,15,0.69085233520111
"50",250,3,15,0.702678587147711
"51",500,3,15,0.695899893887232
"52",750,3,15,0.702125616390341
"53",1000,3,15,0.702068598783304
"54",100,4,15,0.687119882619753
"55",250,4,15,0.698145587357376
"56",500,4,15,0.699859016464284
"57",750,4,15,0.699927537623618
"58",900,4,15,0.706256492004731
"59",1000,4,15,0.698856907012886
"60",50,5,15,0.707591304194735
"61",100,5,15,0.699412978727831
"62",250,5,15,0.701576946961222
"63",500,5,15,0.697592116445558
"64",900,5,15,0.699880923229093
"65",1000,5,15,0.702512635901967
"66",50,6,15,0.690169824441788
"67",100,6,15,0.684422149559784
"68",250,6,15,0.701686180692598
"69",500,6,15,0.697441770018582
"70",750,6,15,0.702122815525434
"71",900,6,15,0.6999965589374
"72",1000,6,15,0.699755384462722
"73",250,3,17,0.69902065757906
"74",500,3,17,0.698331444750139
"75",750,3,17,0.696089552453798
"76",900,3,17,0.693995005657747
"77",1000,3,17,0.699055868452178
"78",50,4,17,0.705165655154312
"79",100,4,17,0.701191027789381
"80",500,4,17,0.696494877618208
"81",750,4,17,0.704174449069873
"82",1000,4,17,0.699154098785705
"83",50,5,17,0.686345343442055
"84",100,5,17,0.699177506013857
"85",250,5,17,0.701157217348717
"86",500,5,17,0.700000360111202
"87",750,5,17,0.698423973322962
"88",900,5,17,0.697337337769903
"89",1000,5,17,0.696319823561516
"90",50,6,17,0.694232278927733
"91",100,6,17,0.693605585404773
"92",250,6,17,0.699715672199575
"93",500,6,17,0.702598162312522
"94",750,6,17,0.698721165095782
"95",1000,6,17,0.696924010134329
"96",100,3,20,0.694724630966042
"97",250,3,20,0.702863444231579
"98",500,3,20,0.698345649136453
"99",750,3,20,0.697389553894243
"100",900,3,20,0.698746973065283
"101",1000,3,20,0.701796114640201
"102",100,4,20,0.703130726768426
"103",500,4,20,0.699218918802126
"104",750,4,20,0.701099899649012
"105",900,4,20,0.696051440684883
"106",1000,4,20,0.701062388065435
"107",50,5,20,0.701255047558686
"108",100,5,20,0.71398927988963
"109",250,5,20,0.701810919211853
"110",500,5,20,0.700844620818909
"111",750,5,20,0.701051284636696
"112",900,5,20,0.70541103092635
"113",1000,5,20,0.694977208962128
"114",50,6,20,0.693300991346128
"115",100,6,20,0.700313956949906
"116",250,6,20,0.69039699459193
"117",500,6,20,0.697981936822091
"118",750,6,20,0.698690055489135
"119",900,6,20,0.703397709212605
"120",1000,6,20,0.699028059864886
