"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,4,5,0.804379937416393,"0.80791655532793, 0.782793462109955, 0.73392479642969, 0.888593544543064, 0.808671328671329"
"2",50,6,10,0.800339336812418,"0.80048840592619, 0.769986889257932, 0.733848946915127, 0.889547635190664, 0.807824806772175"
"3",900,3,20,0.805290698887356,"0.808119748522906, 0.7858998339306, 0.734230641246477, 0.887710079717291, 0.810493191019507"
"4",50,5,10,0.806260732417605,"0.806309566224281, 0.785034524954112, 0.729134043219543, 0.895451953895464, 0.815373573794626"
"5",1000,6,20,0.805363426127255,"0.810109928446305, 0.78332138799056, 0.733596930786095, 0.887639453895464, 0.812149429517851"
"6",750,6,20,0.805832196900648,"0.809138497966212, 0.785490778778079, 0.734071601941748, 0.888715534598948, 0.811744571218255"
"7",900,3,17,0.805313816027948,"0.809078189483685, 0.78428284240888, 0.733198109145005, 0.890175562952005, 0.809834376150166"
"8",1000,3,17,0.804845336422147,"0.809035509634512, 0.781001660693995, 0.73496222204823, 0.887371075772518, 0.811856213961477"
"9",1000,5,20,0.804452443098666,"0.808175417891393, 0.781300585613146, 0.73479094895083, 0.888712966387245, 0.809282296650718"
"10",50,4,17,0.806359736429038,"0.807795010540067, 0.781235905952277, 0.746699322737238, 0.88693704799474, 0.809131394920869"
"11",50,5,17,0.805148196220464,"0.805226797007215, 0.774531946508172, 0.747117718446602, 0.893624671268902, 0.805239847871427"
"12",100,5,15,0.807944159558155,"0.808067790445652, 0.784578271130146, 0.743337476511118, 0.891087278106509, 0.81264998159735"
"13",750,6,5,0.805477571397799,"0.80888891363083, 0.783912245433092, 0.735409978860006, 0.889483429898093, 0.809693289166973"
"14",1000,3,5,0.80509342886728,"0.809671996080876, 0.783669259680098, 0.732995028186658, 0.888510077662722, 0.810620782726046"
"15",1000,4,10,0.804968418669878,"0.808051089635106, 0.781450922122192, 0.733232363764485, 0.88901729947403, 0.813090418353576"
"16",100,4,5,0.805318936216647,"0.806330906148867, 0.78507647932873, 0.73124070231757, 0.89126962113741, 0.812676972150656"
"17",900,6,15,0.804024937747722,"0.808358198984591, 0.778947644436675, 0.736816865017225, 0.887950207511506, 0.808051772788615"
"18",50,4,10,0.803142774054938,"0.801384682758825, 0.774416571977974, 0.742708659567805, 0.887475088346483, 0.809728867623605"
"19",50,6,15,0.804207048342765,"0.805396588581099, 0.784795035399004, 0.727024937362981, 0.895251633382643, 0.8085670469881"
"20",500,6,15,0.804196594734154,"0.807374706807993, 0.777278209946683, 0.737215686658315, 0.888332871055227, 0.810781499202552"
"21",500,6,20,0.803612201292901,"0.808199541284404, 0.781300585613146, 0.733836713122455, 0.88804523134451, 0.806678935099988"
"22",750,5,17,0.80478403041111,"0.808872212820284, 0.783239227340267, 0.733731502505481, 0.88782693334977, 0.81025027603975"
"23",750,3,20,0.805105682610272,"0.808276550577477, 0.785614893802989, 0.734240428280614, 0.887832069773176, 0.809564470617102"
"24",900,5,15,0.805051243796079,"0.810890227427927, 0.778229175771349, 0.736562402129659, 0.888552453155819, 0.811021960495645"
"25",50,5,5,0.804564896753038,"0.801906119176984, 0.767441657197797, 0.754252466332603, 0.889778774243918, 0.809445466813888"
"26",500,3,10,0.805970346636991,"0.810186937739378, 0.782919325233808, 0.735750078296273, 0.889521953073636, 0.81147343884186"
"27",50,6,17,0.803236889740664,"0.800514384964817, 0.778685429595315, 0.732446954274977, 0.891484066814596, 0.813053613053613"
"28",500,6,17,0.803855558476554,"0.810043125204121, 0.778625994231274, 0.734007986219856, 0.886712329470743, 0.809888357256778"
"29",50,5,20,0.806329648976361,"0.810183226448146, 0.775374530198409, 0.749782238490448, 0.892259666748849, 0.804048582995951"
"30",900,4,20,0.804521179359162,"0.809621893649238, 0.78064854470763, 0.736369108205449, 0.887618908201841, 0.808347442031653"
"31",900,4,10,0.804356045296698,"0.808963139455479, 0.783651778690674, 0.733809798778578, 0.887154061883629, 0.808201447675132"
"32",500,5,15,0.807916759725152,"0.809728593272171, 0.793591469277161, 0.736317726276229, 0.888769467044707, 0.81117654275549"
"33",100,6,5,0.807637382923586,"0.809199734271548, 0.782422865134167, 0.740773273567178, 0.892849071334648, 0.812941970310391"
"34",900,6,5,0.803824017635188,"0.807583466939818, 0.779541998077091, 0.73645474475415, 0.888069629355687, 0.807470249049196"
