"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","mean_ROC_AUC","fold_ROC_AUC"
"1",1000,10,0.01,0.6,0.6,0.744574468700208,NA
"2",500,20,0.01,0.6,0.6,0.744037792954525,NA
"3",50,40,0.01,0.6,0.6,0.730955684628581,NA
"4",100,40,0.01,0.6,0.6,0.737079715725727,NA
"5",1000,40,0.01,0.6,0.6,0.740899318879905,NA
"6",500,20,0.05,0.6,0.6,0.735909113610778,NA
"7",50,30,0.05,0.6,0.6,0.740661703363794,NA
"8",100,30,0.05,0.6,0.6,0.740150332364981,NA
"9",1000,40,0.05,0.6,0.6,0.741763729394615,NA
"10",100,10,0.1,0.6,0.6,0.740039822200179,NA
"11",500,20,0.1,0.6,0.6,0.736503490444191,NA
"12",50,30,0.1,0.6,0.6,0.741440768403523,NA
"13",500,30,0.1,0.6,0.6,0.740272679168669,NA
"14",500,10,0.01,0.7,0.6,0.744028082789763,NA
"15",500,40,0.01,0.7,0.6,0.745734579988017,NA
"16",1000,40,0.01,0.7,0.6,0.740899318879905,NA
"17",500,10,0.05,0.7,0.6,0.738820584497514,NA
"18",50,20,0.05,0.7,0.6,0.742065615676648,NA
"19",1000,20,0.05,0.7,0.6,0.7398837103335,NA
"20",100,30,0.05,0.7,0.6,0.740150332364981,NA
"21",1000,30,0.05,0.7,0.6,0.741234861419615,NA
"22",100,40,0.05,0.7,0.6,0.740781726569148,NA
"23",50,10,0.1,0.7,0.6,0.74248764698293,NA
"24",50,20,0.1,0.7,0.6,0.736334354609352,NA
"25",100,20,0.1,0.7,0.6,0.733869633145156,NA
"26",50,30,0.1,0.7,0.6,0.741440768403523,NA
"27",100,30,0.1,0.7,0.6,0.739093552837513,NA
"28",500,30,0.1,0.7,0.6,0.740272679168669,NA
"29",100,40,0.1,0.7,0.6,0.738614206382757,NA
"30",100,10,0.01,0.8,0.6,0.743316311077012,NA
"31",100,20,0.01,0.8,0.6,0.7366914985401,NA
"32",500,30,0.01,0.8,0.6,0.744791143043226,NA
"33",50,40,0.01,0.8,0.6,0.730955684628581,NA
"34",100,40,0.01,0.8,0.6,0.737079715725727,NA
"35",50,10,0.05,0.8,0.6,0.741849850349557,NA
"36",1000,10,0.05,0.8,0.6,0.733808959654904,NA
"37",100,20,0.05,0.8,0.6,0.740852769108222,NA
"38",50,30,0.05,0.8,0.6,0.740661703363794,NA
"39",500,40,0.05,0.8,0.6,0.738831989669429,NA
"40",500,20,0.1,0.8,0.6,0.736503490444191,NA
"41",1000,20,0.1,0.8,0.6,0.739830415155853,NA
"42",50,30,0.1,0.8,0.6,0.741440768403523,NA
"43",50,40,0.1,0.8,0.6,0.742531094268799,NA
"44",500,40,0.1,0.8,0.6,0.740259968344033,NA
"45",500,20,0.01,0.6,0.7,0.741909819895226,NA
"46",50,30,0.01,0.6,0.7,0.72989762270984,NA
"47",100,30,0.01,0.6,0.7,0.731351675866581,NA
"48",100,40,0.01,0.6,0.7,0.73421126354187,NA
"49",500,40,0.01,0.6,0.7,0.742873929535403,NA
"50",1000,40,0.01,0.6,0.7,0.739240758194577,NA
"51",50,20,0.05,0.6,0.7,0.739923114069348,NA
"52",100,20,0.05,0.6,0.7,0.741738398586808,NA
"53",100,40,0.05,0.6,0.7,0.745612403375305,NA
"54",100,10,0.1,0.6,0.7,0.741215258774058,NA
"55",500,10,0.1,0.6,0.7,0.733823033906213,NA
"56",500,10,0.01,0.7,0.7,0.743927078589062,NA
"57",50,20,0.01,0.7,0.7,0.728463825854898,NA
"58",500,20,0.01,0.7,0.7,0.741909819895226,NA
"59",50,10,0.05,0.7,0.7,0.742115478844568,NA
"60",100,10,0.05,0.7,0.7,0.741518936768704,NA
"61",500,10,0.05,0.7,0.7,0.737399376621286,NA
"62",1000,10,0.05,0.7,0.7,0.734909541571359,NA
"63",100,20,0.05,0.7,0.7,0.741738398586808,NA
"64",50,30,0.05,0.7,0.7,0.740003286780698,NA
"65",500,40,0.05,0.7,0.7,0.741550270370818,NA
"66",1000,40,0.05,0.7,0.7,0.743155113551599,NA
"67",50,20,0.1,0.7,0.7,0.743610857081148,NA
"68",1000,20,0.1,0.7,0.7,0.741014391066944,NA
"69",500,30,0.1,0.7,0.7,0.744323591769579,NA
"70",1000,30,0.1,0.7,0.7,0.740666022452139,NA
"71",1000,40,0.1,0.7,0.7,0.738170190599787,NA
"72",500,10,0.01,0.8,0.7,0.743927078589062,NA
"73",1000,10,0.01,0.8,0.7,0.742891529637301,NA
"74",100,40,0.01,0.8,0.7,0.73421126354187,NA
"75",500,40,0.01,0.8,0.7,0.742873929535403,NA
"76",1000,40,0.01,0.8,0.7,0.739240758194577,NA
"77",100,20,0.05,0.8,0.7,0.741738398586808,NA
"78",500,20,0.05,0.8,0.7,0.737835627831451,NA
"79",50,10,0.1,0.8,0.7,0.742315696700466,NA
"80",50,20,0.1,0.8,0.7,0.743610857081148,NA
"81",100,20,0.1,0.8,0.7,0.740580901529391,NA
"82",1000,20,0.1,0.8,0.7,0.741014391066944,NA
"83",100,40,0.1,0.8,0.7,0.737058884007474,NA
"84",100,10,0.01,0.6,0.8,0.736398294267776,NA
"85",500,10,0.01,0.6,0.8,0.742849034564505,NA
"86",100,20,0.01,0.6,0.8,0.730061249122515,NA
"87",500,30,0.01,0.6,0.8,0.745737378635994,NA
"88",100,40,0.01,0.6,0.8,0.731089091866848,NA
"89",100,10,0.05,0.6,0.8,0.741896369129016,NA
"90",1000,10,0.05,0.6,0.8,0.733491654092829,NA
"91",50,20,0.05,0.6,0.8,0.737636268754948,NA
"92",100,20,0.05,0.6,0.8,0.741416021126697,NA
"93",1000,30,0.05,0.6,0.8,0.740559674627096,NA
"94",1000,20,0.1,0.6,0.8,0.740433008042656,NA
"95",100,30,0.1,0.6,0.8,0.737469775969922,NA
"96",1000,30,0.1,0.6,0.8,0.740672344498542,NA
"97",500,40,0.1,0.6,0.8,0.739170345825114,NA
"98",1000,10,0.01,0.7,0.8,0.741303882352534,NA
"99",100,20,0.01,0.7,0.8,0.730061249122515,NA
"100",500,30,0.01,0.7,0.8,0.745737378635994,NA
"101",1000,30,0.01,0.7,0.8,0.741203602347528,NA
"102",50,10,0.05,0.7,0.8,0.738007941591332,NA
"103",100,10,0.05,0.7,0.8,0.741896369129016,NA
"104",500,10,0.05,0.7,0.8,0.73435588442765,NA
"105",500,20,0.05,0.7,0.8,0.737660994401157,NA
"106",100,30,0.05,0.7,0.8,0.74035068694607,NA
"107",50,20,0.1,0.7,0.8,0.74223429608634,NA
"108",100,20,0.1,0.7,0.8,0.742910753682064,NA
"109",50,10,0.01,0.8,0.8,0.725480529659543,NA
"110",1000,20,0.01,0.8,0.8,0.739803696734939,NA
"111",50,30,0.01,0.8,0.8,0.72528089662288,NA
"112",100,30,0.01,0.8,0.8,0.735160763299024,NA
"113",50,40,0.05,0.8,0.8,0.737075990774146,NA
"114",500,40,0.05,0.8,0.8,0.738973923964086,NA
"115",100,10,0.1,0.8,0.8,0.742794621680224,NA
"116",500,10,0.1,0.8,0.8,0.733155867905168,NA
"117",1000,10,0.1,0.8,0.8,0.733240627359284,NA
"118",100,30,0.1,0.8,0.8,0.737469775969922,NA
"119",500,30,0.1,0.8,0.8,0.740546697201177,NA
"120",100,40,0.1,0.8,0.8,0.734516671186804,NA
