"","n.trees","max_depth","min_samples_split","ROC_AUC_valid"
"1",250,3,5,0.725513938704272
"2",500,3,5,0.725810930415312
"3",750,3,5,0.727331099843632
"4",900,3,5,0.727627891492893
"5",1000,3,5,0.727965795837755
"6",50,4,5,0.724836829612984
"7",100,4,5,0.727770735603154
"8",250,4,5,0.729419344693641
"9",500,4,5,0.733464193743028
"10",750,4,5,0.728705224173225
"11",900,4,5,0.726379005837002
"12",1000,4,5,0.726798335325949
"13",50,5,5,0.722617944421237
"14",100,5,5,0.73019368380956
"15",250,5,5,0.727305291874131
"16",900,5,5,0.728458748061401
"17",1000,5,5,0.726187346652646
"18",50,6,5,0.717278395568552
"19",100,6,5,0.721085071069946
"20",250,6,5,0.72208818083024
"21",500,6,5,0.72762639102955
"22",750,6,5,0.728861372391795
"23",900,6,5,0.727957393243033
"24",50,3,10,0.718700334663344
"25",100,3,10,0.724075294450926
"26",250,3,10,0.721380662348533
"27",500,3,10,0.72669820440552
"28",900,3,10,0.727529060974029
"29",1000,3,10,0.727755831000613
"30",50,4,10,0.713695889290613
"31",100,4,10,0.721682155449603
"32",250,4,10,0.729104247391595
"33",500,4,10,0.728742935818581
"34",750,4,10,0.728451545837355
"35",900,4,10,0.726845950029369
"36",1000,4,10,0.728674814782805
"37",50,5,10,0.72060082153369
"38",100,5,10,0.727514756556825
"39",250,5,10,0.727935686540004
"40",500,5,10,0.723717183866378
"41",750,5,10,0.72607161091345
"42",1000,5,10,0.726899366524383
"43",50,6,10,0.714808332813173
"44",250,6,10,0.731941323480691
"45",500,6,10,0.727536363228965
"46",750,6,10,0.726685600513439
"47",1000,6,10,0.728290196012529
"48",50,3,15,0.718271702301671
"49",100,3,15,0.717273894178522
"50",250,3,15,0.730490975613269
"51",500,3,15,0.726145133617261
"52",750,3,15,0.729824269734494
"53",1000,3,15,0.728519966965799
"54",100,4,15,0.730502879289124
"55",250,4,15,0.722350061699053
"56",500,4,15,0.727004899112846
"57",750,4,15,0.727495950749592
"58",900,4,15,0.72632748992889
"59",1000,4,15,0.72643582338226
"60",50,5,15,0.726022895870245
"61",100,5,15,0.724457412448964
"62",250,5,15,0.728302699873721
"63",500,5,15,0.726211554127915
"64",900,5,15,0.726257868429771
"65",1000,5,15,0.726800936129077
"66",50,6,15,0.733010253566301
"67",100,6,15,0.722458095059754
"68",250,6,15,0.724255250021206
"69",500,6,15,0.724713491526183
"70",750,6,15,0.726366802068479
"71",900,6,15,0.726744018552929
"72",1000,6,15,0.72631238526457
"73",250,3,17,0.72515652833595
"74",500,3,17,0.729598700078584
"75",750,3,17,0.728267789093272
"76",900,3,17,0.728506462795711
"77",1000,3,17,0.72855227694312
"78",50,4,17,0.724686683247787
"79",100,4,17,0.717410236280964
"80",500,4,17,0.728002507174215
"81",750,4,17,0.728350314577141
"82",1000,4,17,0.7273964200145
"83",50,5,17,0.719450566334884
"84",100,5,17,0.722160803256045
"85",250,5,17,0.726885462230737
"86",500,5,17,0.727649498165033
"87",750,5,17,0.728345613125333
"88",900,5,17,0.724820624608879
"89",1000,5,17,0.727211062776185
"90",50,6,17,0.723551332651523
"91",100,6,17,0.727529361066697
"92",250,6,17,0.723315959968438
"93",500,6,17,0.727088424905611
"94",750,6,17,0.732067062308841
"95",1000,6,17,0.729732241316118
"96",100,3,20,0.731022739822057
"97",250,3,20,0.724829527358048
"98",500,3,20,0.727535963105407
"99",750,3,20,0.730908204453535
"100",900,3,20,0.725703397209058
"101",1000,3,20,0.728304500429733
"102",100,4,20,0.731859298151269
"103",500,4,20,0.728350014484473
"104",750,4,20,0.726032098712082
"105",900,4,20,0.726495041668867
"106",1000,4,20,0.726118025246196
"107",50,5,20,0.718901896905764
"108",100,5,20,0.726220356846194
"109",250,5,20,0.724406596757079
"110",500,5,20,0.729841074923936
"111",750,5,20,0.728592089237156
"112",900,5,20,0.729502670424627
"113",1000,5,20,0.727757531525735
"114",50,6,20,0.722789697458575
"115",100,6,20,0.7285046622397
"116",250,6,20,0.729518375274285
"117",500,6,20,0.728076129908916
"118",750,6,20,0.72595027344444
"119",900,6,20,0.72971243519999
"120",1000,6,20,0.725258359781501
