"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",500,3,0.005,5,0.705777244012951
"2",750,3,0.005,5,0.700692973990368
"3",1000,3,0.005,5,0.702368891513699
"4",50,4,0.005,5,0.695596100075703
"5",100,4,0.005,5,0.698363854758349
"6",1000,4,0.005,5,0.706852676106382
"7",50,5,0.005,5,0.705588185631723
"8",100,5,0.005,5,0.70469540994259
"9",500,5,0.005,5,0.707866389140967
"10",750,5,0.005,5,0.710192907569858
"11",250,6,0.005,5,0.707220489687215
"12",500,6,0.005,5,0.707159370813707
"13",750,6,0.005,5,0.704990501066729
"14",1000,6,0.005,5,0.705841163751366
"15",50,3,0.01,5,0.699456792257449
"16",100,3,0.01,5,0.697195193875869
"17",250,3,0.01,5,0.70748397105026
"18",1000,3,0.01,5,0.704876065729097
"19",50,4,0.01,5,0.695509873448921
"20",100,4,0.01,5,0.70008768707777
"21",500,4,0.01,5,0.70586637153553
"22",750,4,0.01,5,0.707996029173809
"23",50,5,0.01,5,0.701648669109021
"24",100,5,0.01,5,0.708068951692283
"25",250,5,0.01,5,0.703978288495487
"26",500,5,0.01,5,0.706553983870219
"27",750,5,0.01,5,0.705748735209433
"28",1000,5,0.01,5,0.704661199378368
"29",50,6,0.01,5,0.702673785665013
"30",500,6,0.01,5,0.704490346619036
"31",100,3,0.005,10,0.702022584574116
"32",250,3,0.005,10,0.706653414574421
"33",500,3,0.005,10,0.708223799509288
"34",750,3,0.005,10,0.702830233976252
"35",1000,3,0.005,10,0.70591198562116
"36",1000,4,0.005,10,0.703884959675548
"37",100,5,0.005,10,0.698367455870373
"38",250,5,0.005,10,0.709764575300853
"39",500,5,0.005,10,0.70898233374466
"40",50,6,0.005,10,0.698100573457084
"41",250,6,0.005,10,0.710832605108457
"42",500,6,0.005,10,0.706433546679215
"43",750,6,0.005,10,0.705542871638762
"44",1000,6,0.005,10,0.704304889349831
"45",100,3,0.01,10,0.70579044809037
"46",500,3,0.01,10,0.704003596310541
"47",1000,3,0.01,10,0.711550926926235
"48",50,4,0.01,10,0.706634808828966
"49",250,4,0.01,10,0.702881249729917
"50",500,4,0.01,10,0.704532359592642
"51",1000,4,0.01,10,0.713524736438612
"52",50,5,0.01,10,0.699675159689312
"53",100,5,0.01,10,0.708682441137823
"54",250,5,0.01,10,0.709744669153835
"55",750,5,0.01,10,0.706058630905223
"56",1000,5,0.01,10,0.702645176830605
"57",50,6,0.01,10,0.694760141931829
"58",100,6,0.01,10,0.71096434578998
"59",250,6,0.01,10,0.705671011208261
"60",500,6,0.01,10,0.706692426621341
"61",1000,6,0.01,10,0.71010568063418
"62",50,3,0.005,15,0.68934526981932
"63",250,3,0.005,15,0.703972286642115
"64",750,3,0.005,15,0.705447042046584
"65",1000,3,0.005,15,0.706556384611568
"66",50,4,0.005,15,0.694122144918351
"67",250,4,0.005,15,0.704473241336925
"68",50,5,0.005,15,0.699728176060768
"69",100,5,0.005,15,0.704475642078274
"70",500,5,0.005,15,0.702311273721325
"71",1000,5,0.005,15,0.703083912312122
"72",50,6,0.005,15,0.695765252309913
"73",100,6,0.005,15,0.716798847484103
"74",250,6,0.005,15,0.70825590942483
"75",500,6,0.005,15,0.701437403870315
"76",1000,6,0.005,15,0.704649395733402
"77",50,3,0.01,15,0.694205670711116
"78",750,3,0.01,15,0.708412557797848
"79",1000,4,0.01,15,0.70646695699632
"80",50,5,0.01,15,0.692117825984664
"81",250,5,0.01,15,0.705630598728887
"82",500,5,0.01,15,0.70918839737711
"83",750,5,0.01,15,0.709834997047088
"84",250,6,0.01,15,0.695880587925551
"85",500,6,0.01,15,0.70988221162695
"86",750,6,0.01,15,0.709677548426954
"87",100,3,0.005,20,0.697894109701076
"88",1000,3,0.005,20,0.70312112380303
"89",100,4,0.005,20,0.703539252921302
"90",250,4,0.005,20,0.70762501460451
"91",750,4,0.005,20,0.705899181667299
"92",1000,4,0.005,20,0.705956199274336
"93",50,5,0.005,20,0.702536943408124
"94",100,5,0.005,20,0.70737773824557
"95",250,5,0.005,20,0.704325395682187
"96",750,5,0.005,20,0.705053520527139
"97",50,6,0.005,20,0.689496716586082
"98",100,6,0.005,20,0.710984251936998
"99",250,6,0.005,20,0.705878975427612
"100",500,6,0.005,20,0.70326436803685
"101",100,3,0.01,20,0.708178685578106
"102",500,3,0.01,20,0.706906492724953
"103",1000,3,0.01,20,0.709234411586298
"104",50,4,0.01,20,0.709211004358146
"105",100,4,0.01,20,0.705930791428393
"106",250,4,0.01,20,0.703455327004979
"107",500,4,0.01,20,0.705647503949219
"108",750,4,0.01,20,0.707489672810964
"109",1000,4,0.01,20,0.701136711016362
"110",50,5,0.01,20,0.710039360154416
"111",100,5,0.01,20,0.702094806876363
"112",250,5,0.01,20,0.704209960035659
"113",500,5,0.01,20,0.704369109180915
"114",750,5,0.01,20,0.704186252714838
"115",1000,5,0.01,20,0.707738549664136
"116",50,6,0.01,20,0.703515045446034
"117",100,6,0.01,20,0.706796158653792
"118",250,6,0.01,20,0.705051719971127
"119",500,6,0.01,20,0.704142639246999
"120",1000,6,0.01,20,0.710480596408171
