"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"105",105,100,5,0.005,10,0.693749239932485,"0.829286047441365, 0.769886616027008, 0.596005463752665, 0.755219901564866, 0.677176930843009, 0.475230312973246, 0.732072100248118, 0.739874272846688, 0.602960321928233, 0.676666666666667, 0.614013605442177, 0.856598639455782"
"106",106,500,6,0.01,15,0.736202747113866,"0.873799529140014, 0.777982853589197, 0.619582333866382, 0.817043160020192, 0.682906360424028, 0.510335689045936, 0.737120160130106, 0.734326223389838, 0.651404682971581, 0.782448979591837, 0.794829931972789, 0.85265306122449"
"107",107,1000,3,0.005,10,0.733555786867079,"0.849710154584222, 0.775153251599147, 0.63038546108742, 0.783725075719334, 0.680718387178193, 0.556619131751641, 0.739385333917141, 0.736768624507412, 0.64238089280874, 0.771428571428571, 0.756938775510204, 0.879455782312925"
"108",108,500,6,0.005,20,0.718353492864044,"0.852657471570718, 0.774905605899076, 0.600044976012793, 0.788784073700151, 0.682860613326603, 0.545754984856133, 0.736216092241613, 0.745614561831488, 0.614764079147641, 0.681020408163265, 0.739047619047619, 0.858571428571429"
"109",109,750,3,0.005,15,0.724884024884365,"0.841848791755508, 0.773977212153518, 0.620500177683013, 0.773331019687027, 0.681180590610803, 0.541758423775871, 0.736369133254102, 0.738221054606868, 0.648972915493839, 0.739727891156463, 0.737142857142857, 0.865578231292517"
"110",110,1000,6,0.005,5,0.741860296908003,"0.874488050817342, 0.777613050817342, 0.634455512615494, 0.821759843513377, 0.685764765270066, 0.537420336951035, 0.737093888784638, 0.73388211254978, 0.636920831508934, 0.777619047619048, 0.801156462585034, 0.884149659863946"
"111",111,750,5,0.005,20,0.730675903984039,"0.856658670931059, 0.776770167022033, 0.579721926083866, 0.795597236244321, 0.685867301867744, 0.537302814235235, 0.737637246929797, 0.737838660578387, 0.6186760075895, 0.787482993197279, 0.769251700680272, 0.88530612244898"
"112",112,100,3,0.005,20,0.703526222063237,"0.817062011371713, 0.756547619047619, 0.555955712508884, 0.741241008329127, 0.669433051489147, 0.512563888187784, 0.731938241487876, 0.736975876232772, 0.572263922770584, 0.676632653061225, 0.828775510204082, 0.842925170068027"
"113",113,1000,3,0.005,15,0.728610828217308,"0.848580756929638, 0.775425883972992, 0.578899586886994, 0.78308934881373, 0.683430085815245, 0.557495425290257, 0.736735681074206, 0.736719417860345, 0.647443547882655, 0.78625850340136, 0.750476190476191, 0.858775510204082"
"114",114,50,4,0.01,20,0.684832805358378,"0.822476901208244, 0.753653606965174, 0.560498845060412, 0.748211919485109, 0.677770854366482, 0.480651344018173, 0.729977898709368, 0.738409749588207, 0.590322136736098, 0.632687074829932, 0.623095238095238, 0.860238095238095"
"115",115,50,3,0.01,15,0.698120528796815,"0.811865893745558, 0.76235119047619, 0.621886105188344, 0.736999148157496, 0.673843702675416, 0.496025523725391, 0.727753799962469, 0.740732887137466, 0.624321427826776, 0.663197278911565, 0.675238095238095, 0.843231292517007"
"116",116,500,4,0.01,10,0.734174527015947,"0.859634861407249, 0.774108253375977, 0.668040378464819, 0.797332470974255, 0.685720595658758, 0.558166645633518, 0.739899501678447, 0.741592960947436, 0.621312941765184, 0.732585034013606, 0.773537414965986, 0.858163265306122"
"117",117,250,3,0.01,5,0.693634201072885,"0.833465485074627, 0.772458577647477, 0.453392079779673, 0.762383266027259, 0.682599539374053, 0.501164973498233, 0.731271449719564, 0.734023060403244, 0.615573069785868, 0.701768707482993, 0.667278911564626, 0.868231292517007"
"118",118,1000,5,0.01,5,0.743858181134031,"0.887243470149254, 0.775826226012793, 0.645857209488273, 0.839689550731954, 0.678951602725896, 0.536121277132761, 0.741565438585517, 0.731663226371427, 0.654958403703009, 0.769795918367347, 0.810952380952381, 0.853673469387755"
"119",119,750,3,0.005,5,0.705716160378188,"0.844063166311301, 0.774995557924662, 0.48191020344705, 0.77466399545684, 0.683556284704695, 0.524107142857143, 0.73663476574717, 0.730977252350868, 0.589046099956214, 0.749183673469388, 0.727142857142857, 0.852312925170068"
"120",120,500,6,0.005,10,0.730625762543135,"0.854691942075338, 0.776598036602701, 0.610025764036958, 0.791114020696618, 0.68396327612317, 0.567546378091873, 0.738067596588895, 0.741502053752007, 0.620462667584079, 0.704897959183673, 0.787687074829932, 0.890952380952381"
