"","iteration","n.trees","interaction.depth","shrinkage","n.minobsinnode","mean_ROC_AUC","fold_ROC_AUC"
"24",24,250,4,0.01,10,0.714038936940611,"0.841547841151386, 0.774104921819474, 0.651037224591329, 0.77280729429581, 0.684305590610803, 0.547408190307925, 0.734472383811847, 0.734179645962344, 0.586971497675194, 0.688299319727891, 0.680204081632653, 0.87312925170068"
"25",25,1000,5,0.01,20,0.717203134354877,"0.884007418265814, 0.777115538379531, 0.471122623489694, 0.835600706713781, 0.685200025239778, 0.486254574709743, 0.73440712245366, 0.732046454410875, 0.603132128187486, 0.783877551020408, 0.744761904761905, 0.86891156462585"
"26",26,50,4,0.005,15,0.716202506575779,"0.819602323205402, 0.771605143923241, 0.588829291044776, 0.74429581019687, 0.678216494194851, 0.546468008581525, 0.733789537332416, 0.741492879631367, 0.603123788077813, 0.784897959183673, 0.746836734693878, 0.835272108843537"
"27",27,250,6,0.005,15,0.712643029812106,"0.839433413290689, 0.769851079424307, 0.54968072583511, 0.773171693589096, 0.681889670620899, 0.571602094901565, 0.736224849356769, 0.739877400387815, 0.616107879318613, 0.719251700680272, 0.686190476190476, 0.86843537414966"
"28",28,500,3,0.01,10,0.730031793496072,"0.849418088130775, 0.775366471215352, 0.658870269189765, 0.783690371024735, 0.682122349823322, 0.554143267289248, 0.736094326640395, 0.736812410083193, 0.602843560392819, 0.763265306122449, 0.757482993197279, 0.860272108843537"
"29",29,750,6,0.01,15,0.750369703745778,"0.884380552594172, 0.77842039800995, 0.65103111673774, 0.833212392730944, 0.688788806158506, 0.58236764891469, 0.736296157294468, 0.736927086591189, 0.664236775713601, 0.810884353741497, 0.775034013605442, 0.862857142857143"
"30",30,100,4,0.01,5,0.692917883417686,"0.827410936389481, 0.773425284292822, 0.46414190209666, 0.754345974255427, 0.672583291267037, 0.559222772589601, 0.731247471904256, 0.739512937595129, 0.594620629261275, 0.620952380952381, 0.719659863945578, 0.857891156462585"
"31",31,50,5,0.005,15,0.705368488771111,"0.823708466595593, 0.761148498578536, 0.65696184257285, 0.751677656486623, 0.674734982332155, 0.512604114083796, 0.740491232459707, 0.73927357644753, 0.644263672567294, 0.662040816326531, 0.653265306122449, 0.844251700680272"
"32",32,1000,3,0.01,20,0.737696111906378,"0.866232453802417, 0.774461398365316, 0.572359186211798, 0.809143109540636, 0.682565623422514, 0.553136042402827, 0.736631846708784, 0.732582723462814, 0.626737557598882, 0.849863945578231, 0.796938775510204, 0.851700680272109"
"33",33,500,3,0.01,20,0.711714098487928,"0.847776741293532, 0.774282604832978, 0.521719527363184, 0.781918854114084, 0.685673271075215, 0.51460831019687, 0.735514272012677, 0.737812180730177, 0.595753216154792, 0.765170068027211, 0.745510204081633, 0.834829931972789"
"34",34,100,3,0.01,10,0.704547614243771,"0.82049295931059, 0.769218638948117, 0.636276208244492, 0.746762209742554, 0.673163017415447, 0.563263503281171, 0.732137153103563, 0.739639498759409, 0.595114780759367, 0.615442176870748, 0.704965986394558, 0.858095238095238"
