"","nrounds","max_depth","eta","subsample","min_child_weight","gamma","colsample_bylevel","ROC_AUC_valid"
"1",500,5,0.05,0.6,5,1,0.6,0.773763738242369
"2",500,5,0.05,0.8,5,1,0.6,0.764316020787219
"3",500,3,0.1,0.8,1,0.1,0.6,0.762765942122928
"4",100,5,0.1,0.6,5,1,0.6,0.762872374989397
"5",500,3,0.1,0.7,10,0.1,0.6,0.749531455313401
"6",100,3,0.05,0.7,10,0.1,0.7,0.757042174623524
"7",100,3,0.1,0.7,5,1,0.8,0.783286678926452
"8",100,5,0.05,0.8,1,1,0.7,0.767176504104467
"9",500,3,0.05,0.8,5,0,0.8,0.759891454481144
"10",50,5,0.1,0.6,10,0,0.8,0.765726056206156
"11",1000,3,0.05,0.7,10,0,0.8,0.772182449940542
"12",100,5,0.1,0.6,10,1,0.7,0.772521754717857
"13",100,5,0.05,0.8,10,0,0.8,0.764057540968651
"14",50,3,0.05,0.6,1,0.1,0.7,0.753943617789173
"15",100,3,0.01,0.8,1,0.1,0.7,0.738949387570882
"16",500,3,0.1,0.7,5,0.1,0.8,0.768747789317341
"17",50,5,0.1,0.6,10,0,0.7,0.770455916787104
"18",500,3,0.1,0.8,5,1,0.7,0.7474412098456
"19",500,3,0.01,0.7,1,0,0.8,0.766496694179163
"20",50,3,0.1,0.6,5,0.1,0.7,0.738658897867661
"21",1000,3,0.01,0.8,5,1,0.6,0.762478653408172
"22",50,3,0.05,0.6,10,0.1,0.7,0.75526282516041
"23",50,5,0.1,0.8,1,0,0.6,0.776149675019646
"24",500,3,0.01,0.6,5,0.1,0.8,0.762001706126852
"25",1000,5,0.01,0.6,5,0.1,0.7,0.76464332185779
"26",100,3,0.01,0.8,5,0.1,0.6,0.728316504136477
"27",500,5,0.1,0.7,10,1,0.6,0.761443933886784
"28",100,3,0.05,0.6,10,0,0.8,0.745893932046216
"29",50,3,0.05,0.6,10,1,0.8,0.762228176060768
"30",100,5,0.05,0.8,1,1,0.8,0.773928989271887
"31",500,3,0.05,0.8,10,0.1,0.6,0.773811753069348
"32",1000,3,0.01,0.7,10,0.1,0.7,0.767056867160579
"33",100,5,0.01,0.7,5,0.1,0.8,0.746972265035443
"34",50,3,0.1,0.7,1,0.1,0.7,0.748984086285845
"35",500,3,0.01,0.8,5,1,0.6,0.745322155481613
"36",500,5,0.05,0.6,10,0,0.6,0.775498673990528
"37",50,5,0.01,0.6,10,1,0.6,0.732424572708052
"38",1000,3,0.01,0.6,5,1,0.7,0.766218208182687
"39",500,5,0.05,0.6,5,1,0.7,0.767789893519119
"40",1000,5,0.1,0.8,10,1,0.6,0.762827561150883
"41",100,3,0.1,0.6,10,1,0.6,0.770568751630504
"42",500,5,0.1,0.8,1,1,0.8,0.761864863869963
"43",50,3,0.1,0.7,1,0.1,0.7,0.730935712948158
"44",50,3,0.01,0.7,10,1,0.7,0.754819088134416
"45",100,3,0.05,0.8,5,0,0.6,0.741466964998792
"46",500,5,0.05,0.7,10,0.1,0.7,0.773320401339934
"47",500,3,0.05,0.6,10,1,0.7,0.759829835453188
"48",1000,3,0.01,0.8,10,0.1,0.7,0.769744096977147
"49",50,5,0.05,0.6,5,1,0.6,0.757241836279043
"50",500,5,0.05,0.7,10,1,0.7,0.762406631167705
"51",500,3,0.05,0.7,5,0,0.6,0.763341319799554
"52",1000,5,0.05,0.6,10,0,0.8,0.773674910812459
"53",100,5,0.1,0.6,10,0,0.6,0.776198890217299
"54",50,3,0.01,0.6,1,0.1,0.6,0.727316995488207
"55",100,3,0.1,0.6,1,0,0.8,0.736868344944919
"56",50,5,0.05,0.7,1,0,0.7,0.763957109955554
"57",1000,5,0.1,0.6,10,0.1,0.6,0.759208843690932
"58",1000,3,0.05,0.6,10,1,0.6,0.771395006778093
"59",500,5,0.05,0.6,5,0.1,0.8,0.767799496484514
"60",50,5,0.05,0.8,5,0.1,0.6,0.755079568570775
"61",100,3,0.1,0.8,1,0.1,0.7,0.760591670707915
"62",50,3,0.01,0.8,1,0,0.6,0.724899849073394
"63",50,3,0.05,0.8,10,0,0.6,0.751063528417575
"64",500,3,0.01,0.7,5,0.1,0.7,0.753815178127006
"65",50,3,0.01,0.6,10,0.1,0.6,0.7378830582884
"66",100,5,0.01,0.6,5,0.1,0.6,0.74885284575877
"67",50,5,0.05,0.8,1,0.1,0.6,0.747013477761933
"68",500,5,0.05,0.7,10,0.1,0.8,0.762998814033774
"69",50,3,0.1,0.7,1,0,0.6,0.742358040162802
"70",500,5,0.1,0.6,5,0,0.7,0.760882160411135
"71",100,3,0.1,0.7,10,0.1,0.6,0.757479909796145
"72",1000,3,0.01,0.7,5,0.1,0.6,0.763261295087923
"73",500,5,0.1,0.7,1,0.1,0.8,0.768618149284499
"74",1000,5,0.1,0.7,10,0,0.7,0.734802907137724
"75",1000,3,0.05,0.6,10,0,0.8,0.770076199530415
"76",100,5,0.05,0.6,1,0.1,0.7,0.752898094931715
"77",500,3,0.05,0.8,10,0,0.7,0.785560981231004
"78",1000,5,0.01,0.8,5,1,0.6,0.776176483298042
"79",100,5,0.1,0.7,1,0.1,0.7,0.747650874590073
"80",100,5,0.05,0.7,1,0,0.6,0.75373835440384
