"","n.trees","interaction.depth","shrinkage","n.minobsinnode","ROC_AUC_valid"
"1",250,5,0.005,20,0.745022462936555
"2",750,4,0.01,20,0.762797151760464
"3",100,5,0.005,5,0.741688633450009
"4",100,3,0.01,20,0.729577293468223
"5",100,3,0.005,10,0.708096260125127
"6",500,6,0.005,15,0.750393321457666
"7",50,6,0.01,5,0.759385298180078
"8",500,6,0.01,20,0.767155297555885
"9",50,6,0.01,20,0.745726280275349
"10",250,4,0.005,20,0.744956442549459
"11",1000,5,0.01,10,0.770340281078797
"12",50,6,0.01,10,0.745008458612019
"13",50,5,0.01,20,0.741390141275626
"14",100,6,0.01,10,0.74486961573734
"15",750,5,0.01,15,0.769534432232673
"16",250,3,0.005,15,0.7413741363333
"17",1000,6,0.005,10,0.766873610570944
"18",100,3,0.01,5,0.732086068177853
"19",50,4,0.005,5,0.728554977777138
"20",250,6,0.01,20,0.753331028621638
"21",500,4,0.01,20,0.761695211481305
"22",100,6,0.005,20,0.756846514203586
"23",1000,3,0.01,10,0.767312145990682
"24",250,4,0.01,10,0.751977410624401
"25",1000,5,0.01,20,0.763705432237475
"26",50,4,0.005,15,0.737526148074525
"27",250,6,0.005,15,0.755160393529522
"28",500,3,0.01,10,0.756562426477296
"29",750,6,0.01,15,0.769374382809412
"30",100,4,0.01,5,0.741568596382563
"31",50,5,0.005,15,0.744875617590712
"32",1000,3,0.01,20,0.770907656284261
"33",500,3,0.01,20,0.761815248548752
"34",100,3,0.01,10,0.721549614520964
"35",750,6,0.005,5,0.76463451913951
"36",750,4,0.005,20,0.762195365928999
"37",750,3,0.005,10,0.758824725075103
"38",250,5,0.01,15,0.755322043447016
"39",1000,4,0.005,20,0.76201290958648
"40",500,4,0.01,5,0.76100459821993
"41",250,6,0.005,10,0.750390120469201
"42",100,4,0.01,20,0.739005004745465
"43",250,6,0.005,20,0.749632286450056
"44",250,5,0.005,10,0.744269830523666
"45",250,6,0.01,15,0.751039120880528
"46",50,3,0.005,15,0.727331800059858
"47",1000,4,0.01,20,0.763554185532492
"48",100,5,0.01,5,0.75162410152255
"49",250,6,0.005,5,0.753896803332869
"50",750,5,0.01,5,0.768710177702875
"51",100,5,0.01,20,0.734427191116617
"52",1000,4,0.005,10,0.758317368403363
"53",500,5,0.005,5,0.751552079282082
"54",100,6,0.005,15,0.738804142719272
"55",500,6,0.01,10,0.761381514611712
"56",1000,3,0.005,5,0.758341375816852
"57",100,5,0.01,10,0.736735103800053
"58",500,5,0.01,15,0.76584449277937
"59",250,5,0.01,5,0.752573594726051
"60",500,5,0.01,20,0.761210261728822
"61",100,6,0.01,20,0.762299398054119
"62",250,5,0.01,20,0.746458506386772
"63",500,3,0.005,5,0.74896568060217
"64",50,5,0.005,5,0.741759055196245
"65",100,4,0.005,20,0.72876264190382
"66",50,5,0.01,15,0.734548428554738
"67",50,6,0.005,15,0.739137045519656
"68",50,3,0.01,5,0.737855049639329
"69",500,3,0.005,10,0.749788334637736
"70",500,6,0.005,5,0.755705361815729
"71",750,5,0.01,10,0.765497985778008
"72",50,6,0.005,20,0.719887101136831
"73",100,5,0.005,15,0.739617593913
"74",750,3,0.01,15,0.766911222185411
"75",250,5,0.01,10,0.7654043568654
"76",750,4,0.01,5,0.765257911643115
"77",500,5,0.01,5,0.765541999369405
"78",500,5,0.005,15,0.7545189954658
"79",1000,3,0.01,5,0.765827687589928
"80",1000,4,0.005,5,0.765882904640953
"81",50,4,0.01,5,0.73816474527334
"82",1000,6,0.005,15,0.767576227539064
"83",1000,5,0.005,15,0.765154679765111
"84",500,5,0.005,10,0.752836475903759
"85",250,4,0.01,20,0.751706126851972
"86",750,5,0.01,20,0.763949507607949
"87",250,6,0.01,10,0.755800191099011
"88",1000,6,0.01,10,0.772999502246294
"89",750,6,0.005,10,0.760822141877412
"90",50,6,0.005,10,0.739614392924535
"91",100,5,0.005,20,0.738792939259643
"92",50,4,0.01,10,0.749734317957385
"93",50,5,0.01,10,0.731606720155184
"94",50,5,0.01,5,0.743070260096318
"95",100,4,0.005,5,0.719872296565179
"96",250,3,0.005,10,0.744946439460505
"97",1000,6,0.01,20,0.765756465596576
"98",1000,4,0.01,15,0.771446222593537
"99",250,4,0.005,15,0.746953859351768
"100",50,5,0.005,20,0.720620527618929
"101",1000,3,0.005,20,0.75590462334769
"102",1000,4,0.01,10,0.766224610159617
"103",500,6,0.01,5,0.760978990312208
"104",750,5,0.005,5,0.761798443359309
"105",100,5,0.005,10,0.733134792023777
"106",500,6,0.01,15,0.759903458187888
"107",1000,3,0.005,10,0.75913121972065
"108",500,6,0.005,20,0.754604221783687
"109",750,3,0.005,15,0.762048920706714
"110",1000,6,0.005,5,0.767725873749814
"111",750,5,0.005,20,0.757361073099373
"112",100,3,0.005,20,0.712646065104904
"113",1000,3,0.005,15,0.75466424031741
"114",50,4,0.01,20,0.732380959240213
"115",50,3,0.01,15,0.733385269371182
"116",500,4,0.01,10,0.760302781498927
"117",250,3,0.01,5,0.749291781302066
"118",1000,5,0.01,5,0.765409158348098
"119",750,3,0.005,5,0.75075903438982
"120",500,6,0.005,10,0.758091698716564
