"","num_iterations","num_leaves","learning_rate","subsample","colsample_bytree","ROC_AUC_valid"
"1",1000,10,0.01,0.6,0.6,0.692663294425319
"2",500,20,0.01,0.6,0.6,0.692184446557097
"3",50,40,0.01,0.6,0.6,0.678590148637899
"4",100,40,0.01,0.6,0.6,0.676557721024252
"5",1000,40,0.01,0.6,0.6,0.692958985734795
"6",500,20,0.05,0.6,0.6,0.686074559824074
"7",50,30,0.05,0.6,0.6,0.690032381999562
"8",100,30,0.05,0.6,0.6,0.698211007559134
"9",1000,40,0.05,0.6,0.6,0.694847768991064
"10",100,10,0.1,0.6,0.6,0.704652396660089
"11",500,20,0.1,0.6,0.6,0.687504501390029
"12",50,30,0.1,0.6,0.6,0.693572775273004
"13",500,30,0.1,0.6,0.6,0.692219157275767
"14",500,10,0.01,0.7,0.6,0.697334436874107
"15",500,40,0.01,0.7,0.6,0.696547093742548
"16",1000,40,0.01,0.7,0.6,0.692958985734795
"17",500,10,0.05,0.7,0.6,0.688395876646709
"18",50,20,0.05,0.7,0.6,0.692628683737538
"19",1000,20,0.05,0.7,0.6,0.683310306222562
"20",100,30,0.05,0.7,0.6,0.698211007559134
"21",1000,30,0.05,0.7,0.6,0.686947329335299
"22",100,40,0.05,0.7,0.6,0.696983528513605
"23",50,10,0.1,0.7,0.6,0.702415205815556
"24",50,20,0.1,0.7,0.6,0.686674345037748
"25",100,20,0.1,0.7,0.6,0.689311359347767
"26",50,30,0.1,0.7,0.6,0.693572775273004
"27",100,30,0.1,0.7,0.6,0.692477637094335
"28",500,30,0.1,0.7,0.6,0.692219157275767
"29",100,40,0.1,0.7,0.6,0.691404205618695
"30",100,10,0.01,0.8,0.6,0.683542878040739
"31",100,20,0.01,0.8,0.6,0.679914057460944
"32",500,30,0.01,0.8,0.6,0.691903459788383
"33",50,40,0.01,0.8,0.6,0.678590148637899
"34",100,40,0.01,0.8,0.6,0.676557721024252
"35",50,10,0.05,0.8,0.6,0.692343495671463
"36",1000,10,0.05,0.8,0.6,0.686188995161706
"37",100,20,0.05,0.8,0.6,0.696485574745481
"38",50,30,0.05,0.8,0.6,0.690032381999562
"39",500,40,0.05,0.8,0.6,0.698479690528435
"40",500,20,0.1,0.8,0.6,0.687504501390029
"41",1000,20,0.1,0.8,0.6,0.689912645024784
"42",50,30,0.1,0.8,0.6,0.693572775273004
"43",50,40,0.1,0.8,0.6,0.692749921175659
"44",500,40,0.1,0.8,0.6,0.685752760452428
"45",500,20,0.01,0.6,0.7,0.693683109344166
"46",50,30,0.01,0.6,0.7,0.675680350092108
"47",100,30,0.01,0.6,0.7,0.677936246712985
"48",100,40,0.01,0.6,0.7,0.678684577797624
