"","n.trees","max_depth","min_samples_split","mean_ROC_AUC","fold_ROC_AUC"
"1",250,3,5,0.735141726999294,NA
"2",500,3,5,0.738274861657312,NA
"3",750,3,5,0.735632102354128,NA
"4",900,3,5,0.737005136696913,NA
"5",1000,3,5,0.73872343057843,NA
"6",50,4,5,0.734654432602308,NA
"7",100,4,5,0.738899484466009,NA
"8",250,4,5,0.737122759005574,NA
"9",500,4,5,0.737807382014887,NA
"10",750,4,5,0.74151557071266,NA
"11",900,4,5,0.737563064816083,NA
"12",1000,4,5,0.739169433442655,NA
"13",50,5,5,0.732408115938527,NA
"14",100,5,5,0.739243179552177,NA
"15",250,5,5,0.740838818168472,NA
"16",900,5,5,0.740056058626321,NA
"17",1000,5,5,0.7358426194012,NA
"18",50,6,5,0.739474207991785,NA
"19",100,6,5,0.733615188346283,NA
"20",250,6,5,0.739609567388831,NA
"21",500,6,5,0.738314640465266,NA
"22",750,6,5,0.737103585830235,NA
"23",900,6,5,0.739506305502875,NA
"24",50,3,10,0.736917180872252,NA
"25",100,3,10,0.738342400297246,NA
"26",250,3,10,0.736152055892324,NA
"27",500,3,10,0.740379842615575,NA
"28",900,3,10,0.735250999634255,NA
"29",1000,3,10,0.741288288662703,NA
"30",50,4,10,0.739642036918401,NA
"31",100,4,10,0.732530997386933,NA
"32",250,4,10,0.734179709171525,NA
"33",500,4,10,0.738679775466218,NA
"34",750,4,10,0.73837674730703,NA
"35",900,4,10,0.738556763274822,NA
"36",1000,4,10,0.736642341692327,NA
"37",50,5,10,0.73301354084373,NA
"38",100,5,10,0.740105019414165,NA
"39",250,5,10,0.737958257221524,NA
"40",500,5,10,0.740045264854218,NA
"41",750,5,10,0.738450814834047,NA
"42",1000,5,10,0.740527179974316,NA
"43",50,6,10,0.733510508408539,NA
"44",250,6,10,0.739223079961359,NA
"45",500,6,10,0.73966778227332,NA
"46",750,6,10,0.737875596586917,NA
"47",1000,6,10,0.739908775853862,NA
"48",50,3,15,0.734976020774701,NA
"49",100,3,15,0.734488408659986,NA
"50",250,3,15,0.737898109075339,NA
"51",500,3,15,0.737694796961569,NA
"52",750,3,15,0.740341126343549,NA
"53",1000,3,15,0.738867007617474,NA
"54",100,4,15,0.736819020957681,NA
"55",250,4,15,0.735249290629497,NA
"56",500,4,15,0.74303959932933,NA
"57",750,4,15,0.740656816057856,NA
"58",900,4,15,0.739776249583503,NA
"59",1000,4,15,0.739847148926954,NA
"60",50,5,15,0.73722907998906,NA
"61",100,5,15,0.741206768503205,NA
"62",250,5,15,0.740176630449196,NA
"63",500,5,15,0.739501097967504,NA
"64",900,5,15,0.734836009296473,NA
"65",1000,5,15,0.740902620029256,NA
"66",50,6,15,0.740550306326099,NA
"67",100,6,15,0.7383544197926,NA
"68",250,6,15,0.741802239475474,NA
"69",500,6,15,0.741317155031982,NA
"70",750,6,15,0.737866593242087,NA
"71",900,6,15,0.737286782850391,NA
"72",1000,6,15,0.739751435188359,NA
"73",250,3,17,0.737822789110837,NA
"74",500,3,17,0.740498858119531,NA
"75",750,3,17,0.737520820933289,NA
"76",900,3,17,0.741051996605106,NA
"77",1000,3,17,0.737469893144888,NA
"78",50,4,17,0.734472563271935,NA
"79",100,4,17,0.742253006389948,NA
"80",500,4,17,0.740484573011708,NA
"81",750,4,17,0.737646053943808,NA
"82",1000,4,17,0.740946600531894,NA
"83",50,5,17,0.734739516396629,NA
"84",100,5,17,0.735021328144389,NA
"85",250,5,17,0.738413149801906,NA
"86",500,5,17,0.739724743532211,NA
"87",750,5,17,0.738970534103691,NA
"88",900,5,17,0.737706877890893,NA
"89",1000,5,17,0.738106300805015,NA
"90",50,6,17,0.738626080281229,NA
"91",100,6,17,0.742141209315146,NA
"92",250,6,17,0.738570358849294,NA
"93",500,6,17,0.734970901329767,NA
"94",750,6,17,0.737097696747368,NA
"95",1000,6,17,0.740564597776151,NA
"96",100,3,20,0.737970698878957,NA
"97",250,3,20,0.741359615957438,NA
"98",500,3,20,0.73795086621565,NA
"99",750,3,20,0.737405124509583,NA
"100",900,3,20,0.741544909445702,NA
"101",1000,3,20,0.735515485167322,NA
"102",100,4,20,0.740632647858649,NA
"103",500,4,20,0.738456161546046,NA
"104",750,4,20,0.739748219313972,NA
"105",900,4,20,0.736305521862898,NA
"106",1000,4,20,0.740734550496594,NA
"107",50,5,20,0.736199271019304,NA
"108",100,5,20,0.741282751207701,NA
"109",250,5,20,0.738567959852908,NA
"110",500,5,20,0.737115172302394,NA
"111",750,5,20,0.74291161046379,NA
"112",900,5,20,0.737211644701517,NA
"113",1000,5,20,0.740331156059459,NA
"114",50,6,20,0.736291478669496,NA
"115",100,6,20,0.743263904535006,NA
"116",250,6,20,0.740266876921308,NA
"117",500,6,20,0.739374741845843,NA
"118",750,6,20,0.735761551505926,NA
"119",900,6,20,0.737684078462445,NA
"120",1000,6,20,0.740154034537704,NA
