occurrenceStatus,decimalLatitude,decimalLongitude,year,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
1,60.581,17.33478,1994,4.26508712768555,15.4023313522339,-6.21821594238281,717.257751464844,123.668609619141,9.90683269500732,62.3685913085938,313.509704589844,61.4191207885742,251.445678710938,61.4191207885742,8.40920829772949,24.2067584991455,889.526000976562,21.9704303741455,-12.7686634063721,34.7390937805176,10.1956720352173,-6.21821594238281
1,60.64386,17.25184,1994,4.32342386245728,15.4763374328613,-6.14732885360718,711.86669921875,125.094139099121,9.28216648101807,62.970531463623,308.332122802734,58.3496894836426,251.302337646484,58.3496894836426,8.39565563201904,24.1104297637939,890.356018066406,21.977653503418,-12.8440246582031,34.8216781616211,10.2127780914307,-6.14732885360718
1,60.12169,18.69585,1994,4.68351125717163,15.3968172073364,-5.53823947906494,692.199951171875,135.835891723633,5.83933877944946,65.7194213867188,305.507110595703,58.1013145446777,224.626586914062,58.1013145446777,7.6142373085022,23.2471828460693,851.911743164062,21.5099582672119,-11.2434196472168,32.7533760070801,10.7439975738525,-5.53823947906494
1,60.47906,16.5516,1994,4.02017450332642,15.5479574203491,-6.86887311935425,719.5859375,122.645706176758,10.0016527175903,63.0694923400879,307.904083251953,60.923755645752,264.987030029297,60.923755645752,9.2998218536377,25.233814239502,927.022644042969,22.7759437561035,-14.0786600112915,36.8546028137207,9.79754638671875,-6.86887311935425
1,60.87607,17.27706,1994,4.24030160903931,15.2062005996704,-6.10065793991089,667.591369628906,116.213165283203,7.65073204040527,64.6257095336914,297.531982421875,54.2768325805664,239.889114379883,54.2768325805664,7.94421768188477,23.4015808105469,872.352905273438,21.2817649841309,-12.6655902862549,33.9473533630371,10.2050447463989,-6.10065793991089
1,60.51088,17.08935,1994,4.23389577865601,15.5101680755615,-6.37253999710083,709.427001953125,122.575531005859,9.48717784881592,63.0932312011719,306.928009033203,58.2144622802734,259.281311035156,58.2144622802734,8.94198894500732,24.9805736541748,903.87646484375,22.466121673584,-13.3296518325806,35.7957725524902,10.0770378112793,-6.37253999710083
1,60.96501,16.26017,1994,2.69343566894531,14.4607667922974,-8.29328536987305,733.473876953125,126.055183410645,9.81990051269531,64.6530838012695,325.037628173828,61.4396095275879,273.979705810547,61.4396095275879,9.77390098571777,25.9448890686035,945.0234375,21.7901191711426,-15.8816566467285,37.6717758178711,8.50583934783936,-8.29328536987305
1,58.82657,11.21711,1994,6.26388216018677,16.0983486175537,-3.81259346008301,733.320617675781,121.924026489258,10.3260498046875,61.7171821594238,303.325378417969,63.0352172851562,259.796875,77.1586990356445,6.06906890869141,20.5330657958984,809.491394042969,20.5583209991455,-8.99921798706055,29.5575389862061,11.732889175415,-0.880493223667145
1,60.51101,17.08873,1994,4.23389577865601,15.5101680755615,-6.37253999710083,709.427001953125,122.575531005859,9.48717784881592,63.0932312011719,306.928009033203,58.2144622802734,259.281311035156,58.2144622802734,8.94198894500732,24.9805736541748,903.87646484375,22.466121673584,-13.3296518325806,35.7957725524902,10.0770378112793,-6.37253999710083
1,60.64352,17.25254,1994,4.32342386245728,15.4763374328613,-6.14732885360718,711.86669921875,125.094139099121,9.28216648101807,62.970531463623,308.332122802734,58.3496894836426,251.302337646484,58.3496894836426,8.39565563201904,24.1104297637939,890.356018066406,21.977653503418,-12.8440246582031,34.8216781616211,10.2127780914307,-6.14732885360718
1,60.5803,17.33517,1994,4.26508712768555,15.4023313522339,-6.21821594238281,717.257751464844,123.668609619141,9.90683269500732,62.3685913085938,313.509704589844,61.4191207885742,251.445678710938,61.4191207885742,8.40920829772949,24.2067584991455,889.526000976562,21.9704303741455,-12.7686634063721,34.7390937805176,10.1956720352173,-6.21821594238281
1,61.11109,16.02372,1994,2.17304801940918,14.0727653503418,-8.97895050048828,750.260986328125,125.785346984863,10.8828296661377,64.5295639038086,330.515625,68.32421875,285.649719238281,68.32421875,9.36510181427002,24.9723320007324,958.664855957031,21.1450634002686,-16.3568477630615,37.5019111633301,8.08493900299072,-8.97895050048828
1,59.711465,10.082008,1994,4.04713153839111,15.4552383422852,-6.4844651222229,826.947631835938,151.466857910156,8.07639408111572,60.9493103027344,342.511566162109,72.6035995483398,294.059753417969,116.081588745117,7.42046737670898,22.2490653991699,922.073852539062,21.2027606964111,-12.149055480957,33.3518180847168,9.4751443862915,-2.54826498031616
1,57.64765,14.50812,1994,4.11807250976562,13.8264026641846,-5.29790067672729,825.357421875,126.007171630859,21.4797458648682,53.4247093200684,315.669067382812,86.6688995361328,315.669067382812,90.7092742919922,8.33861446380615,27.1315765380859,778.297729492188,20.166130065918,-10.567852973938,30.7339839935303,13.8264026641846,-2.37508010864258
1,57.61928,15.32579,1994,4.59772682189941,14.5521259307861,-4.82464075088501,671.462463378906,112.801635742188,20.0161685943604,56.0663146972656,268.524841308594,75.3018951416016,267.170440673828,75.3018951416016,8.22338962554932,26.9316787719727,787.327392578125,20.915584564209,-9.61868095397949,30.5342655181885,9.96057987213135,-4.82464075088501
1,57.37301,15.5534,1994,5.07859373092651,15.0651302337646,-4.39311790466309,645.52392578125,107.625671386719,20.2848949432373,53.3551139831543,256.815032958984,78.0324325561523,248.835830688477,80.5812530517578,9.06072044372559,28.9244365692139,790.364929199219,21.8453617095947,-9.48012542724609,31.3254871368408,10.4802932739258,-1.41551172733307
