species,decimalLongitude,decimalLatitude
Gentianella campestris,17.64781,59.57106
Gentianella campestris,14.44896,59.8167
Gentianella campestris,15.06494,58.79558
Gentianella campestris,14.94971,58.96167
Gentianella campestris,15.52557,59.3343
Gentianella campestris,15.01468,58.97786
Gentianella campestris,15.02817,59.61491
Gentianella campestris,15.18647,57.52601
Gentianella campestris,16.16473,59.94258
Gentianella campestris,16.56475,59.90275
Gentianella campestris,16.22961,56.90655
Gentianella campestris,15.79803,56.40168
Gentianella campestris,12.81766,59.88454
Gentianella campestris,12.78419,59.87929
Gentianella campestris,12.88141,59.87393
Gentianella campestris,16.25239,59.31458
Gentianella campestris,16.19117,59.0016
Gentianella campestris,16.7177,59.35891
Gentianella campestris,13.97273,57.94421
Gentianella campestris,11.36754,58.43291
Gentianella campestris,11.69229,57.98445
Gentianella campestris,14.65042,56.25034
Gentianella campestris,14.4915,57.82284
Gentianella campestris,14.77792,58.07419
Gentianella campestris,14.30273,57.79445
Gentianella campestris,14.71752,57.62381
Gentianella campestris,14.75509,57.52731
Gentianella campestris,14.58026,57.56724
Gentianella campestris,15.51043,57.55475
Gentianella campestris,13.92351,57.48841
Gentianella campestris,14.88978,57.68751
Gentianella campestris,16.40046,58.81282
Gentianella campestris,16.26251,59.00079
Gentianella campestris,12.64984,60.22106
Gentianella campestris,12.75223,60.11029
Gentianella campestris,16.38445,58.81285
Gentianella campestris,12.64001,59.89207
Gentianella campestris,12.63234,60.4474
Gentianella campestris,16.7939,59.31643
Gentianella campestris,12.79877,59.93531
Gentianella campestris,16.24686,58.90667
Gentianella campestris,16.1584,58.91026
Gentianella campestris,14.26449,59.86435
Gentianella campestris,16.84551,59.35634
Gentianella campestris,12.65216,60.21572
Gentianella campestris,12.80778,59.91486
Gentianella campestris,12.69724,60.41619
Gentianella campestris,12.71479,59.91451
Gentianella campestris,13.60621,58.13751
Gentianella campestris,16.3372,57.73545
Gentianella campestris,13.60013,58.13408
Gentianella campestris,14.70945,58.83238
Gentianella campestris,18.13786,59.77538
Gentianella campestris,13.52024,58.20043
Gentianella campestris,14.70649,63.1041
Gentianella campestris,12.13521,59.37395
Gentianella campestris,13.93671,57.94678
Gentianella campestris,14.66157,58.81791
Gentianella campestris,15.68984,57.30151
Gentianella campestris,18.63302,60.14376
Gentianella campestris,13.46455,58.1159
Gentianella campestris,14.54495,63.14662
Gentianella campestris,18.28093,59.80518
Gentianella campestris,15.26484,63.56057
Gentianella campestris,15.38181,62.99914
Gentianella campestris,13.70495,58.24133
Gentianella campestris,18.7644,60.05449
Gentianella campestris,13.82196,57.90072
Gentianella campestris,15.14638,62.71986
Gentianella campestris,18.65019,60.14654
Gentianella campestris,13.80901,58.03954
Gentianella campestris,14.78013,62.98445
Gentianella campestris,15.14941,62.71494
Gentianella campestris,15.76238,58.30237
Gentianella campestris,15.78077,58.34637
Gentianella campestris,15.05103,58.15694
Gentianella campestris,14.78699,58.12388
Gentianella campestris,16.66593,58.39093
Gentianella campestris,15.24423,58.07731
Gentianella campestris,15.817,57.88372
Gentianella campestris,15.53702,58.80368
Gentianella campestris,15.42882,58.20297
Gentianella campestris,15.26924,58.3165
Gentianella campestris,15.42011,62.25696
Gentianella campestris,16.4631,61.53808
Gentianella campestris,16.57376,62.21052
Gentianella campestris,15.80508,61.27045
Gentianella campestris,16.36112,61.08983
Gentianella campestris,16.6523,61.58191
Gentianella campestris,15.61372,62.07791
Gentianella campestris,15.70881,62.25747
Gentianella campestris,15.42742,61.67374
Gentianella campestris,16.45654,61.22402
Gentianella campestris,15.04869,61.71703
Gentianella campestris,15.14515,61.6278
Gentianella campestris,16.46692,61.71754
Gentianella campestris,15.14419,61.67266
Gentianella campestris,16.2678,61.0453
Gentianella campestris,15.42796,61.62887
Gentianella campestris,15.80506,61.94345
Gentianella campestris,15.80505,62.2575
Gentianella campestris,15.99309,61.53953
Gentianella campestris,15.14322,61.71752
Gentianella campestris,16.09205,62.07775
Gentianella campestris,15.70967,61.98829
Gentianella campestris,15.52017,61.85343
Gentianella campestris,12.33161,63.28438
Gentianella campestris,14.12651,63.42439
Gentianella campestris,18.50924,60.35231
Gentianella campestris,18.4071,60.43517
Gentianella campestris,16.00166,57.26002
Gentianella campestris,18.49878,60.29146
Gentianella campestris,14.79645,60.01955
Gentianella campestris,15.84756,57.25837
Gentianella campestris,18.48347,60.4139
Gentianella campestris,16.08618,59.84584
Gentianella campestris,12.46001,59.07504
Gentianella campestris,15.71576,63.5604
Gentianella campestris,14.60382,63.36904
Gentianella campestris,18.13969,59.957
Gentianella campestris,12.28206,62.55437
Gentianella campestris,14.58957,63.3809
Gentianella campestris,12.33597,63.28871
Gentianella campestris,14.1361,63.42293
Gentianella campestris,18.01427,60.16123
Gentianella campestris,16.11722,59.73137
Gentianella campestris,13.66174,58.22355
Gentianella campestris,15.96804,60.12926
Gentianella campestris,18.28354,59.82354
Gentianella campestris,18.62996,59.70402
Gentianella campestris,12.78883,57.85642
Gentianella campestris,15.74819,57.22235
Gentianella campestris,14.78753,60.0473
Gentianella campestris,15.26809,60.86336
Gentianella campestris,12.5752,57.75772
Gentianella campestris,12.18823,63.25112
Gentianella campestris,18.6647,59.97397
Gentianella campestris,16.26084,60.96486
Gentianella campestris,13.71592,58.28641
Gentianella campestris,17.93893,60.24955
Gentianella campestris,17.22904,60.63824
Gentianella campestris,18.11315,60.12107
Gentianella campestris,18.01988,60.17212
Gentianella campestris,13.74553,58.2553
Gentianella campestris,14.46462,63.35344
Gentianella campestris,16.0105,59.7226
Gentianella campestris,15.55348,57.37306
Gentianella campestris,13.62845,58.16961
Gentianella campestris,15.53711,57.3398
Gentianella campestris,18.40455,60.31219
Gentianella campestris,11.66554,57.68066
Gentianella campestris,16.00013,57.2677
Gentianella campestris,12.2223,59.1977
Gentianella campestris,18.8735,57.8603
Gentianella campestris,15.3186,59.9451
Gentianella campestris,16.6625,58.3839
Gentianella campestris,13.8734,62.1613
Gentianella campestris,16.7861,56.989
Gentianella campestris,18.1957,59.5636
Gentianella campestris,13.6002,57.972
Gentianella campestris,15.6795,56.8867
Gentianella campestris,18.8215,57.8656
Gentianella campestris,15.5673,58.1926
Gentianella campestris,16.5756,59.9023
Gentianella campestris,18.7863,57.5455
Gentianella campestris,14.7307,59.6758
Gentianella campestris,14.5134,57.701
Gentianella campestris,16.8534,59.1544
Gentianella campestris,14.8494,60.4114
Gentianella campestris,16.2169,57.7329
Gentianella campestris,14.7905,59.0815
Gentianella campestris,16.8577,62.1417
Gentianella campestris,16.8335,56.9617
Gentianella campestris,15.8516,61.2995
Gentianella campestris,14.7296,58.0539
Gentianella campestris,16.2682,59.0929
Gentianella campestris,13.5737,61.8216
Gentianella campestris,13.1051,63.5289
Gentianella campestris,14.5392,59.5843
Gentianella campestris,15.8046,57.2002
Gentianella campestris,13.0663,63.5966
Gentianella campestris,13.3765,63.4194
Gentianella campestris,16.1464,59.0491
Gentianella campestris,16.6548,59.3191
Gentianella campestris,20.084,67.9577
Gentianella campestris,12.4895,58.874
Gentianella campestris,12.7131,63.5156
Gentianella campestris,12.8007,59.8722
Gentianella campestris,14.9722,63.0147
Gentianella campestris,18.8443,57.871
Gentianella campestris,15.8117,59.108
Gentianella campestris,16.7959,56.9946
Gentianella campestris,15.431,59.7731
Gentianella campestris,15.8404,56.299
Gentianella campestris,17.9198,59.7376
Gentianella campestris,16.79,59.091
Gentianella campestris,12.7472,59.9452
Gentianella campestris,16.0805,59.0928
Gentianella campestris,16.3234,59.1384
Gentianella campestris,11.752806,59.136497
Gentianella campestris,17.275232,68.767171
Gentianella campestris,9.58056,62.63639
Gentianella campestris,16.34116,61.04616
Gentianella campestris,15.58078,58.67018
Gentianella campestris,16.42376,60.53639
Gentianella campestris,16.65546,60.42245
Gentianella campestris,16.5515,60.47945
Gentianella campestris,14.82349,59.43941
Gentianella campestris,17.26681,60.75226
Gentianella campestris,14.59656,62.83313
Gentianella campestris,17.15838,60.53216
Gentianella campestris,12.977521,67.973025
Gentianella campestris,17.08176,60.51278
Gentianella campestris,14.73556,58.05744
Gentianella campestris,14.25412,62.11183
Gentianella campestris,15.15868,61.73218
Gentianella campestris,15.17617,61.72673
Gentianella campestris,16.2323,62.22741
Gentianella campestris,16.51103,62.17212
Gentianella campestris,16.27845,62.22799
Gentianella campestris,15.45562,61.70045
Gentianella campestris,16.01006,61.57099
Gentianella campestris,15.44437,61.69795
Gentianella campestris,16.93703,62.15417
Gentianella campestris,16.64748,62.14247
Gentianella campestris,7.476049,61.507811
Gentianella campestris,8.113242,61.680785
Gentianella campestris,8.136266,61.688655
Gentianella campestris,7.707374,61.553476
Gentianella campestris,10.790869,60.708036
Gentianella campestris,9.596553,62.239464
Gentianella campestris,9.64018,62.481634
Gentianella campestris,10.041566,62.308655
Gentianella campestris,10.170971,62.163988
Gentianella campestris,9.678162,62.445549
Gentianella campestris,10.40333,62.206718
Gentianella campestris,10.042187,62.326604
Gentianella campestris,9.82598,62.184428
Gentianella campestris,9.845437,62.193287
Gentianella campestris,10.999491,62.208382
Gentianella campestris,10.983033,61.957192
Gentianella campestris,14.91997,62.81306
Gentianella campestris,9.550915,62.985731
Gentianella campestris,11.852192,62.684116
Gentianella campestris,10.198726,62.170035
Gentianella campestris,9.56951,62.487357
Gentianella campestris,9.710788,61.456396
Gentianella campestris,15.475134,67.415639
Gentianella campestris,9.99215,61.634377
Gentianella campestris,15.976403,68.264737
Gentianella campestris,16.121382,68.193629
Gentianella campestris,9.028078,61.739988
Gentianella campestris,8.086643,61.667981
Gentianella campestris,14.655592,67.367906
Gentianella campestris,9.672349,62.084424
Gentianella campestris,9.870715,62.065493
Gentianella campestris,10.05125,62.442876
Gentianella campestris,9.95893,61.170565
Gentianella campestris,8.844471,61.488436
Gentianella campestris,10.137452,61.289458
Gentianella campestris,7.679167,61.527453
Gentianella campestris,8.912231,61.546222
Gentianella campestris,10.543589,63.431229
Gentianella campestris,14.64263,57.57892
Gentianella campestris,14.92855,57.78416
Gentianella campestris,14.65348,57.97502
Gentianella campestris,14.66359,57.92303
Gentianella campestris,14.39836,57.62762
Gentianella campestris,15.00141,57.98488
Gentianella campestris,14.35026,57.6163
Gentianella campestris,14.53264,57.66496
Gentianella campestris,16.0335,57.59933
Gentianella campestris,14.57814,57.65733
Gentianella campestris,14.65497,57.98131
Gentianella campestris,15.97155,57.58506
Gentianella campestris,13.69639,57.3475
Gentianella campestris,14.08724,57.58695
Gentianella campestris,14.9915,57.22695
Gentianella campestris,15.650197,68.12448
Gentianella campestris,15.347276,67.300441
Gentianella campestris,18.64416,59.52413
Gentianella campestris,9.747691,61.604278
Gentianella campestris,17.84366,60.54732
Gentianella campestris,11.7364,61.8396
Gentianella campestris,10.5356,61.2052
Gentianella campestris,10.7826,60.7058
Gentianella campestris,14.6433,67.3699
Gentianella campestris,12.7217,65.7366
Gentianella campestris,11.6409,62.6153
Gentianella campestris,10.3262,61.3229
Gentianella campestris,9.9968,61.2877
Gentianella campestris,9.2037,61.487
Gentianella campestris,9.7468,61.4902
Gentianella campestris,8.875,62.2196
Gentianella campestris,7.7117,61.8095
Gentianella campestris,7.6818,61.5197
Gentianella campestris,9.7736,61.596
Gentianella campestris,10.4074,61.2223
Gentianella campestris,12.3941,65.6102
Gentianella campestris,11.8672,62.8473
Gentianella campestris,11.0935,63.5713
Gentianella campestris,10.5856,64.4324
Gentianella campestris,9.533,63.5937
Gentianella campestris,10.5921,63.4122
Gentianella campestris,17.16843,62.39889
Gentianella campestris,16.90999,62.20825
Gentianella campestris,17.48083,62.62434
Gentianella campestris,16.4399,62.2426
Gentianella campestris,17.67853,62.51413
Gentianella campestris,14.65408,57.68313
Gentianella campestris,14.57834,57.6775
Gentianella campestris,15.01777,57.72694
Gentianella campestris,14.81175,57.86029
Gentianella campestris,13.93786,61.14851
Gentianella campestris,13.95487,61.1391
Gentianella campestris,15.0657,60.22344
Gentianella campestris,13.87678,61.17549
Gentianella campestris,15.96672,60.94531
Gentianella campestris,13.15813,63.3808
Gentianella campestris,14.7161,63.01578
Gentianella campestris,13.9232,63.40061
Gentianella campestris,13.8682,63.4072
Gentianella campestris,14.6004,63.67402
Gentianella campestris,15.46,63.88619
Gentianella campestris,13.90941,63.40285
Gentianella campestris,14.06414,63.3246
Gentianella campestris,13.80227,63.56707
Gentianella campestris,14.89013,63.40081
Gentianella campestris,15.04304,63.42014
Gentianella campestris,14.83984,63.09449
Gentianella campestris,14.81078,63.12898
Gentianella campestris,14.50085,63.01542
Gentianella campestris,14.48649,62.94459
Gentianella campestris,14.49379,62.94791
Gentianella campestris,14.39097,62.83437
Gentianella campestris,14.89884,63.01326
Gentianella campestris,14.75854,63.07746
Gentianella campestris,14.48252,62.7733
Gentianella campestris,14.16374,63.4623
Gentianella campestris,14.17435,63.46273
Gentianella campestris,15.40334,62.12477
Gentianella campestris,14.42036,63.26015
Gentianella campestris,14.41934,63.25317
Gentianella campestris,13.7778,63.56604
Gentianella campestris,14.31385,63.02237
Gentianella campestris,14.36379,62.66501
Gentianella campestris,15.30135,63.07915
Gentianella campestris,15.13241,62.97311
Gentianella campestris,13.75586,63.38404
Gentianella campestris,13.85732,63.49156
Gentianella campestris,15.10763,62.78838
Gentianella campestris,14.52286,63.52239
Gentianella campestris,15.15632,62.94763
Gentianella campestris,12.62202,63.46304
Gentianella campestris,13.06086,63.21703
Gentianella campestris,14.11184,63.42513
Gentianella campestris,14.51975,63.35517
Gentianella campestris,15.60068,63.30275
Gentianella campestris,14.51183,63.08523
Gentianella campestris,15.29467,58.76399
Gentianella campestris,15.06941,59.95244
Gentianella campestris,15.07886,59.93925
Gentianella campestris,23.0799,69.9339
Gentianella campestris,22.0371830366075,70.6017081903522
Gentianella campestris,12.4666,65.5642
Gentianella campestris,12.7126,65.7299
Gentianella campestris,14.57164,63.03192
Gentianella campestris,14.60087,63.01733
Gentianella campestris,14.00479,63.46472
Gentianella campestris,13.18507,63.31725
Gentianella campestris,13.91006,63.47416
Gentianella campestris,14.05053,63.50557
Gentianella campestris,15.08116,62.97566
Gentianella campestris,15.11624,62.96416
Gentianella campestris,18.41954,60.44197
Gentianella campestris,10.638242,60.029417
Gentianella campestris,10.26209,60.793973
Gentianella campestris,10.307548,60.773335
Gentianella campestris,10.282467,60.834905
Gentianella campestris,9.891746,61.269927
Gentianella campestris,9.815204,61.317094
Gentianella campestris,10.489663,61.262166
Gentianella campestris,13.78038,58.462
Gentianella campestris,13.60105,58.29773
Gentianella campestris,15.96073,62.58939
Gentianella campestris,15.6103,62.60729
Gentianella campestris,16.89052,62.46863
Gentianella campestris,16.90967,62.19928
Gentianella campestris,15.81471,62.4235
Gentianella campestris,6.964763,62.919769
Gentianella campestris,6.972137,62.928486
Gentianella campestris,13.85825,63.40609
Gentianella campestris,14.70008,63.19466
Gentianella campestris,14.70391,63.18055
Gentianella campestris,15.07994,62.95346
Gentianella campestris,15.10989,62.88613
Gentianella campestris,13.87582,63.39539
Gentianella campestris,16.35791,61.06524
Gentianella campestris,16.73786,62.14203
Gentianella campestris,16.25273,62.22303
Gentianella campestris,16.49115,62.17376
Gentianella campestris,15.72564,62.28486
Gentianella campestris,16.33713,62.14084
Gentianella campestris,15.80533,61.96185
Gentianella campestris,16.49794,62.19057
Gentianella campestris,16.42623,62.20002
Gentianella campestris,16.93413,62.15937
Gentianella campestris,15.77075,62.02428
Gentianella campestris,16.10639,61.10782
Gentianella campestris,16.36077,62.19437
Gentianella campestris,16.61449,62.1852
Gentianella campestris,16.65148,62.18105
Gentianella campestris,16.61673,62.17939
Gentianella campestris,15.79413,62.26361
Gentianella campestris,15.41601,62.11867
Gentianella campestris,14.64963,63.81436
Gentianella campestris,15.23367,63.49942
Gentianella campestris,14.37048,63.3562
Gentianella campestris,14.79485,63.09166
Gentianella campestris,14.74773,63.29298
Gentianella campestris,14.69139,63.80378
Gentianella campestris,14.76981,63.12809
Gentianella campestris,16.22447,59.47919
Gentianella campestris,18.51138,60.19327
Gentianella campestris,18.39757,59.5853
Gentianella campestris,17.19838,62.45961
Gentianella campestris,17.14364,62.4163
Gentianella campestris,17.16576,62.49192
Gentianella campestris,14.78057,58.06791
Gentianella campestris,15.97048,62.59387
Gentianella campestris,16.74222,62.37549
Gentianella campestris,16.64426,62.53493
Gentianella campestris,16.75756,62.24976
Gentianella campestris,16.14481,62.34771
Gentianella campestris,16.37578,62.41336
Gentianella campestris,15.83421,62.56705
Gentianella campestris,16.64879,62.21367
Gentianella campestris,18.22736,62.81539
Gentianella campestris,17.56395,62.74447
Gentianella campestris,17.17252,62.48859
Gentianella campestris,15.98416,62.27802
Gentianella campestris,18.23911,62.81519
