species,decimalLongitude,decimalLatitude
Gentianella campestris,16.02871,57.90539
Gentianella campestris,16.33661,57.73496
Gentianella campestris,15.48151,58.01577
Gentianella campestris,14.61595,57.92482
Gentianella campestris,15.74985,57.22244
Gentianella campestris,15.21648,57.45088
Gentianella campestris,14.57265,57.6502
Gentianella campestris,17.12498,60.53656
Gentianella campestris,16.27119,60.96138
Gentianella campestris,11.2172,58.83502
Gentianella campestris,14.76459,60.00298
Gentianella campestris,16.404827,68.088531
Gentianella campestris,11.850836,62.684734
Gentianella campestris,14.168085,66.780003
Gentianella campestris,15.64674,57.313
Gentianella campestris,14.65225,57.85558
Gentianella campestris,14.94109,57.96293
Gentianella campestris,14.72327,57.95857
Gentianella campestris,15.41676,57.56213
Gentianella campestris,14.65497,57.98131
Gentianella campestris,14.6203,57.28866
Gentianella campestris,14.2527,57.43194
Gentianella campestris,14.35942,57.51223
Gentianella campestris,14.26874,57.48601
Gentianella campestris,14.28414,57.51673
Gentianella campestris,14.379917,68.215419
Gentianella campestris,19.104651,69.719351
Gentianella campestris,18.80745,60.02707
Gentianella campestris,18.24291,59.81779
Gentianella campestris,11.34093,58.4367
Gentianella campestris,5.5579,58.6594
Gentianella campestris,10.0638,59.9067
Gentianella campestris,8.64443502730324,60.6669672077172
Gentianella campestris,8.14782039494296,60.6283605777054
Gentianella campestris,9.05434961650123,60.6413703684553
Gentianella campestris,8.95544281042244,60.7252726821936
Gentianella campestris,8.62983458962235,60.665967018886
Gentianella campestris,10.6111355688401,62.1841477311503
Gentianella campestris,8.97020447760043,61.6150083036049
Gentianella campestris,8.72655432604365,60.2702524281864
Gentianella campestris,8.50993291591059,60.6126636864621
Gentianella campestris,8.49353257350984,60.6080633367517
Gentianella campestris,9.2318,62.50658
Gentianella campestris,8.90628,62.1786
Gentianella campestris,9.03659,62.13904
Gentianella campestris,9.82223,62.09072
Gentianella campestris,9.69784,62.08895
Gentianella campestris,9.86434,62.06523
Gentianella campestris,9.88879,62.06254
Gentianella campestris,9.64067,62.08904
Gentianella campestris,9.7671,62.09724
Gentianella campestris,9.148061,60.868828
Gentianella campestris,8.994103,60.897037
Gentianella campestris,9.183771,60.870023
Gentianella campestris,17.86778,60.30881
Gentianella campestris,15.00187,57.98505
Gentianella campestris,13.14655,63.26852
Gentianella campestris,22.0127,70.0835
Gentianella campestris,19.6447172860189,69.666848484909
Gentianella campestris,25.9869764003371,71.0085519790154
Gentianella campestris,25.8251640435527,71.0672537026716
Gentianella campestris,25.742359412119,71.066653187856
Gentianella campestris,15.32529,59.34976
Gentianella campestris,15.26484,63.56057
Gentianella campestris,14.49942,62.96222
Gentianella campestris,8.276546,62.240468
Gentianella campestris,8.767342,62.240013
Gentianella campestris,8.873081,62.218517
Gentianella campestris,12.22983,59.0485
Gentianella campestris,16.90556,59.18757
Gentianella campestris,15.41601,62.11867
Gentianella campestris,15.49073,58.22219
Gentianella campestris,15.54475,58.23406
Gentianella campestris,18.13901,62.9632
Gentianella campestris,17.47208,62.46828
Gentianella campestris,12.73616,57.86145
Gentianella campestris,18.27181,59.11122
Gentianella campestris,15.30612,57.71712
Gentianella campestris,18.80019,60.06585
Gentianella campestris,15.55348,57.37306
Gentianella campestris,12.36591,59.5384
Gentianella campestris,16.13395,59.07454
Gentianella campestris,16.52183,56.74218
Gentianella campestris,14.62046,58.00529
Gentianella campestris,14.65339,57.97478
Gentianella campestris,16.64687,58.44614
Gentianella campestris,16.02299,58.63769
Gentianella campestris,16.70223,58.56922
Gentianella campestris,16.16167,57.35665
Gentianella campestris,16.11176,57.3478
Gentianella campestris,16.08544,57.38198
Gentianella campestris,16.59072,58.53937
Gentianella campestris,16.08384,57.39097
Gentianella campestris,16.15,57.35219
Gentianella campestris,15.80948,58.59837
Gentianella campestris,16.13181,57.36122
Gentianella campestris,15.97491,57.56984
Gentianella campestris,16.27385,58.59887
Gentianella campestris,16.17171,57.36291
Gentianella campestris,16.74066,58.52809
Gentianella campestris,15.82323,58.58985
Gentianella campestris,16.78007,58.51936
Gentianella campestris,15.84756,57.25837
Gentianella campestris,16.17475,57.33506
Gentianella campestris,16.42761,58.58834
Gentianella campestris,15.43848,56.7379
Gentianella campestris,14.50536,57.70654
Gentianella campestris,17.0809,60.29553
Gentianella campestris,11.23626,58.39902
Gentianella campestris,17.21856,60.63524
Gentianella campestris,9.748265,62.148962
Gentianella campestris,15.48464,57.76542
Gentianella campestris,13.549227,66.904736
Gentianella campestris,18.07805,59.62229
Gentianella campestris,15.69291,57.40734
Gentianella campestris,15.32579,57.61928
Gentianella campestris,16.02031,57.63169
Gentianella campestris,15.1421,57.68938
Gentianella campestris,15.74183,57.02754
Gentianella campestris,14.15701,57.22685
Gentianella campestris,13.69639,57.3475
Gentianella campestris,14.039401,67.01926
Gentianella campestris,12.7867,57.85674
Gentianella campestris,18.75482,59.27288
Gentianella campestris,18.38853,60.52174
Gentianella campestris,18.82628,60.07604
Gentianella campestris,18.81829,60.10676
Gentianella campestris,18.81989,60.00613
Gentianella campestris,18.57556,59.93694
Gentianella campestris,12.80029,59.91273
Gentianella campestris,17.37353,59.98363
Gentianella campestris,17.52203,60.35973
Gentianella campestris,9.44414461038111,61.0652911175345
Gentianella campestris,9.69289177807262,62.4350488035383
Gentianella campestris,8.70181439068006,61.1886885002588
Gentianella campestris,10.8679,60.579
Gentianella campestris,9.41038084747235,62.4568468389956
Gentianella campestris,8.3579,62.527
Gentianella campestris,10.0756,59.718
Gentianella campestris,9.43844472318492,61.0581907774821
Gentianella campestris,8.66861434917026,61.1643871916252
Gentianella campestris,5.19238545034947,59.2517756408423
Gentianella campestris,12.0962,60.1391
Gentianella campestris,12.4715827379393,60.1620846884329
Gentianella campestris,11.5889151959443,61.1203143486304
Gentianella campestris,9.64938783570881,62.4864504606673
Gentianella campestris,9.40334327523405,61.0644906750228
Gentianella campestris,8.5101,62.5437
Gentianella campestris,8.8952,62.5042
Gentianella campestris,12.1173,60.1243
Gentianella campestris,8.9713,62.1106
Gentianella campestris,10.6589,62.1351
Gentianella campestris,9.45374,62.46407
Gentianella campestris,9.43247,62.46307
Gentianella campestris,9.65174,62.47954
Gentianella campestris,9.6989,62.42327
Gentianella campestris,9.65066,62.4747
Gentianella campestris,9.6661,62.46062
Gentianella campestris,9.82912,62.44688
Gentianella campestris,8.67821,61.16481
Gentianella campestris,9.46374,61.04868
Gentianella campestris,9.42934,61.06462
Gentianella campestris,9.03489,62.47088
Gentianella campestris,8.89635,62.43101
Gentianella campestris,8.93419,62.47503
Gentianella campestris,8.92579,62.4604
Gentianella campestris,8.93719,62.4796
Gentianella campestris,8.92384,62.41436
Gentianella campestris,8.9306,62.46684
Gentianella campestris,8.90021,62.44582
Gentianella campestris,5.3677,62.23094
Gentianella campestris,9.476067,61.039935
Gentianella campestris,15.82862,58.73026
Gentianella campestris,15.65819,58.84405
Gentianella campestris,12.0007,59.1958
Gentianella campestris,14.57834,57.6775
Gentianella campestris,14.82185,59.25853
Gentianella campestris,16.27859,60.3376
Gentianella campestris,13.80373,60.77315
Gentianella campestris,13.60411,61.54963
Gentianella campestris,14.76224,60.17735
Gentianella campestris,11.2478,58.4259
Gentianella campestris,15.29646,59.34992
Gentianella campestris,12.97564,63.1108
Gentianella campestris,15.90134,62.85327
Gentianella campestris,18.75231,59.99239
Gentianella campestris,15.81281,62.53654
Gentianella campestris,16.01981,58.25672
Gentianella campestris,14.88722,58.13456
Gentianella campestris,14.72126,58.16139
Gentianella campestris,15.67761,58.91687
Gentianella campestris,15.81171,58.33078
Gentianella campestris,18.40606,60.4347
Gentianella campestris,15.79594,60.03199
Gentianella campestris,15.33054,60.72396
Gentianella campestris,15.60225,58.88908
Gentianella campestris,15.651,58.84875
Gentianella campestris,14.86626,58.1752
Gentianella campestris,18.55932,60.03557
Gentianella campestris,18.79047,60.09751
Gentianella campestris,18.74352,59.97795
Gentianella campestris,18.6653,59.97447
Gentianella campestris,17.70927,59.50466
Gentianella campestris,16.12436,57.84341
Gentianella campestris,16.21643,57.73288
Gentianella campestris,16.25236,59.05032
Gentianella campestris,16.86276,58.94791
Gentianella campestris,15.80117,57.20001
Gentianella campestris,11.55861,58.04181
Gentianella campestris,11.40359,58.39525
Gentianella campestris,14.90028,57.85818
Gentianella campestris,14.62567,63.36522
Gentianella campestris,15.59562,63.30258
Gentianella campestris,15.7861,57.51608
Gentianella campestris,10.093622,59.726862
Gentianella campestris,8.3396,60.3
Gentianella campestris,14.86348,56.53374
Gentianella campestris,15.66367,57.67583
Gentianella campestris,15.56372,57.56817
Gentianella campestris,15.93032,57.72613
Gentianella campestris,14.99567,57.91885
Gentianella campestris,16.10092,57.65311
Gentianella campestris,15.61959,58.89
Gentianella campestris,16.06009,57.80315
Gentianella campestris,16.10353,57.76804
Gentianella campestris,15.41928,57.62854
Gentianella campestris,15.37639,56.38501
Gentianella campestris,16.06721,57.62446
Gentianella campestris,15.98415,58.78767
Gentianella campestris,17.15579,60.64754
